split,random_state,country,satellite,bands,num_features,points,month_range,year_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,2016-2022,True,False,True,False,504,403,101,[0.09999999999999999],[0.5177420125498676],0.5438874555853457,0.7436928927201415,0.5530791186824519,0.7757983015478237,0.8828116203265555,0.7793563569835983,0.6038425700391992,0.7894773958006633,0.6232745584801972,-0.4176324485426952,0.22919176207529998,0.05252886380318091,0.460260511273033,0.7267221091151237,0.5281250238767338
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,2016-2022,True,True,True,False,504,403,101,[0.09999999999999999],[0.5148271661907529],0.5426182826657093,0.7432068833026959,0.5523564713885071,0.776694033424745,0.8832975268633221,0.7802145209628611,0.6012215616971792,0.7878490870964932,0.6207061840387776,-0.42381587612959915,0.2244600734304661,0.050382324564410226,0.4562852771029007,0.7275347794509763,0.5293068553107808
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.47374231014134766],0.49788380963542866,0.7283904958446683,0.5305527144368417,0.811044650484233,0.9018458879407998,0.8133260055957297,0.690644060768261,0.833737359572509,0.6951179847469392,-0.6603739472015941,0.334248947580409,0.11172235895861102,0.40455075220442027,0.6908445522762248,0.47726619540973747
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,True,False,648,518,130,[0.09999999999999999],[0.4770622352573791],0.5014378407872063,0.7284366164958953,0.530619904251988,0.8099818956060598,0.9012901085267557,0.8123238597281711,0.684031181325645,0.8296466000816454,0.6883134810270336,-0.6388724043108553,0.33963208951959706,0.11534995623144759,0.4138233623555039,0.6915866059377653,0.4782920335125179
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,2016-2022,False,True,True,False,490,392,98,[1.0],[0.563022437881148],0.5895698522222862,0.7779911963864194,0.6052703016547722,0.8403828467537713,0.9176988790237388,0.8421712325614268,0.46047853355301616,0.6928331672368611,0.4800177976234603,-0.2689311891769137,0.4425842488407137,0.19588081732189877,-1.9265036691251871,-0.01051291511138528,0.00011052138413919298
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,2014-2021,False,False,False,False,384,307,77,[100.0],[0.6499787691554106],0.6657980018324302,0.8187554967585925,0.6703605634724096,0.8276009941801558,0.9109372778948827,0.8298067242585386,0.46791566221409675,0.7110856075894048,0.5056427413207929,-0.0701747935168815,0.39084820161808487,0.15276231670809112,-0.07236649343041113,0.250338848685197,0.06266953916102996
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,2016-2022,False,True,True,False,497,397,100,[1.0],[0.5561544723822633],0.5844579407964984,0.7709014555870725,0.5942890542262671,0.814985753915271,0.9040832071087571,0.8173664453760559,0.6458403470130365,0.8063995389468711,0.6502802164137262,-0.1409626319073376,0.40714730186839665,0.1657689254187153,-0.046718287302547123,0.5847457115874763,0.34192754721994406
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,2016-2022,False,True,False,False,497,397,100,[0.09999999999999999],[0.5451159458525436],0.5718634128798031,0.769772911523698,0.5925503353156709,0.9059095835544307,0.9529266815537971,0.9080692604171319,0.6721761502973973,0.8289346430215354,0.6871326424012404,-0.2874854737002892,0.38164366728273685,0.14565188877701635,-0.3605962091685324,0.5261185311032535,0.2768007087702451
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,2016-2022,False,False,True,False,497,397,100,[1.0],[0.5362504351186008],0.5646355263451523,0.7597712653922581,0.5772523757157532,0.8083275687031026,0.900396599206081,0.810714035861876,0.6059496326195883,0.7826161820506732,0.6124880884075724,-0.1913639458612102,0.3879974452780527,0.1505420175422955,-0.17953380065230506,0.5813437611682646,0.33796056864926427
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,2016-2022,False,False,False,False,497,397,100,[1.0],[0.505368855488968],0.5317199652025604,0.7358105217908109,0.5414171239780653,0.7843917833175045,0.8873415844224521,0.7873750874453478,0.6563867716540994,0.8126029877343142,0.660323615674734,-0.19235774888235935,0.359404470222713,0.12917157321606898,-0.3406764108429856,0.5199742682725597,0.27037323966558385
