country,satellite,bands,num_features,points,month_range,year_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,2009-2021,True,True,True,False,936,748,188,[1.0],[0.5273782623997326],0.5327176863532579,0.732900516578858,0.537143167201557,0.7192041913606216,0.8507622579440253,0.7237964195420162,0.4547884493218053,0.6796625534060182,0.4619411865023886,0.08642148722731091,0.43769359611095016,0.19157568407653555
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,2016-2022,False,False,False,False,497,397,100,[10.0],[0.5636810509254653],0.5737903227722477,0.7659534098092963,0.5866846259984878,0.782718401792447,0.8860996217082394,0.785172539591485,0.6990043378948227,0.8365399865723148,0.6997991491344085,-0.0889233555870419,0.42054471171870833,0.1768578545545715
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,2016-2022,False,False,True,False,497,397,100,[10.0],[0.5466525189312976],0.5538883107922309,0.7507406193491303,0.5636114775407157,0.750091698654384,0.8677968962654672,0.753071453167978,0.6943518715812635,0.8394915736775141,0.7047461022755491,-0.008961189708326156,0.4589614876413414,0.2106456471379532
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,2016-2022,False,True,False,False,490,392,98,[1.0],[0.6511446312581669],0.6551091894876999,0.8140745654077641,0.66271739804384,0.8693386511555146,0.9332283112386344,0.8709150808973134,0.7726049001031069,0.8792538708459211,0.7730873693975358,-0.0887005967281762,0.459095222236393,0.21076842308028307
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,2016-2022,False,True,True,False,490,392,98,[10.0],[0.5810134237066065],0.5814764258508343,0.764999701046588,0.585224542601369,0.770990116668811,0.8795972500269108,0.7736913222549039,0.6483123182428814,0.8061090766366454,0.6498118434359851,-0.0514499912169033,0.4419671453378414,0.19533495755808064
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,2016-2022,True,False,False,False,504,403,101,[1.0],[0.6321745800403995],0.6399884420097987,0.8016645491485758,0.6426660493615892,0.7754020921391537,0.8813340312973138,0.7767496747227745,0.5893911716183371,0.7690865708921549,0.5914941535266537,0.07822496106832677,0.4515948066714715,0.20393786941264372
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,2016-2022,True,False,True,False,504,403,101,[0.09999999999999999],[0.5350051105893631],0.5418496953697173,0.7471423775102068,0.5582217322716044,0.8201166461355665,0.9073674017842627,0.8233156018207236,0.55086421945632,0.742739137561705,0.5516614264659053,-0.18353950456633372,0.4008839592022118,0.16070794874564062
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,2016-2022,True,True,False,False,504,403,101,[0.09999999999999999],[0.6728531907667776],0.6804873343938072,0.8264144881434361,0.6829609062133775,0.8471265486881271,0.9211722515527924,0.848558317030841,0.5970418781335801,0.7761148756372341,0.6023543001853994,0.12053552040600046,0.5087907817099933,0.258868059553066
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,2016-2022,True,True,True,False,504,403,101,[0.09999999999999999],[0.5764566619725624],0.5829447051099338,0.7681806145814433,0.5901014566187239,0.8190002673073843,0.9065974550367965,0.8219189454791962,0.5343568149263507,0.7313692269350615,0.5349009461075894,-0.03096304366127156,0.450865724994401,0.2032799019747268
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,2016-2022,False,False,False,False,497,397,100,[100.0],[0.48767419385629546],0.49563023695164155,0.7081847515758231,0.5015256423645102,0.70112208393286,0.8411757802421452,0.7075766932659818,0.639298326148316,0.8067234653090284,0.6508027494802071,0.09827501366659674,0.5106732823385168,0.26078720129439453
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,2016-2022,False,False,True,False,497,397,100,[100.0],[0.4416762752411434],0.4511036919339725,0.6791232375720095,0.4612083718102881,0.6817613420824135,0.8287703052641823,0.6868602188876859,0.6312076740098158,0.8013965395667705,0.6422364136295944,0.06745440740221498,0.5064329409110335,0.2564743236397984
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,2016-2022,False,True,False,False,490,392,98,[100.0],[0.5237100343290264],0.5356065663126692,0.7341591445672261,0.5389896495516812,0.7228864443376453,0.8533097945662343,0.728137605502669,0.49825301388294085,0.7118362201687117,0.5067108043440787,0.027903175969879346,0.48322914134949085,0.2335104030493662
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,2016-2022,False,True,True,False,490,392,98,[100.0],[0.48452448264788284],0.4985823620003974,0.7102729361742697,0.5044876438616182,0.7054030664565344,0.8422747993419442,0.7094268376065123,0.4869710606520531,0.7030055753616029,0.49421683898949836,-0.04157611393235405,0.45653789190435246,0.2084268467444702
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,2016-2022,True,False,False,False,504,403,101,[1.0],[0.43049506116717196],0.45217103096374855,0.6884799004069913,0.4740045732644206,0.7606472443692397,0.8739699868430392,0.7638235379024221,0.4345013111022422,0.6723160355690153,0.45200885168323746,-0.22719550926221466,0.4079823945990431,0.16644963430276932
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,2016-2022,True,False,True,False,504,403,101,[10.0],[0.33073731288419744],0.3482208195489378,0.6040817724754558,0.36491478783708836,0.5939971263640572,0.7736185327125252,0.5984856341562804,0.21488848673481808,0.48111890975547933,0.23147540532430105,-0.08385087245895595,0.4358618825107207,0.18997558062578931
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,2016-2022,True,True,False,False,504,403,101,[1.0],[0.3788083340361343],0.4038683734341827,0.661708638261035,0.43785832194927327,0.7455043409514912,0.8655810921501356,0.7492306270878215,0.3645435672886471,0.6244210013512569,0.38990158692850635,-0.25393441957461715,0.4318336062350346,0.1864802634739549
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,2016-2022,True,True,True,False,504,403,101,[10.0],[0.34860515660422753],0.36718894537435254,0.6173702788208066,0.3811460611712805,0.6050742935094975,0.7809226919387251,0.609840250784825,0.2177833829105944,0.48583197695204966,0.2360327098291369,-0.07995957580877255,0.4379323897543386,0.19178477799594595
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,2016-2022,False,True,False,False,490,392,98,[10.0],[0.5442042192893154],0.5527170954467222,0.7484040325442456,0.5601085959284882,0.7489314375986189,0.86663690536048,0.7510595257327896,0.6305390777325834,0.8006602906811817,0.6410569010736744,-0.09310139754882951,0.4514584113103505,0.20381469714286563
