,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_summary_val_R2,logo_summary_val_r,logo_val_R2,logo_val_r,logo_val_r2,logo_summary_train_R2,logo_summary_train_r,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
1091,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,384,307,77,10000.0,0.6669978633650798,0.6774801308569859,0.823764933819953,0.6785886661913915,0.8630212846801868,0.9340516074084548,0.8724524053023183,0.719373995020142,0.8503695275514643,0.7231283333881007,384,2688,384,10000.0,0.6532725969392861,0.8101346577227861,0.6430438889985913,0.803389117115796,0.6454340735000982,0.867481589693411,0.9361218363814297,0.8649652166736268,0.9344652685401468,0.8732253381078087,0.65423604616476,0.8101357214881999,0.6563198872312062,0.4920292808061063,0.7028225504970795,0.49395953748721994,-0.17132817154459024,0.14209636846908869,0.02019137793210302
1092,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,True,384,307,77,1000.0,0.6908887515913209,0.7082068767639986,0.8423235655909128,0.7095089891497888,0.9682837965753865,0.9852970123985636,0.9708102026415352,0.7290010668259332,0.8592309498740937,0.7382778252215373,384,2688,384,10000.0,0.6498593161221293,0.8081614542286248,0.6407799685279263,0.8018983045980894,0.6430408909172902,0.8629979891154117,0.9346919353177034,0.8606481236449879,0.9331075382268977,0.8706896778958614,0.6500855306206066,0.807435023697765,0.6519513174938103,0.7047607016775572,0.8402569972316811,0.7060318213968014,-0.19549427027922794,0.16979100160973676,0.02882898422763763
1093,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,False,384,307,77,1000.0,0.6907972630524088,0.7081232770207501,0.8422758161523369,0.7094285504750852,0.9682674886199433,0.9852891469743985,0.9707947031455378,0.7288936032517257,0.8591766982579052,0.7381845988293555,384,2688,384,10000.0,0.6498175999382585,0.8081342558580107,0.6407378379006599,0.8018709623671554,0.6429970402876279,0.8629647120030719,0.9346736000182339,0.8606145661084802,0.9330889940963629,0.8706550709037624,0.6500404140353592,0.8074061360777783,0.6519046685760479,0.7046712831027673,0.8402066213406618,0.7059471665446903,-0.19551763535494482,0.16981692563691514,0.028837788232773567
1094,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,426,340,86,10000.0,0.6369316697352809,0.6477643258430709,0.8064921919699474,0.6504296557084904,0.8412687011211599,0.9240831119013819,0.8539295977013419,0.6512419359974764,0.8128955417562365,0.6607991618071651,426,2130,426,10000.0,0.5770930018841374,0.7713409422580141,0.5519273412235618,0.74928109299536,0.5614221563203214,0.8689039024744336,0.939138254096433,0.8584749903638138,0.9320212253411283,0.8686635644863783,0.5476966672020378,0.743849579070331,0.5533121962831086,0.5412008351525873,0.7392510568348243,0.5464921250314047,-0.3103507945839503,0.12736351319412045,0.016221464493148895
1095,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,426,340,86,10000.0,0.6368853764766663,0.6477188468286779,0.8064621180898495,0.6503811479139663,0.841221945178863,0.924056172563276,0.8538798100522909,0.6511589319487161,0.8128442191749014,0.6607157246460551,426,2130,426,10000.0,0.5770159038584552,0.7712842139965862,0.5518406379690453,0.749217073726168,0.5613262235628023,0.8688498728382354,0.9391079622571836,0.8584218168333463,0.9319914376470821,0.868608039847475,0.5475260738996597,0.7437215355969669,0.5531217225107105,0.5411547403524731,0.739224753679651,0.5464532364527407,-0.31065249564776787,0.12725759253854435,0.01619449485870618
1096,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,True,376,300,76,1000.0,0.6789586070964171,0.6803574100906039,0.8283141788029026,0.6861043788059269,0.9551680346810578,0.9788132899948724,0.9580754566705861,0.6932035695389422,0.8365108171584128,0.6997503472230355,376,2632,376,10000.0,0.602163318194938,0.7776826529083665,0.5914308617746581,0.7701910232224791,0.5931942122524894,0.8444153847327732,0.9253853843429178,0.8422227970448719,0.9238662638780573,0.8535288735320001,0.5986733206907101,0.7747193376012853,0.6001900520533743,0.623570550588872,0.7921914547038276,0.6275673009057665,-0.3595233538781948,0.12640132400392626,0.015977294709945543
1097,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,1000.0,0.6788058101471299,0.6802052272634787,0.828231575764009,0.6859675430925333,0.9551228154726346,0.9787905734496963,0.9580309866739853,0.6930654774997813,0.8364252841060772,0.699607255891932,376,2632,376,10000.0,0.6020967630756194,0.7776383808938947,0.591363091451401,0.7701462250966762,0.5931252080306603,0.8443656117067496,0.9253573303542311,0.8421727457643827,0.9238379959753557,0.8534766428077613,0.5986006054445542,0.7746720243822893,0.6001167453605543,0.6234222693488691,0.7921098401238194,0.6274379988209826,-0.3595642599930453,0.12644060449054295,0.01598722646393391
1098,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,420,336,84,1000.0,0.6590838378759871,0.6673866561306242,0.8206481289446045,0.6734633515402801,0.9525582021957375,0.9777539748756778,0.9560028353851876,0.25500835084190554,0.6072171782191808,0.36871270152446434,420,2100,420,10000.0,0.534931760747548,0.7407336235034562,0.5094954327213099,0.7188467696066723,0.5167406781739482,0.8484609700041803,0.9289065659620848,0.8373792041673327,0.9211385758241039,0.8484962758712583,0.4951098045547663,0.7061536100175047,0.49865292094075403,0.43005395763710086,0.7272079926851343,0.5288314646251423,-0.3803252863568647,0.1458848991874628,0.021282403810936188
1099,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,420,336,84,1000.0,0.6588061511166405,0.6671251324290923,0.8205049671901681,0.6732284011837388,0.9524773726602531,0.9777129110138492,0.9559225363631749,0.2544156642912525,0.606959108483762,0.36839935937140317,420,2100,420,10000.0,0.5348294869313122,0.7406564823896193,0.5093868177374206,0.7187657339182995,0.5166241802551117,0.8483856202632827,0.9288632983138817,0.837306198475327,0.9210968695174481,0.8484194430348427,0.4949010972908645,0.7059907643319326,0.49842295932198644,0.4296233404244858,0.7270641113618258,0.5286222220303615,-0.3806839320510047,0.14573061456158326,0.021237412020496744
1100,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,True,420,336,84,1000.0,0.6796905790667362,0.7077495806829235,0.8420078076158326,0.708977148086021,0.9800803385391033,0.9908803416538914,0.9818438514761325,0.5253802318843146,0.7611907858612798,0.5794114124801126,420,2100,420,10000.0,0.48690640670927643,0.703205299536982,0.4573460108349815,0.6796070474034637,0.46186573888045374,0.8259310840708812,0.9208136078746556,0.804972143839682,0.9050613637113887,0.8191360720831186,0.38881065654068137,0.6358719541368146,0.40433314205777127,0.7790596867419225,0.884230477570911,0.7818635374652814,-0.8406455520845306,-0.12465273104874777,0.015538303357911447
