,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
17,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,648,518,130,0.1,0.7852659645176813,0.7860131449479764,0.890421917556035,0.7928511912641663,0.9481815845284762,0.9740082060310344,0.948691985415794,0.764734378936339,0.8895868762273578,0.7913648103559483,1.0,0.6663244111052246,0.704339353745978,0.8397559749696509,0.705190097497229,0.6086561378163339,0.7801731956403564,0.6086702151956858,0.5443891695358694,0.737827701528639,0.5443897171430343
18,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,False,648,518,130,10.0,0.6118977766718567,0.6130709741312063,0.7838647680293326,0.6144439745576794,0.7350229710898706,0.858717581958055,0.7373958855638889,0.6127392112865847,0.7936195520827066,0.6298319934479559,1000.0,0.38324836466025025,0.4558688161230018,0.6766089304638243,0.45779964478340024,0.2857861337442751,0.5608849395936056,0.31459191546292264,0.1835397404786897,0.45081261369397535,0.20323201266559346
19,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,False,False,False,504,403,101,1.0,0.3192400832933255,0.3377226730286744,0.5939415224446393,0.35276653208385594,0.5885933803140768,0.7703005354374431,0.5933629148952116,0.44375164828796054,0.6676014210493589,0.4456916573871234,1000000.0,-0.049527068850731486,0.0025702691942760536,0.06241753020834915,0.0038959480773101784,0.07911275656564198,0.4582216142431197,0.2099670477595704,0.03091327825710588,0.1955025979907418,0.0382212658211296
20,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,504,403,101,10.0,0.33073731288419694,0.34822081954893747,0.6040817724754556,0.3649147878370881,0.5939971263640573,0.7736185327125006,0.5984856341562423,0.21488848673494154,0.4811189097555825,0.23147540532440036,100000.0,-0.025649497252214912,0.04086695745215063,0.2320043449114937,0.05382601605781133,0.1813349055283806,0.560827933631551,0.31452797114143544,0.2344412100089206,0.4882191043066795,0.23835789381001637
21,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,504,403,101,0.1,0.5182900099229861,0.528373214502514,0.7346774299965215,0.5397509261462938,0.7751684940546602,0.8829695385152795,0.7796352059458856,0.6639909614794287,0.8186920163240835,0.6702566175927934,1000.0,0.1863376917692104,0.2473826238378567,0.4997319610902096,0.2497320329350668,0.2923111973209249,0.5879164820452043,0.34564578986040906,0.07629607817843298,0.32942311605420693,0.1085195893908635
22,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,True,648,518,130,0.1,0.7839912422522259,0.7848036425772218,0.8900877868428223,0.7922562682867534,0.9473355454359134,0.9735731720000033,0.9478447212381479,0.759676424431116,0.8876388471208619,0.787902722918053,1.0,0.6553383845136618,0.6952445632460764,0.834775927251219,0.6968508487181324,0.60162809157878,0.7756909855875107,0.6016965051217238,0.5420217260937199,0.7362277210173007,0.5420312571943284
23,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,True,497,397,100,10.0,0.6237613084970962,0.6305074978250595,0.7954741247115297,0.6327790830855743,0.8184027901070509,0.9083600930034841,0.8251180585612983,0.7483986619394375,0.8733635317342159,0.7627638585632627,1.0,0.12209338082644597,0.25740284314801265,0.608692709142787,0.37050681416358544,0.40779221302131086,0.6543462925681771,0.4281690705977184,0.6788274010728436,0.8250391785528476,0.6806896461471575
24,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,True,504,403,101,1.0,0.7288039632666272,0.7316625312597793,0.8567601977161199,0.7340380363905649,0.8915157536494955,0.9451908914995749,0.8933858213737612,0.7813678288550272,0.8842472531075934,0.7818932046283245,10.0,0.46592021718792914,0.5227966094405198,0.728382272801891,0.5305407353320485,0.4774311944466484,0.6912805080759125,0.4778687408456917,0.38420858546755654,0.6199400161474844,0.3843256236209432
25,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,0.1,0.515480791575091,0.5243410039779897,0.7321833788589635,0.5360925002773284,0.7736427972218626,0.8820947967993239,0.7780912305404405,0.6732001767646075,0.8236921989677588,0.6784688386403419,1000.0,0.185758065872073,0.24728080564842125,0.49963701780888137,0.24963714956495245,0.2925597694377503,0.5863264806716939,0.34377874193685426,0.07748803930069725,0.3308150013015638,0.10943856508615368
26,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,True,504,403,101,1.0,0.6892091677350367,0.6998968541035336,0.8367062543194577,0.7000773560172969,0.8562378298686979,0.9277401880667538,0.8607018565541358,0.8074792044477336,0.898805165204342,0.8078507249980045,1000.0,0.2036994982866251,0.27115499814509947,0.5218863888620582,0.2723654028794794,0.3786215004662953,0.6171134821576844,0.3808290498607826,0.1398310055262718,0.3981224930869746,0.15850151950178815
