year,district,split,observed,predicted
2021,Luwingu,val,0.0689904905636618,0.0009671683247965334
2017,Mambwe,val,0.07318070079615163,0.04147040764889996
2018,Mambwe,val,-0.1139080494852942,-0.04524773944099932
2019,Mambwe,val,-0.023105431827734835,-0.04880945564498572
2020,Mambwe,val,-0.009916652507894308,-0.03563709020692107
2021,Mambwe,val,0.08590054648125162,0.0578778511156537
2017,Mansa,val,-0.03905532662260425,0.014453448661643933
2018,Mansa,val,-0.009952234680169036,0.04292380384067675
2019,Mansa,val,0.0081639021161094,0.014499112475965737
2020,Mansa,val,-0.03131612503480519,-0.020540028183434207
2021,Mansa,val,0.06939266451727477,0.03499523068209538
2017,Masaiti,val,-0.03952331780925966,-0.023678891917412903
2018,Masaiti,val,-0.054569404668463606,-0.03201210669724092
2019,Masaiti,val,0.03488530552374136,0.02060829043626141
2020,Masaiti,val,0.037504758881595324,0.012351727267882232
2021,Masaiti,val,0.03470982206890272,0.003991398480852214
2017,Mazabuka,val,0.1895493605638337,0.1049203522912578
2018,Mazabuka,val,-0.041571298919420074,-0.003782828721698092
2019,Mazabuka,val,-0.24378542904262318,-0.15069412553579142
2020,Mazabuka,val,-0.01941967317105847,-0.11587268790990521
2021,Mazabuka,val,0.007225651958929213,0.053062683491258124
2017,Mbala,val,0.04458090349251842,0.07941752991668162
2018,Mbala,val,0.01843659481257154,-0.061271647727213725
2019,Mbala,val,-0.07279346794300295,-0.09490957687085254
2020,Mbala,val,0.002850933920634069,-0.07834482380919962
2021,Mbala,val,0.051684393989365196,-0.0613876528987867
2017,Milenge,val,0.02648597559079857,0.04336890595812155
2018,Milenge,val,0.009533139694783754,-0.01050808602065973
2019,Milenge,val,0.030881160972409005,0.021993187898867703
2020,Milenge,val,-0.09843849982216535,-0.06774846394132417
2021,Milenge,val,0.05927225896627675,-0.026960575386731148
2017,Mkushi,val,0.02543903735224784,0.0070289856154827045
2018,Mkushi,val,-0.045992407234410226,-0.03375328409483393
2019,Mkushi,val,-0.0653030786622607,-0.04817036500124431
2020,Mkushi,val,-0.02275146920328086,-0.08064566132534463
2021,Mkushi,val,0.03925475818642554,0.0005062753326369011
2017,Mongu,val,-0.005001472646082167,-0.0004781029176884775
2018,Mongu,val,-0.04430808109374346,0.04846566232206456
2019,Mongu,val,-0.09117018042011904,0.003989574589956338
2020,Mongu,val,-0.01650198257861965,0.06126362054688407
2021,Mongu,val,0.0656941988872147,0.09001352978622305
2017,Monze,val,0.13139787635483707,0.091068571637946
2018,Monze,val,-0.05847981405865316,0.0699507874096645
2019,Monze,val,-0.3006348887122329,-0.15095924182381298
2020,Monze,val,0.08770094878561147,0.1086262307532176
2021,Monze,val,0.12417754994695707,0.16133238996964955
2017,Mpika,val,0.029931970601243973,0.058306782789033965
2018,Mpika,val,-0.014382781990816107,0.07369013944992601
2019,Mpika,val,-0.011943090644971566,0.005235611759455123
2020,Mpika,val,-0.026181790074250588,-0.04935575499382747
2021,Mpika,val,0.010866795298649978,-0.00032224696363614743
2017,Mpongwe,val,0.08153174985458533,0.00964109420689814
2018,Mpongwe,val,-0.03755336764425665,-0.02876900838984061
2019,Mpongwe,val,-0.017756211539132427,0.008037169486011221
2020,Mpongwe,val,-0.013990550764812593,-0.009412418884962645
2021,Mpongwe,val,-0.04408563149014422,0.01821024290035019
2017,Mporokoso,val,-0.003945934200756618,0.004576236413987166
2018,Mporokoso,val,-0.04781861774546037,0.03141797747316847
2019,Mporokoso,val,0.007120547877355721,0.014515603966700845
2020,Mporokoso,val,0.01980404973331118,-0.05779838465111313
2021,Mporokoso,val,0.028631112227227917,0.009907523159445627
2017,Mpulungu,val,0.023362235167962098,-0.048057777446066804
2018,Mpulungu,val,-0.021701460733692834,-0.04510844041577002
2019,Mpulungu,val,-0.1344963699293199,-0.005497724763520419
2020,Mpulungu,val,-0.04082210742966896,-0.10863591528497728
2021,Mpulungu,val,0.13682681027617016,-0.015286313981928768
2017,Mufulira,val,-0.028091690245905854,0.007389833834695257
2018,Mufulira,val,-0.0070478941559714015,-0.0774906004932321
2019,Mufulira,val,-0.047279386366956055,-0.008889142789009055
2020,Mufulira,val,0.011839049041168725,-0.017434913357076018
2021,Mufulira,val,0.03361112806286881,-0.03262515432931293
2017,Mufumbwe,val,-0.02857734361604325,0.04330216481797387
2018,Mufumbwe,val,0.015688250225751266,0.04266847339431587
2019,Mufumbwe,val,-0.033528483787962804,0.03089130710647936
2020,Mufumbwe,val,0.035415819962917316,0.07344103195525889
2021,Mufumbwe,val,-0.050942104647867414,-0.001581275371408103
2017,Mumbwa,val,0.07147787406549733,-0.022418716311599113
2018,Mumbwa,val,0.03320206764054545,0.08679495990574945
2019,Mumbwa,val,-0.2017147138925714,-0.09985875358396025
2020,Mumbwa,val,-0.06081671698515351,-0.08087104390343444
2021,Mumbwa,val,0.03628475541698717,0.0543954333428718
2017,Mungwi,val,-0.009052158174475022,0.06882283804957699
2018,Mungwi,val,0.022016297279899733,0.011263248685885088
2019,Mungwi,val,-0.038572439419392146,0.00769494955292753
