split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.606166143901193, 0.6651656097744711, 0.791272321826716]]",0.7973075859701129,0.8933727920376919,0.7981149455532212,0.9503462120827655,0.9758983307875146,0.9523775520338573,0.8211588932613422,0.9209068859497455,0.8480694925896575,0.20575076513793644,0.5156039391435525,0.2658474220603482,0.1547761966518062,0.6005972487836774,0.3607170552465225
1,116739,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[1.0, 10.0, 0.0009999999999999998]]","[[0.6035980019681806, 0.6560696556542847, 0.75319535778727]]",0.7659927206599049,0.8759015228982462,0.7672034778154669,0.9724354984479346,0.9867933397515785,0.9737610953780742,0.7903744320458244,0.8897271483597677,0.7916143985284042,0.0013308728056506958,0.43872893097468585,0.19248307487419067,0.5501790853394755,0.751916386958848,0.5653782529772481
2,26225,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[1.0, 10.0, 9.999999999999998e-05]]","[[0.557372069370878, 0.6328447368050125, 0.7488152502317558]]",0.7538291278354161,0.8752534963545688,0.7660686828808972,0.9768601870899523,0.9886168731600409,0.9773633218967364,0.8289351093846747,0.9107687089661396,0.8294996412318487,-0.08014526983229264,0.40803177877261504,0.16648993248834426,0.621376891911572,0.7886192474328741,0.6219203174215928
3,777572,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.622672346596738, 0.646923998051585, 0.7879036260006881]]",0.7910724160797823,0.8922367006426031,0.7960863299735981,0.9542560723424696,0.9772269956793561,0.9549726010845003,0.8689881323612736,0.9325768791795787,0.8696996355803225,0.18478940667113797,0.5224518214147474,0.27295590569958716,0.42805428269087364,0.6580642086474507,0.4330485027027956
4,288389,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6541373058377102, 0.7104806471219346, 0.8119301482594665]]",0.8157184775317229,0.9039298953325219,0.817089255675864,0.9572217330327211,0.9787319300293562,0.9579161908589886,0.8322764340289368,0.9162447648270817,0.8395044690730343,0.23472959672487215,0.5297034245551216,0.2805857179854235,0.6160362099598378,0.798705765476367,0.6379308998051892
5,256787,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[0.09999999999999999, 1.0, 9.999999999999997e-06]]","[[0.5893717826120113, 0.5893717826120113, 0.7323179002398745]]",0.7463572008541848,0.8749951041359233,0.7656164322618353,0.9981187080643781,0.9990854729884706,0.9981717823365961,0.7411596464342391,0.8609436703952048,0.7412240035935671,-0.06525831031986384,0.48253643049055617,0.23284140675056733,0.0830708132736766,0.3585747080973521,0.12857582128710127
6,234053,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.5604596683028914, 0.6307370673682664, 0.7728860729584961]]",0.7800392073412813,0.8845972127552764,0.7825122288144036,0.9544678314311603,0.9773308022702254,0.9551754970661624,0.8401778055339286,0.9179393839748811,0.8426127126521842,0.16107195763476545,0.48898474517710866,0.2391060810159219,0.42047105534375095,0.6765560445748298,0.457728081450739
7,146316,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5573504861227774, 0.6205574197451421, 0.7803435382114783]]",0.7796977670735475,0.8832964041714411,0.7802125376221978,0.9379765734495604,0.9697395911925197,0.9403948747262353,0.8278289337440385,0.9133215958007879,0.8341563373560977,0.06952957883923483,0.43834632171236154,0.19214749775875717,0.36562536347619634,0.6076223378704959,0.3692049054792071
8,772246,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6320376132735248, 0.6663277875142203, 0.7931537868767283]]",0.7933652256377872,0.892029223973644,0.7957161364230216,0.951681576906459,0.9759123053524985,0.9524048277384283,0.8832211744921888,0.9425614586654485,0.8884221033615379,0.17646593336000582,0.49386722604339117,0.24390483695979404,0.5071014910564098,0.7130202022371559,0.5083978087983146
9,107473,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.5841378502271851, 0.6614089444898115, 0.7911671966819176]]",0.7985089322687857,0.8957740797319247,0.8024112019195766,0.9535245446872547,0.9768167553988104,0.9541709736278594,0.8384000462961105,0.9198925970899754,0.8462023901809398,0.13086591827006244,0.4863734605368647,0.23655914311460507,0.6120327651550841,0.7872715209788202,0.619796447744305
0,670487,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6249073424905507, 0.6476343518495327, 0.8029856050887776]]",0.8046746051334297,0.8982472399306619,0.8068481040430521,0.9638930322633437,0.9821660038424624,0.9646500591038719,0.8417974817049507,0.9190185469194061,0.8445950895818566,0.167484245960267,0.48331551130149536,0.2335938834646259,0.15431793219960144,0.4961169279198215,0.24613200616860134
1,116739,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.6455876798915093, 0.6762746699823863, 0.8174275585927238]]",0.8196921577744158,0.9058107560303857,0.8204931257403391,0.955814299146654,0.9791355811119077,0.9587064861993532,0.7466476922950871,0.8782886586939512,0.77139096799042,0.24263570508516252,0.5228801993835117,0.27340370290734095,0.31022410317839666,0.5605586059385699,0.3142259506917929
2,26225,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.5789627119433429, 0.6374066282841734, 0.7997637151927738]]",0.8015691868470709,0.8963414262221566,0.8034279523619698,0.9628733608320543,0.9816589975135077,0.9636543873992249,0.8511695751154434,0.9239966615282318,0.8537698305153177,0.1165500288626834,0.4381649362753821,0.19198851138120968,0.6884500635218738,0.8300128506614481,0.6889213322631434
3,777572,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 1.0, 9.999999999999998e-05]]","[[0.6602871759596307, 0.6602871759596307, 0.7998379768602029]]",0.8094130016521132,0.9022727137223838,0.8140960499279548,0.990800367407042,0.9955420847489852,0.9911040425063556,0.8150338444418238,0.9029499848660498,0.8153186751695997,0.19212517835916365,0.5407697892397556,0.2924319649544097,0.33475868588529756,0.5838702941648581,0.340904520408158
4,288389,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 10.0, 9.999999999999997e-06]]","[[0.5917539197894375, 0.6245848668233103, 0.7891152778063877]]",0.7942962159609673,0.89325743648831,0.7979088478416672,0.9682278097484851,0.9842524050502472,0.968752796847196,0.8038343207717238,0.8991362801277007,0.8084460502418791,0.11779414475546801,0.4362131626041817,0.19028192322914225,0.5628467584527945,0.7639097354037873,0.5835580838446842
