split,random_state,variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
6,234053,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[-0.0015368981733443255, 0.07514178194503826]",0.0746403600607215,0.2751030700156763,0.0756816991320501,0.11181079328624499,0.3365949674167677,0.11329617209029491,0.16045595501624466,0.4082601925150555,0.1666763847924302,,,,,,
7,146316,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[-0.018935257859250765, 0.06741059141641825]",0.0795983642253415,0.28436089048632585,0.0808611160381762,0.1286335081682014,0.36094696163050977,0.13028270911029668,0.09555924097823776,0.3095476408917912,0.09581974198167333,,,,,,
9,107473,pre,2009,True,True,936,748,188,"[0.1, 1000000000.0]","[0.020285635066541262, 0.10067503186196433]",0.10149322982374964,0.3190370347708448,0.10178462955537322,0.13105759058683764,0.36425082567322326,0.13267866400362488,0.08466805611144024,0.297073462294341,0.08825264199954724,,,,,,
0,670487,pre,2009,True,False,936,748,188,"[0.1, 0.1]","[0.5117354772545322, 0.5922528895436786]",0.5915771608356661,0.769370457721475,0.591930901214552,0.6830353796450928,0.8295687365395988,0.6881842886439064,0.5240206645321204,0.7281057131736419,0.5301379295560977,-0.07701213584715871,0.06756736929910233,0.004565349394001276,0.09012854782930368,0.30049850986817345,0.09029935443299274
1,116739,pre,2009,True,False,936,748,188,"[0.1, 0.1]","[0.49311820528532857, 0.5691514217972797]",0.5715100220445635,0.7560718232729133,0.5716446019472275,0.6578898064412146,0.8140981379107499,0.6627557781497504,0.6475282880465603,0.8062657023568598,0.6500643827970004,-0.056664534339423867,0.09600689977383166,0.009217324804182558,0.04049765567582919,0.2298199161684787,0.052817193867686574
3,777572,pre,2009,True,False,936,748,188,"[0.1, 0.1]","[0.5014390946551652, 0.5816400453232956]",0.5815599191076799,0.7629576914685786,0.5821044389710628,0.6566492916614104,0.8134071107499425,0.6616311278185693,0.6358466103621939,0.805825205536838,0.6493542618784872,-0.04199217699569924,0.10742362030345681,0.011539834199101259,0.11170354755713285,0.3342636570144682,0.11173219240068603
5,256787,pre,2009,True,False,936,748,188,"[0.1, 0.1]","[0.485740707098086, 0.5609430921228411]",0.5645195172716075,0.7513505101539499,0.5645275891086008,0.6613981674387777,0.8161353304575032,0.6660768776209779,0.5946952203139297,0.7761290925392558,0.6023763682858086,-0.09029811253074738,0.06109738192752165,0.003732890078397449,0.03913070067734081,0.21396456494293375,0.04578083505121892
6,234053,pre,2009,True,False,936,748,188,"[0.1, 0.1]","[0.4991399447101112, 0.5819263490566696]",0.5822321585109623,0.7631131288905921,0.5823416474851895,0.6697018817953655,0.8212018727808971,0.6743725158588526,0.5807680087807041,0.7628471790175022,0.581935818534961,-0.10203149129571565,0.019209823834940177,0.00036901733176943573,0.12434296159977454,0.3550831929141715,0.12608407389012274
7,146316,pre,2009,True,False,936,748,188,"[0.1, 0.1]","[0.45873610896431066, 0.535389089552395]",0.5585818959441505,0.7474029051771582,0.5586111026672562,0.6604489299470508,0.8156191999282698,0.6652346792916309,0.6109347076366268,0.7837338941156786,0.6142388167857258,-0.10561961441473522,0.02351515322313332,0.0005529624311074375,0.14305898917954363,0.3799065459056802,0.14432898362198468
8,772246,pre,2009,True,False,936,748,188,"[0.1, 0.1]","[0.49242240955104616, 0.5650323335401881]",0.5641014476185684,0.7510669921769714,0.5641016267377628,0.6623760218663444,0.8170627320641577,0.6675915081281455,0.6012240245902323,0.778660280080267,0.6063118317746798,-0.08732700384202352,0.060091631470878384,0.0036110041728318614,0.09585540361090505,0.3108578784170546,0.09663262057395229
1,116739,pre,2016,True,False,432,345,87,"[0.1, 0.01]","[0.5513116448311036, 0.6742573394613299]",0.6887598614460648,0.8334606227667192,0.6946566097026874,0.8234361099756653,0.9075613841254961,0.8236676659557863,0.6778428268980641,0.8306357270118168,0.6899557109884493,-0.4275310296931596,-0.2689920190409387,0.07235670630772074,-0.026401564606886696,0.0929443231320572,0.008638647202476262
