country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,648,518,130,1000.0,0.6575681121073103,0.6589291269291446,0.814461111612422,0.6633469023289421,0.9143745679829753,0.9588458649142002,0.9193853926630606,0.6871047914770481,0.8430862300811358,0.7107943913524218,0.5516444420784543,0.7453301953752633,0.5555171001381283
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,True,426,340,86,1000.0,0.6436022662208963,0.6592615608978666,0.8135757145972387,0.6619054433824075,0.9687514187151309,0.985983114012228,0.9721627011172503,0.6603418311038791,0.8186203135095486,0.6701392176904716,0.7462177666210215,0.8659540939575338,0.7498764928418132
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,False,426,340,86,1000.0,0.6308507119046052,0.6470671085527904,0.8066455325130037,0.6506770151231874,0.9656762621544412,0.9844760009567719,0.9691929964598379,0.6317906315626993,0.8016566780221862,0.6426534294175671,0.7316631653509429,0.8586485754835331,0.7372773761799006
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,True,426,340,86,10000.0,0.5988030723225546,0.643931513837348,0.803512671398221,0.6456326130975055,0.8246511363504143,0.9135200722973407,0.8345189224901385,0.5827096134545406,0.7697006596273998,0.5924391054308543,0.5483074762989115,0.7425129258870308,0.5513254451093192
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,426,340,86,10000.0,0.593326054115921,0.6388514994620712,0.8002137587859584,0.640342059750352,0.8198707396460745,0.9107147846437976,0.8294014189687987,0.5754310395120859,0.7654330591193148,0.5858877679927524,0.5457691980571717,0.7409770592514824,0.5490470023369748
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,426,340,86,1000.0,0.7133099121012053,0.7225875991231588,0.8506435105441366,0.7235943820308526,0.9643847319931274,0.983374205352508,0.9670248277526765,0.691160083342769,0.8334384005618366,0.6946195675310723,0.7541645256441243,0.8714748895012504,0.7594684830312166
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,426,340,86,1000.0,0.7008266800781693,0.7101493504853569,0.8436369815393877,0.7117233566208891,0.9601225406660499,0.9812141235820333,0.9627811563168577,0.661033064304898,0.8165828500032003,0.6668075509193491,0.7391415431930888,0.8643636791516127,0.7471245698365121
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,432,345,87,1000.0,0.6193097677159025,0.6268601143519098,0.7920767322952749,0.6273855498435605,0.9087642047758737,0.9573326438141242,0.9164857909121408,0.6380656220204006,0.7987924243948165,0.6380693372705486,0.5706463921719205,0.7562239574251024,0.5718746737836831
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,432,345,87,1000.0,0.5923875307204904,0.6005528120326549,0.7760190897930548,0.6022056277232413,0.8935104956016833,0.9491208818562851,0.9008304483756523,0.6090354519563663,0.7806148588163626,0.6093595578048897,0.5509368372750668,0.7444517825182815,0.5542084564946467
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,414,331,83,1000.0,0.6816618284640319,0.7042454662337034,0.8406150302404175,0.7066336290660981,0.981014779398077,0.9913937163415445,0.9828615008014988,0.5988606849523764,0.7955198472498793,0.6328518273684713,0.7832704092518913,0.8853295885058605,0.7838084802839563
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,414,331,83,10000.0,0.6723169583710918,0.6864411547069604,0.8312850859456486,0.6910348941156644,0.8769934229489579,0.9420595142583406,0.8874761284046605,0.5722995970564555,0.7706649546234301,0.5939244722847336,0.6192500029715056,0.7870500156695541,0.6194477271654454
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,923,738,185,1000.0,0.5454136334659992,0.5482880642001777,0.7485671044251792,0.5603527098274971,0.8952284534348429,0.9497776416705103,0.9020775686171962,0.5202592490319514,0.730976283869709,0.5343263275799695,0.5886933629921474,0.7685984550504154,0.5907435851058853
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,923,738,185,10000.0,0.535300072238363,0.5337156886175657,0.7309973920722598,0.5343571872164451,0.7108911138196287,0.8512433265011865,0.7246152009128056,0.46962794472371516,0.6883103491881841,0.47377113679955996,0.33964485361113284,0.5838987719078614,0.34093777583550877
