country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_summary_val_R2,logo_summary_val_r,logo_val_R2,logo_val_r,logo_val_r2,logo_summary_train_R2,logo_summary_train_r,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,490,392,98,100.0,0.3592630895322705,0.3799543669902762,0.6173757374172661,0.3811528011515132,0.5351277114130868,0.7356721549373401,0.5412135195501497,0.39711919678703433,0.6380648728706758,0.4071267819914717,490,2940,490,100000.0,-0.009678708190274277,0.005326962419478636,-0.0610719781530229,0.0029693864816982387,8.817256077692245e-06,0.18683841284739322,0.7400816435675188,0.11671524673468925,0.3447433912151802,0.1188480057865428,-0.2137039515133321,-0.17574741006719913,0.030887152145328247
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,497,397,100,100.0,0.2872816350961017,0.30540808844120515,0.5535746457927068,0.3064448884645208,0.4532664871161154,0.6800481481014609,0.4624654837362264,0.43162099882924,0.6642405553682031,0.44121551539585896,497,2982,497,100000.0,0.00038440871658884657,0.05691364446012562,-0.053351038769024584,0.025329522773748094,0.0006415847239458233,0.20473060873592075,0.7334159642859603,0.13440757699110484,0.37242058160193625,0.13869708960072447,-0.20344854845748062,-0.2784499781789528,0.07753439034785928
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,504,403,101,1.0,0.2826907850424941,0.311977978049072,0.5929415163219458,0.3515796417781683,0.6992849391035032,0.8398057938624351,0.7052737714049149,0.05980981784220485,0.44125681370540415,0.19470757564144575,504,3024,504,100000000.0,-0.00311831617146785,0.02538474092823965,-0.07076229344862228,0.006915316973070261,4.7821608838033634e-05,0.13265680647985068,0.6367899368663947,0.08251190404982389,0.289962605697247,0.08407831270273715,-0.36495932851358104,-0.14039403661631258,0.019710485517422518
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,648,518,130,1.0,0.3021167814844993,0.3245167035982979,0.5857595929703574,0.3431143007567988,0.6059364874777855,0.781194640081441,0.6102650656919721,0.24474306261670542,0.5002567517642168,0.25025681768568525,648,5184,648,100000000.0,-0.07237804766882538,-0.5084761588833084,-0.08281861585138484,-0.27791156909257764,0.07723484023549855,0.03794192983795286,0.36527007589572613,0.02584148220840865,0.1663508296857235,0.02767259853712859,-0.1336670731225873,-0.22897058437889045,0.05242752851081059
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,384,307,77,1000.0,0.1091041486341791,0.21388391153779474,0.4647577944922871,0.21599980754133496,0.403336216852361,0.6470655676892164,0.41869384888896793,0.22291121939729552,0.4978111338648994,0.24781592499985677,384,2688,384,100000.0,-0.06150350132972493,-0.18027328605129234,-0.0888979241608967,-0.10913927974760088,0.011911382383825083,0.18829592674947604,0.6281328597095812,0.15213553624674525,0.424004397119928,0.1797797287770336,-0.1717886925673553,-0.24167020179604393,0.058404486436140594
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,497,397,100,100.0,0.24925579140751006,0.2535742342099918,0.5136204594072441,0.2638059763217085,0.4798768954646062,0.6999939916876591,0.4899915883988225,0.3799680971548568,0.6177012130201174,0.3815547885665244,497,2982,497,100000000.0,-0.10819716133209356,-0.5454484362234306,-0.11967129974755153,-0.35045292727471844,0.12281725423541909,0.018922743094554773,0.5421429009027067,0.01070331248451828,0.1041704839254142,0.010851489721254978,-0.10990592562715529,-0.5314187705280149,0.28240590966950696
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,497,397,100,100.0,0.2903515362791697,0.30747993585752853,0.556198169447764,0.3093564036970436,0.4617523596220955,0.6860681884428625,0.47068955919327116,0.41184191109881196,0.6455363569949357,0.4167171882022931,497,2982,497,100000.0,0.008720741353044459,0.0960583047083296,-0.05143690084690178,0.04229118141815622,0.0017885440257434022,0.20709853490207664,0.73320572486002,0.13639534233360984,0.3752743613797891,0.14083084630900855,-0.1818821056942963,-0.25260891127908147,0.06381126205760286
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,648,518,130,1.0,0.31534758582309586,0.3352884415621774,0.5931623171413426,0.3518415344764867,0.6096796634562452,0.7836692023266285,0.6141374186752542,0.2466973362720909,0.5030591742051821,0.25306853275199975,648,5184,648,100000000.0,-0.07251442492614069,-0.5089895643441098,-0.08293130820313399,-0.2785790863452163,0.07760630734893546,0.03808009608052876,0.36593437666805856,0.025966132375881856,0.1668198089783045,0.027828848667558005,-0.13369003856221218,-0.22815564377986858,0.05205499778860628
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,923,738,185,100.0,0.22949762117171896,0.23413495526706762,0.48668598237010346,0.23686324543555265,0.39244527315325073,0.6331839203102786,0.4009218769394932,0.11130891499957041,0.3721656233655783,0.13850725121508947,923,11076,923,100000000.0,-0.07762332834917052,-0.6684418501663248,-0.08137739814524347,-0.4498128334848316,0.20233158516765282,0.008848957899372678,0.637414286542865,0.005674413680048729,0.07836079830796362,0.0061404147114613545,-0.08108496749064686,-0.670521783483357,0.4495994621257019
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,384,307,77,1000.0,0.07333118049601883,0.1604390662204026,0.40517578209026495,0.16416741439245786,0.3540470866327632,0.6115843616441708,0.37403543140770795,0.2981812687437533,0.5615094466364275,0.31529285866194706,384,2688,384,100000.0,-0.0878101049106077,-0.3585790872431357,-0.10299281523291048,-0.23447545544749104,0.05497873920730836,0.1208411248019774,0.5478118089196287,0.1055728252071535,0.3887020099753694,0.1510892525588922,-0.13212815055502825,-0.4138069259824736,0.1712361719910644
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,504,403,101,1.0,0.2873431492776325,0.3139195552049796,0.5937324364872814,0.3525182061371236,0.6969033191811262,0.8383450792290001,0.7028224718674785,0.06305830986500083,0.43983330196939013,0.19345333352129673,504,3024,504,100000000.0,-0.0037251287402939592,0.021281815699503385,-0.07130058635990832,0.005901140394407811,3.4823457954511574e-05,0.13271511247622902,0.6370182769768444,0.08257029749459677,0.29007819322875505,0.08414535818685895,-0.3651776007179979,-0.14054707021033666,0.019753478944709302
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,923,738,185,10.0,0.22665829336989782,0.2308056907083642,0.5065939094031857,0.25663738904440314,0.5184203081242105,0.7257995839383679,0.5267850360451078,0.12366548355089535,0.4023093262280184,0.16185279397004212,923,11076,923,100000000.0,-0.07761761357331909,-0.668536274371986,-0.08137332986738,-0.4497728763536642,0.20229564030344852,0.008905303577002366,0.6347062105754698,0.005728783618231814,0.0788292764702687,0.006214054828826059,-0.08125942482698023,-0.6702323351477598,0.44921138307761904
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,648,518,130,1.0,0.17743919462851296,0.22460829590885878,0.5160593687515105,0.2663172720762075,0.5828457356558283,0.7678722716155525,0.5896278255160288,0.11579446551423311,0.40014815072973464,0.16011854253242644,648,5184,648,100000000.0,-0.08452087916521833,-0.5639651642062136,-0.0909156349573057,-0.3730290806854738,0.13915069503704972,0.009891833341133749,0.5643185261912456,0.00500064289847213,0.07071557514476165,0.005000692568054432,-0.0845222729542574,-0.5639692526029302,0.31806131788150765
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,504,403,101,0.1,0.4041787160922958,0.42401245852920455,0.6589530326973911,0.43421909930108904,0.6882788330795204,0.8318412172675572,0.6919598107451713,-0.15129835012802584,0.3679979577036762,0.13542249687407668,504,3024,504,100000000.0,-0.10799737911509966,-0.546483124462694,-0.11922373051004831,-0.3523613610323202,0.12415852874854909,0.016389843207472277,0.5466903313923325,0.008296245370852495,0.09108379299095262,0.00829625734561871,-0.10763509009781735,-0.5458520715126203,0.2979544839746187
