,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
1017,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,504,403,101,10000.0,0.3712105936162854,0.3842768467106792,0.6205609742903052,0.38509592281213284,0.6475615073925357,0.821882713533002,0.6754911948043707,0.0840867461930016,0.3974500144270574,0.15796651396806813,504,403,101,100000000.0,-0.5325028546321136,-0.14440339887723153,-0.5718353512613634,0.3269956689522069,0.0023944811543545885,0.515046065946016,0.2652724500464678,-0.035915184116511956,-0.25910364776430933,0.06713470028477128
1018,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,490,392,98,10000.0,0.4130501538097505,0.4263794133266562,0.653145121581675,0.4265985498459411,0.7146474368752109,0.8630384475649833,0.7448353619753764,0.43651693381641876,0.6607446674713011,0.4365835155917603,490,392,98,1000.0,-0.5028758346575585,0.16495189335134486,0.436041794321003,0.19013244639467988,0.9014138870383561,0.9529274875082899,0.908070796448862,-0.04825290745874922,0.3306913878506035,0.10935679399855826
1019,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,432,345,87,1000.0,0.5700473619047144,0.6128335020197164,0.7852187532046347,0.6165684903842411,0.9213433985209254,0.9632505851913302,0.9278516898714401,0.3604564573501138,0.6351894975773793,0.40346569783260355,432,345,87,100000000.0,-0.4928301720171147,-0.17153714943136533,-0.551016328222104,0.30361899396736947,0.0032042758288199913,0.6044627523768288,0.3653752190109714,-1.0323379038940113,-0.07023975304661928,0.004933622908050063
1020,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,288,230,58,1.0,0.40207416791542644,0.43675548354964,0.7173159828294177,0.5145422192225334,0.999195614264002,0.9995977370621867,0.9991956359398445,0.6067703705950094,0.7900030018206977,0.6241047428857133,288,230,58,100.0,-0.45275688625046656,0.18922650653528728,0.4963961543453709,0.24640914204887326,0.9990288795930004,0.9995925884338678,0.9991853428519197,-0.47044935217633976,0.6391645416199649,0.4085313112642599
1021,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,504,403,101,1000.0,0.4253283169340548,0.4483382630783762,0.6826448603981999,0.4660040054280779,0.871281243557801,0.9380284294966248,0.8798973345439044,0.2447383034143068,0.5446965344298386,0.29669431461987633,504,403,101,10000.0,-0.5125955207901034,0.0632548490149053,0.2936433437229051,0.0862264133127682,0.6837151303072311,0.8387315009255538,0.7034705306448323,-0.46940828187712613,-0.08585107449006958,0.007370406991099476
1022,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,490,392,98,10000.0,0.4584056886144749,0.47198297109022247,0.6876006283930913,0.4727946241665741,0.7051096412017702,0.8522038852726205,0.7262514620737497,0.5130907913835705,0.7203820997015422,0.5189503695704027,490,392,98,100000000.0,-0.5399367816123287,-0.14525539729714065,-0.5735778764724024,0.32899158037859055,0.00452064688440823,0.5460488990460572,0.29816940014941123,-0.04013643798685629,-0.027666591242488388,0.0007654402709789352
1023,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,288,230,58,1000.0,0.4697815036565024,0.49152693028033634,0.7137169773172274,0.5093919237108396,0.9686255494053196,0.9870185837015087,0.9742056845721322,0.6713903586960412,0.8204630359544476,0.6731595933675891,288,230,58,100000000.0,-0.5907635528865012,-0.19723529445918686,-0.5913164168703215,0.3496551048603559,0.002317878817034935,0.6620367381698636,0.43829264268659257,-0.8637595780916432,-0.14212655060798465,0.02019995638772402
1024,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,504,403,101,1000.0,0.4262381486744724,0.45469389513444225,0.6790368169921215,0.4610909988307919,0.8391012668177196,0.9213913204480916,0.8489619653970778,0.041476203268211664,0.4588184407908923,0.21051436160978554,504,403,101,100000000.0,-0.5322209323926383,-0.14396557423186618,-0.5710246737461657,0.326069178026915,0.003264603118766529,0.5034633483747817,0.2534753431567468,-0.03536049580904854,-0.1022980754055442,0.010464896231678407
1025,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,497,397,100,1000.0,0.4441913536542697,0.4537882629489377,0.6850278470297482,0.46926315120621204,0.9268652108044664,0.9663827272443615,0.9338955755162499,0.5564575185030929,0.7503947293876909,0.5630922498928259,497,397,100,10000.0,-0.3500420444295736,0.21930838804040043,0.4705254180864886,0.2213941690654649,0.7711833197954976,0.8872029227714058,0.7871290261741251,-0.5267350370343749,-0.14902876007209606,0.022209571328626374
1026,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,497,397,100,10000.0,0.43737094896368783,0.44698011124433,0.6687264660760798,0.4471950864306023,0.7433349183935172,0.8748199455230071,0.7653099370848772,0.5254510051539185,0.7255598895927948,0.5264371533859086,497,397,100,10000.0,-0.3554042103774892,0.21511845997169088,0.4661065359203288,0.21725530282764877,0.7701783946192483,0.8866201614085913,0.7860953106161965,-0.5505423923805286,-0.1889475789777816,0.03570118760156502
