,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
1375,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,False,497,397,100,1000.0,0.5964367342151735,0.5989313223295678,0.7769852546371747,0.6037060859235952,0.9201031200589505,0.96282130453386,0.9270248644642839,0.6967613317648484,0.8374748872294066,0.7013641867399072,497,397,100,10000.0,0.37458150255359346,0.4146520056378791,0.6446956347873687,0.4156324615138883,0.73448026848728,0.8682263204583835,0.7538169435367037,0.4333911491763902,0.6641171049573918,0.4410515290969874,0.5969355264472123,0.7774247460116763,0.6043892357113194,-13.317479846659014,0.6464131192789351,0.41784992077592276
1376,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,426,340,86,1000.0,0.5917262678387992,0.6430548646006047,0.8044862750199273,0.6471981666954382,0.9659126590119128,0.9843818507557556,0.9690076280973267,0.6272328850031932,0.8082256545010876,0.6532287085937115,426,340,86,10000.0,0.4396422643902339,0.47835066229210865,0.6950108363754269,0.48304006267927047,0.8080608710742263,0.9061613256924043,0.8211283481806155,0.3696616935410494,0.7150612202792287,0.5113125487472197,0.7468851364266423,0.8654429349198319,0.7489914736026524,-9.720822768940304,0.6691453484584834,0.4477554973636252
1377,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,False,426,340,86,1000.0,0.5915402263418642,0.6428787335102261,0.804383920561014,0.6470334916571078,0.9658704378865316,0.9843610810610052,0.9689667379075908,0.6268685019867759,0.8080551199849358,0.6529530769338691,426,340,86,10000.0,0.4395404406355162,0.47825988100279415,0.6949461421403621,0.48295014047577234,0.8079846647892451,0.9061155868997947,0.8210454568227593,0.36957096342108986,0.7149848663207593,0.5112033590677141,0.7467487189177877,0.865372485223774,0.7488695381823709,-9.722010676554648,0.6691168789079928,0.44771739763957347
1378,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,True,384,307,77,1000.0,0.6908887515913209,0.7082068767639986,0.8423235655909128,0.7095089891497888,0.9682837965753865,0.9852970123985636,0.9708102026415352,0.7290010668259332,0.8592309498740937,0.7382778252215373,384,307,77,10000.0,0.5764742768776531,0.6134329678207255,0.7836954823005711,0.6141786089783247,0.8478633759772309,0.9265551405736078,0.858504428523378,0.5291316288285242,0.7553203270539601,0.5705087964609012,0.7047607016775572,0.8402569972316811,0.7060318213968014,-7.404659532245425,0.6778880087125172,0.4595321523562218
1379,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,False,384,307,77,1000.0,0.6907972630524088,0.7081232770207501,0.8422758161523369,0.7094285504750852,0.9682674886199433,0.9852891469743985,0.9707947031455378,0.7288936032517257,0.8591766982579052,0.7381845988293555,384,307,77,10000.0,0.5764117208620184,0.6133778485262167,0.7836604304617094,0.6141236702714317,0.8478227594292785,0.9265323890389656,0.8584622679382531,0.5290662976740754,0.7552713259912862,0.5704347758646358,0.7046712831027673,0.8402066213406618,0.7059471665446903,-7.405777754566236,0.6778500569948978,0.4594806997679861
1380,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,648,518,130,1000.0,0.6583132147307986,0.6639703325089242,0.8172886603919844,0.6679607544053244,0.9214839184431266,0.9623917777847235,0.9261979339476406,0.6916381119761899,0.8394691294450429,0.7047084192912182,648,518,130,10000.0,0.4733024333727189,0.5108527905934227,0.7169870181970839,0.5140703842631454,0.7466231155186358,0.8726803338017413,0.7615709650043185,0.39853949090686824,0.6906270031172531,0.47696565743471836,0.5630249113006638,0.7574524434193485,0.5737342040419413,-10.572018127140316,0.6076092054638709,0.36918894656443646
1381,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,648,518,130,1000.0,0.6577438694472934,0.6634118001259932,0.8169762445156721,0.6674501841029312,0.9212694655199787,0.9622787200392793,0.9259803350404336,0.6912666791651709,0.839257819603716,0.7043536877659836,648,518,130,10000.0,0.4730974425540393,0.5106659914135032,0.7168612249495201,0.5138900158361265,0.7464756443447185,0.872587396956194,0.7614087653267866,0.39834167331026715,0.6904649864052419,0.4767418974515909,0.5626200873363529,0.7572466501201389,0.5734224891181721,-10.575935379113597,0.6075516345073995,0.3691189885926127
1382,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,432,345,87,1000.0,0.6554790063017805,0.6710862563798021,0.8196149299953537,0.6717686334712886,0.932154399608097,0.9681529457714307,0.9373201264058989,0.7195402275091216,0.8504822581949578,0.7233200715043949,432,345,87,10000.0,0.5225661761594151,0.5653263378337552,0.7551984213471153,0.5703246556051752,0.7576206391258207,0.8794334249792586,0.7734031489707492,0.39675431750019363,0.7351389546043378,0.5404292825767586,0.687282630700881,0.8291819616296551,0.6875427254920028,-9.085285200890961,0.6388525097131392,0.40813252916677667
1383,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,432,345,87,1000.0,0.6551921051483178,0.6708187807166275,0.8194560497772141,0.6715082175164759,0.9320096220693692,0.9680768019047783,0.9371726943861833,0.719240961344159,0.8503156853706877,0.7230367647874223,432,345,87,10000.0,0.5224560767997856,0.5652268291297827,0.7551274868397749,0.5702175213809545,0.7575186706490769,0.8793693832437314,0.7732905121864605,0.3966584932840588,0.7350603498962969,0.5403137179896664,0.687067982365458,0.8290577011864662,0.6873366718965878,-9.086656685456767,0.6388284546460895,0.4081017944655108
1384,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,True,270,216,54,1000.0,0.6222407737326578,0.6428064143972179,0.8030968311503656,0.6449645202037588,0.9775386194203983,0.9900562576531394,0.9802113933181396,0.6410672183622335,0.8072920497203745,0.6517204535417236,270,216,54,10000.0,0.5664419648722303,0.5805808006535058,0.7688782766507972,0.5911738043054998,0.858393276283927,0.9348296200546363,0.8739064185314958,0.05478949813374134,0.5333099766916165,0.28441953123881253,0.7833353608861953,0.8855251644671263,0.784154816904531,-26.789446316419273,0.6682306079015502,0.44653214533647534
