,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
10,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,490,392,98,100.0,0.3592630895322705,0.3799543669902762,0.6173757374172661,0.3811528011515132,0.159652163754592,0.47221802320504086,0.2229898614396765,0.08861992674035424,0.43919229222642847,0.19288986955110454,1e-05,0.6280344252647321,0.790992091420359,0.8909843726102696,0.7938531522357158
11,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,497,397,100,100.0,0.2872816350961017,0.30540808844120515,0.5535746457927068,0.3064448884645208,0.1472793570890767,0.4378574604135901,0.1917191556398386,0.05188234750176457,0.35934234657301123,0.1291269220405981,1e-08,0.42519092560609667,0.6863997320424329,0.8354522402610347,0.6979804457571817
12,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,504,403,101,1.0,0.2826907850424941,0.311977978049072,0.5929415163219458,0.3515796417781683,0.2619724264702269,0.6176433252370598,0.3814832772098924,-0.024590179715160643,0.38520302825545244,0.14838137297717088,100000000.0,-0.4322253381855216,-0.10746309712544955,-0.5454484773340418,0.29751404142602467
13,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,648,518,130,1.0,0.3021167814844993,0.3245167035982979,0.5857595929703574,0.3431143007567988,0.19943627181439372,0.5443635347292528,0.29633165794292643,0.09252916924333976,0.3481391158178763,0.1212008439624527,1e-08,0.5450355701025679,0.7026946677244665,0.8417585466493387,0.7085574508572069
14,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,384,307,77,1000.0,0.1091041486341791,0.21388391153779474,0.4647577944922871,0.21599980754133496,0.0961630991641721,0.37357703430851025,0.13955980056274184,-0.028619774575870505,0.27469223004585586,0.07545582124756539,100000.0,-0.5462243307914533,-0.0941633651251399,-0.42950536383552673,0.1844748575634882
15,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,497,397,100,100.0,0.24925579140751006,0.2535742342099918,0.5136204594072441,0.2638059763217085,0.14516340575765596,0.4566172677592573,0.20849932921592929,-0.013602759792398667,0.24621123337870657,0.06061997144186391,0.1,-0.31490795160080537,0.2785525148659328,0.5590674189889219,0.3125563789749347
16,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,497,397,100,100.0,0.2903515362791697,0.30747993585752853,0.556198169447764,0.3093564036970436,0.1583886518294525,0.4501764690821937,0.2026588533153113,0.0356021574029719,0.313917729270637,0.09854434075043295,1e-08,0.4497271653064166,0.6472193470937495,0.8161314898924684,0.6660706087941003
17,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,648,518,130,1.0,0.31534758582309586,0.3352884415621774,0.5931623171413426,0.3518415344764867,0.19984392537900364,0.5448456859427891,0.29685682149046844,0.09532185028485829,0.3500316146504628,0.12252213125481007,1e-08,0.5810672068214771,0.7676014718129378,0.8821622428051005,0.778210222630925
18,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,923,738,185,100.0,0.22949762117171896,0.23413495526706762,0.48668598237010346,0.23686324543555265,0.22341665380511155,0.5744882037632754,0.33003669626315457,0.036384028108468525,0.24211000861663223,0.058617256272345736,1e-08,-0.44470255656734303,-0.16106053435103718,0.3897429671690637,0.15189958045774588
19,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,384,307,77,1000.0,0.07333118049601883,0.1604390662204026,0.40517578209026495,0.16416741439245786,0.07642176699946135,0.33057291725905785,0.1092784536251639,0.013358375885284435,0.3163489546085504,0.10007666108192267,100000.0,-0.5532914413925871,-0.10036496742373546,-0.49040200177409365,0.24049412334403816
20,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,504,403,101,1.0,0.2873431492776325,0.3139195552049796,0.5937324364872814,0.3525182061371236,0.260369985688089,0.6149728900547232,0.3781916555022587,-0.014540391588363732,0.3861814237943414,0.14913609208382472,100000000.0,-0.43222608717637456,-0.10746420611887975,-0.5454504040614938,0.29751614329084686
21,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,923,738,185,10.0,0.22665829336989782,0.2308056907083642,0.5065939094031857,0.25663738904440314,0.3161689653185519,0.6620281332441765,0.43828124920676914,0.04223581662919862,0.27894071191401637,0.07780792076309827,1e-08,-0.5219280498737645,-0.20960139719412352,0.37317331218041533,0.13925832092370172
22,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,648,518,130,1.0,0.17743919462851296,0.22460829590885878,0.5160593687515105,0.2663172720762075,0.17303987834552148,0.5055130423146561,0.2555434359502193,-0.03598987788402619,0.17004617086758125,0.02891570022672664,1e-08,0.38820608330128525,0.7074049048862334,0.8470320852362558,0.7174633534196798
23,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,504,403,101,0.1,0.4041787160922958,0.42401245852920455,0.6589530326973911,0.43421909930108904,0.244682857074631,0.6036340262508949,0.3643740376478661,-0.05825974036786952,0.3461601258402327,0.11982683272172574,100000000.0,-0.43153976644507325,-0.10763509009781691,-0.5458520715126202,0.2979544839746186
24,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,648,518,130,1.0,0.21174558119721437,0.2359799967780345,0.523986857043766,0.2745622263546041,0.18695802244397364,0.5238590589709418,0.27442831366592063,0.017109509638131293,0.26184469944394706,0.06856264662689097,1e-08,0.6723145884768248,0.7919906151083533,0.8903393823022606,0.792704215678371
25,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,490,392,98,100.0,0.3756114442687773,0.40220006688340015,0.6421620007095866,0.41237203515533916,0.22417439036074316,0.5797667475082026,0.3361294815162399,0.1768813198266468,0.5599791004100817,0.31357659289608436,100000000.0,-0.43904488684670157,-0.10854861661636073,-0.5492475838698596,0.3016729083868785
