country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,490,392,98,100.0,0.3592630895322705,0.3799543669902762,0.6173757374172661,0.3811528011515132,0.5351277114130868,0.7356721549373401,0.5412135195501497,0.39711919678703433,0.6380648728706758,0.4071267819914717
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,497,397,100,100.0,0.2872816350961017,0.30540808844120515,0.5535746457927068,0.3064448884645208,0.4532664871161154,0.6800481481014609,0.4624654837362264,0.43162099882924,0.6642405553682031,0.44121551539585896
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,504,403,101,1.0,0.2826907850424941,0.311977978049072,0.5929415163219458,0.3515796417781683,0.6992849391035032,0.8398057938624351,0.7052737714049149,0.05980981784220485,0.44125681370540415,0.19470757564144575
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,648,518,130,1.0,0.3021167814844993,0.3245167035982979,0.5857595929703574,0.3431143007567988,0.6059364874777855,0.781194640081441,0.6102650656919721,0.24474306261670542,0.5002567517642168,0.25025681768568525
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,384,307,77,1000.0,0.1091041486341791,0.21388391153779474,0.4647577944922871,0.21599980754133496,0.403336216852361,0.6470655676892164,0.41869384888896793,0.22291121939729552,0.4978111338648994,0.24781592499985677
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,497,397,100,100.0,0.24925579140751006,0.2535742342099918,0.5136204594072441,0.2638059763217085,0.4798768954646062,0.6999939916876591,0.4899915883988225,0.3799680971548568,0.6177012130201174,0.3815547885665244
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,497,397,100,100.0,0.2903515362791697,0.30747993585752853,0.556198169447764,0.3093564036970436,0.4617523596220955,0.6860681884428625,0.47068955919327116,0.41184191109881196,0.6455363569949357,0.4167171882022931
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,648,518,130,1.0,0.31534758582309586,0.3352884415621774,0.5931623171413426,0.3518415344764867,0.6096796634562452,0.7836692023266285,0.6141374186752542,0.2466973362720909,0.5030591742051821,0.25306853275199975
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,923,738,185,100.0,0.22949762117171896,0.23413495526706762,0.48668598237010346,0.23686324543555265,0.39244527315325073,0.6331839203102786,0.4009218769394932,0.11130891499957041,0.3721656233655783,0.13850725121508947
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,384,307,77,1000.0,0.07333118049601883,0.1604390662204026,0.40517578209026495,0.16416741439245786,0.3540470866327632,0.6115843616441708,0.37403543140770795,0.2981812687437533,0.5615094466364275,0.31529285866194706
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,504,403,101,1.0,0.2873431492776325,0.3139195552049796,0.5937324364872814,0.3525182061371236,0.6969033191811262,0.8383450792290001,0.7028224718674785,0.06305830986500083,0.43983330196939013,0.19345333352129673
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,923,738,185,10.0,0.22665829336989782,0.2308056907083642,0.5065939094031857,0.25663738904440314,0.5184203081242105,0.7257995839383679,0.5267850360451078,0.12366548355089535,0.4023093262280184,0.16185279397004212
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,648,518,130,1.0,0.17743919462851296,0.22460829590885878,0.5160593687515105,0.2663172720762075,0.5828457356558283,0.7678722716155525,0.5896278255160288,0.11579446551423311,0.40014815072973464,0.16011854253242644
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,504,403,101,0.1,0.4041787160922958,0.42401245852920455,0.6589530326973911,0.43421909930108904,0.6882788330795204,0.8318412172675572,0.6919598107451713,-0.15129835012802584,0.3679979577036762,0.13542249687407668
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,648,518,130,1.0,0.21174558119721437,0.2359799967780345,0.523986857043766,0.2745622263546041,0.5996563940962143,0.7788659359570638,0.606632146194273,0.13401074601411933,0.41396162674095266,0.1713642284140158
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,490,392,98,100.0,0.3756114442687773,0.40220006688340015,0.6421620007095866,0.41237203515533916,0.6533724934963164,0.8110612199317154,0.6578203024771224,0.5215505634736551,0.7290541771217476,0.5315199931786685
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,490,392,98,100.0,0.36602903461394853,0.3918760850872157,0.6344612111455339,0.40254102844825773,0.6470557112922557,0.8075949072610388,0.6522095342339658,0.5300296560174214,0.7346202438800119,0.5396669027183282
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,504,403,101,0.1,0.17108562138714203,0.19815658704416106,0.48938038983946947,0.2394931659594311,0.6291874956886551,0.7986271228298827,0.6378052813195365,-0.08355623647797872,0.36901112573544814,0.13616921091654272
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,376,300,76,1000.0,0.2513853265748935,0.2590268531057893,0.5095976600963403,0.2596897751756652,0.40985812853626225,0.652657725917001,0.4259621071991512,0.29328730383764234,0.5449810819701623,0.2970043797053687
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,504,403,101,1.0,0.33738672813728376,0.3457490143152032,0.5982697063113569,0.35792664148987724,0.5805578223653305,0.7641566007447828,0.5839353104618213,0.0702530059904094,0.4139602485937944,0.17136308741583603
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,490,392,98,10.0,0.34272274509408496,0.35523496007415145,0.608458533080246,0.37022178647816484,0.58687915852027,0.7689682110227931,0.5913121095635949,0.29567905778742076,0.5632739534434579,0.31727754662782276
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,936,748,188,1.0,0.24279045782722442,0.2682924242175184,0.5361445744054829,0.2874510046644364,0.5393811677709858,0.7393113752607104,0.546581309589883,-0.01651709693922232,0.283187826781182,0.08019534523704873
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,384,307,77,1000.0,0.13403694478304018,0.21366711152495277,0.46259595850918456,0.2139950208290312,0.3766881287072583,0.6311882140789702,0.3983985615921999,0.29224538170292136,0.5483002444947632,0.3006331581130171
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,504,403,101,0.1,0.21583389491240385,0.2227136832861617,0.5124891031170918,0.2626450808137612,0.5774492323095213,0.7637332119143866,0.5832884189810653,0.07187542696976612,0.4277720157323007,0.18298889744367575
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,490,392,98,100.0,0.3603557554272344,0.3811572207832151,0.618355253556517,0.38236321960094444,0.538426109445016,0.7381012662288197,0.5447934792085869,0.4090083308414184,0.6477823077395884,0.4196219182204269
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,384,307,77,1000.0,0.11843490424797773,0.22292822932279144,0.47466670853009935,0.22530848418679827,0.41722772170317746,0.6576162699878251,0.43245915855270006,0.14565445538691402,0.4184590198124865,0.17510795126242698
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,504,403,101,0.1,0.13998099662599786,0.16857646983009245,0.46779061332631866,0.21882805791621338,0.6249307640606714,0.7965087992249245,0.634426267242731,-0.09739724964063368,0.3539678428721062,0.12529323378753207
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,497,397,100,100.0,0.3154290908032783,0.3371327510580616,0.5813970419954613,0.33802252044107217,0.48454295199110153,0.7009958911352926,0.491395239388563,0.3974320912925028,0.6322250737495622,0.3997085438776393
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,497,397,100,100.0,0.31588393648182833,0.33587108715043,0.5801088020781268,0.33652622224851925,0.4803585023737349,0.6980127141730019,0.4872217491471609,0.401232571012223,0.6348879028209968,0.4030826491484435
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,497,397,100,100.0,0.42615472668528936,0.4371060178743549,0.6652716457188291,0.4425863625974393,0.6593112563496377,0.8156379877712026,0.6652653270954564,0.546903874584491,0.740014568669184,0.5476215618426384
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,504,403,101,0.1,0.40541957394965183,0.4284123657430453,0.6637487824352674,0.4405624461842999,0.7161892408899448,0.8489425314827486,0.7207034217603375,-0.05115250583676212,0.4179796337375184,0.17470697421935003
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,376,300,76,1000.0,0.25121965177380573,0.2595053450373779,0.5099728642308136,0.2600723222517798,0.40856043466963654,0.6519065302383374,0.4249821241673884,0.28683086836376437,0.5396162455214376,0.29118569243065245
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,504,403,101,1.0,0.25429948829800014,0.2765505950972551,0.5653174190128047,0.31958378423929906,0.6849906570904878,0.831317674885715,0.6910890765773913,0.16389217164265346,0.5148988060075129,0.26512078042796244
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,936,748,188,1.0,0.24481276304289362,0.26805115017138326,0.5352988625383529,0.2865448722348544,0.535813943852102,0.7367889758092113,0.5428579948739866,-0.0007670980810459138,0.2875715075736041,0.08269737196815545
