country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,True,426,340,86,1000.0,0.6526858867610861,0.6652193928485771,0.8170509291480884,0.6675722208217546,0.9691255955210234,0.9861466077124754,0.9724851319028229,0.7350843538628125,0.8601051847441566,0.7397809288237799,0.756168542122811,0.8702738900860619,0.757376643765527
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,False,426,340,86,1000.0,0.6417365771105862,0.6546910071161293,0.8109991590924801,0.6577196360487099,0.9666686071448056,0.9849509840831325,0.9701284410463312,0.7198161531607314,0.8515225542008824,0.7250906603127947,0.7465205616904091,0.8651349436914447,0.7484584707959993
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,288,230,58,10000.0,0.647147317154999,0.6620174297750694,0.8159957542316465,0.6658490709240736,0.8484277208932858,0.9279057686646521,0.8610091155211389,0.7401239517893008,0.874788161304674,0.7652543271588123,0.5744388987824549,0.7642811523188667,0.5841256797898547
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,288,230,58,10000.0,0.6445720440819628,0.6597208722718184,0.8144722983504469,0.6633651247802593,0.8463294730192044,0.9267086548871737,0.8587889310427947,0.7375956735613849,0.8729299222319595,0.762006649127895,0.5734946983331183,0.763421009197943,0.5828116372848058
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,True,426,340,86,1000.0,0.6553504245464186,0.6676392752819632,0.8185351219436134,0.6699997458552461,0.9629374377305792,0.9833316219858458,0.9669410787973143,0.7470199631811316,0.8700919724889825,0.7570600405897683,0.7575668374197863,0.8714980725944479,0.7595088905358376
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,False,426,340,86,1000.0,0.6414539462949294,0.6540307729323176,0.8107223342078188,0.6572707031833742,0.9590222956985327,0.9813903804507372,0.9631270788412427,0.7288710112682402,0.8606058391501725,0.7406424103793726,0.745692511329143,0.8651900705277168,0.7485538581397556
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,True,282,225,57,1000.0,0.6988701935170282,0.7057767612495485,0.8413683579855777,0.7079007138193473,0.9738706867263939,0.9881888224576825,0.976517148830301,0.6055070966261661,0.7864134204461064,0.6184460678577445,0.6874744856060111,0.8306593746322269,0.6899949966644023
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,False,282,225,57,1000.0,0.6930335618182266,0.7000019408252396,0.8381336856918455,0.7024680750913973,0.9726880213020914,0.9876216509700996,0.9753965254649052,0.5979088342935823,0.7823086048508957,0.6120067532237549,0.682539208362112,0.8280120275040502,0.6856039176913681
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,True,432,345,87,1000.0,0.6184821632673545,0.6238707165710725,0.7912549268261257,0.6260843592266176,0.9093626020277709,0.9570852999772061,0.9160122714324587,0.6702556163392595,0.8194848014957223,0.6715553398824834,0.6398600453917633,0.8052627546082352,0.6484481039592428
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,432,345,87,1000.0,0.5811824547358262,0.5879016903528824,0.7699838182163984,0.5928750803151036,0.8902572892093443,0.9467419721182647,0.8963203617703811,0.6262100485076494,0.793955686351413,0.6303656318897433,0.6084670294015802,0.790243334254627,0.6244845273338702
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,True,282,225,57,1000.0,0.7061086977239477,0.714825171644176,0.8469289670711004,0.7172886752641211,0.9744299470149801,0.9884607144602778,0.977054584031323,0.577336013581581,0.7694795287192582,0.5920987451180116,0.6857336202305977,0.8305133895991597,0.6897524903034855
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,282,225,57,1000.0,0.6989917457484958,0.7079357985655876,0.8431304944951784,0.710869030747684,0.9730009511672089,0.987768352103841,0.9756863174179375,0.5652091031007904,0.7628451888805836,0.5819327821982533,0.6788774005592217,0.8268987194104498,0.6837614921626418
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,426,340,86,1000.0,0.6248327114680764,0.6782428339961462,0.8248559000979682,0.6803872559264292,0.9606018059136975,0.9814857163542617,0.9633142114074383,0.6574726555501217,0.8167255004632392,0.6670405431069286,0.7371942681915415,0.85906681772641,0.737995797318581
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,False,426,340,86,10000.0,0.6137574592086279,0.6609609658594187,0.8141746823531564,0.662880413384863,0.8397808256217791,0.9208677615875112,0.8479974343311933,0.6021530299615669,0.7855650407183681,0.6171124331988513,0.5638070617335725,0.7508740824717363,0.5638118877277718
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,490,392,98,1000.0,0.6414838341554461,0.6504164923845897,0.8073215946785532,0.6517681572343222,0.9010649548054461,0.9525081002511793,0.9072716810441106,0.6088074259923751,0.7811342396617265,0.6101707003719035,0.5632776907323173,0.7546882312072237,0.569554326322688
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,490,392,98,1000.0,0.6165171449827564,0.6255253976216644,0.7924510645786561,0.6279786897518453,0.8820012027766468,0.9421622822980571,0.8876697661850839,0.5701954938304841,0.7582002268952487,0.5748675840640066,0.5401922186970336,0.7420331626885559,0.5506132145295809
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,432,345,87,1000.0,0.6356208727744163,0.6506829531779105,0.8080536106490643,0.6529506376829897,0.9264774482871726,0.9663788749051445,0.9338881298629329,0.7321376324237265,0.8562574780271119,0.7331768686773501,0.6921651143923058,0.8332486320636191,0.6943032828358925
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,432,345,87,1000.0,0.6061276066930212,0.622780434713105,0.7918523971012753,0.6270302187950358,0.9133232737334918,0.9594904822021929,0.9206219854365967,0.7011486875850343,0.8378498511819552,0.7019923731256245,0.6684443692496946,0.8205842695202679,0.6733585433841116
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,288,230,58,1000.0,0.6588453640980854,0.6814230473294083,0.8267242159054049,0.6834729291644065,0.9645320073990086,0.9839040814810592,0.9680672415550868,0.8192607057277037,0.9114049828490833,0.8306590427621379,0.8087562077841985,0.9021164849982577,0.8138141525056117
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,288,230,58,1000.0,0.6499741697536393,0.6738049528117933,0.8224137358394474,0.6763643528973964,0.9623710312773577,0.9828441277009455,0.9659825793562326,0.8095710944542713,0.9053705990170184,0.8196959215644348,0.804970855521586,0.8995528240699926,0.8091952832922991
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,276,220,56,10000.0,0.591852475465801,0.6197258771285972,0.7880130141588771,0.6209645104837587,0.8650666406879243,0.9374171915892598,0.8787509910870951,0.6540964289886042,0.8204940405712494,0.673210470612935,0.6042995401301736,0.7774288796466208,0.6043956629085999
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,276,220,56,10000.0,0.5887785763995322,0.6167629688097362,0.7860473990275544,0.6178705135179833,0.8630494962596563,0.9362892524125512,0.8766375641832541,0.6511114972810754,0.8183959829003036,0.669771984827354,0.602970797061347,0.7765511944892554,0.6030317576626893
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,432,345,87,1000.0,0.6594525718948058,0.6740063116126289,0.8210706569486653,0.6741570237021128,0.9336603414602721,0.9696203211900452,0.9401635672646863,0.6548695557978,0.8121907835010113,0.6596538688039866,0.6789214286841013,0.8263194523361458,0.6828038373091079
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,432,345,87,1000.0,0.6323918023319948,0.6483036175793926,0.805628334011678,0.6490370125624318,0.9218851651956794,0.9635141323853008,0.928359483306199,0.6205847667574678,0.7912553480899495,0.626085025880947,0.6589355105347914,0.816380986011064,0.666477914320397
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,True,282,225,57,1000.0,0.6332875237433704,0.6430526322640964,0.8040958220150448,0.6465700909820506,0.9698387235992753,0.9865934907799311,0.97336671604933,0.6535587141209906,0.808474655975416,0.6536312693545673,0.7350987116629484,0.8573839881378316,0.7351073031151333
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,282,225,57,1000.0,0.6246448378642079,0.634496407890118,0.7992131312543636,0.6387416291694046,0.9682396334205552,0.9858222298982633,0.9718454689615843,0.6407401680282301,0.8005428059529076,0.6408687841629547,0.7285422241872559,0.8535552116396329,0.7285564993171785
