,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
388,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,10000.0,0.37818674549851616,0.04702005535062148,0.331081946944615,0.10961525559263686,0.16997895841009503,0.5455458908196504,0.29762031899020597,0.01860750287457258,0.3474508335107767,0.12072208170733348,100000000.0,-0.4311364546485451,-0.06429930273675954,-0.5048661038368136,0.2548897828033643
389,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,1000.0,0.40139167702916756,0.02741181937091941,0.36016726514735714,0.12972045888372666,0.25418705898386407,0.6315158149842268,0.3988122245751922,-0.0016353175299204104,0.4278340784768479,0.18304199870613364,10.0,0.3213195077846938,0.24347588621136906,0.568366468383435,0.32304044238265817
390,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,432,345,87,1000.0,0.4897472997785745,0.08899719986189603,0.43470662547989974,0.1889698502361218,0.27985683741661416,0.6698721951154116,0.4487287577887401,0.11749885126804394,0.40010048222371636,0.16008039587565037,100000000.0,-0.5466826717737459,-0.08544070868900855,-0.5293995603865052,0.2802638945374249
391,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,432,345,87,1000.0,0.5147663234614497,0.10421939235103383,0.4564392291079327,0.20833676986864388,0.27858447903889694,0.6684303205572606,0.4467990934402822,0.12460621916252268,0.41198077140906375,0.16972815601080724,1000.0,-0.4275435458513361,0.03329436325677637,0.3234328078834931,0.10460878121540056
392,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,490,392,98,10000.0,0.44049849283067866,0.05753829300926472,0.3407276440401036,0.11609532741311954,0.20279236852378357,0.5796485400610256,0.33599242999487844,0.07137338385302128,0.4184844911351277,0.17512926932062678,1000.0,-0.25217783555621043,-0.016880432963640946,0.39905745146720184,0.15924684957149815
393,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,490,392,98,1000.0,0.4633179012304144,0.07010219573349863,0.3891718539445652,0.15145473190265,0.2970301944068433,0.6763616483985854,0.45746507942445164,0.09208731606596698,0.4822527841752178,0.23256774784474918,10.0,0.11432657308925286,0.11276386604830468,0.6417625706666349,0.41185919710864755
394,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,490,392,98,1000.0,0.43313634871944673,0.058775961625998074,0.37373631574291055,0.13967883370508452,0.2985551896533415,0.6821570742179104,0.4653382739055397,0.11052581241870962,0.5086227236148401,0.258697074977378,1000.0,-0.2222116708039367,-0.009353422521018784,0.3922501488307084,0.1538601792577129
395,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,490,392,98,1000.0,0.4684711678459366,0.07373027255408515,0.3927162837678423,0.15422607953642442,0.2966815703896136,0.6787197675759493,0.4606605228983507,0.13983041529905516,0.5441816309561088,0.2961336474700506,1000.0,-0.10266462881609331,0.026420775041975153,0.44663450922636283,0.19948238483187397
396,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,1000.0,0.4539570084130178,0.07089096559083963,0.3992422684744626,0.15939438893663488,0.26572512627847533,0.6458922328072702,0.41717677640076084,-0.1591455962045336,0.2982669438989118,0.08896316982279659,100000000.0,-0.43090752620858985,-0.06407929062538309,-0.5025563513127621,0.2525628862447964
397,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,1000.0,0.4834876531320821,0.08377210594838358,0.41701173270801684,0.17389878521614247,0.2631679758953176,0.6419966793630847,0.4121597363132274,-0.0687795199089718,0.3589896305140579,0.12887355481661983,10.0,0.3363845819591805,0.23153712873308008,0.5717506182805401,0.32689876950417984
