,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
10,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,492,393,99,100.0,0.3415602571073008,0.3381448370673925,0.5831538739572734,0.3400684407113755,0.4909169669330693,0.7046345272185301,0.4965098169484815,0.11844178217693613,0.452024104979887,0.2043257914828679,492,393,99,100000.0,-0.39465668286917116,-0.08734394950930269,-0.1848603798246545,0.03417336002891553,0.09921071032409756,0.385900622380961,0.14891929035401308,-0.25356850118265006,-0.18289542629006258,0.03345073695782372
11,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,499,399,100,100.0,0.26192649124328915,0.2839534963562965,0.5334810866228805,0.28460206978432934,0.4051387748750618,0.6430300730235011,0.4134876748126092,0.2956673402031482,0.5539842225966655,0.3068985188860318,499,399,100,10000.0,-0.407377162535917,-0.05702288254482357,0.051417258909520196,0.002643734513768634,0.22359861907759193,0.5167030016838376,0.26698199194908795,-0.15434735834600843,-0.1765234392405495,0.03116052460131197
12,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,506,404,102,1000.0,0.20965463986150254,0.2151701737614371,0.4646319492476675,0.21588284826168705,0.2845003472939517,0.5359550851234317,0.28724785326966495,0.1942602331965868,0.45146470745028205,0.20382038207316877,506,404,102,100000000.0,-0.4410084550926396,-0.1288642666912816,-0.5410638862354027,0.2927501289881568,0.002464571738296728,0.4062785733934357,0.16506227919860533,-0.042421337088983435,-0.30226127132811814,0.09136187614489026
13,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,648,518,130,10.0,0.23718084014544835,0.26111809703728495,0.52059138978876,0.27101539512219264,0.46224827547255565,0.6828568709491003,0.46629350620239624,0.18412701637722617,0.4480462118974581,0.2007454079956619,648,518,130,100000000.0,-0.49938493524861527,-0.08606243554632842,-0.5299580905600189,0.2808555777500211,0.00011232462579335856,0.10204901116918155,0.010414000680607742,-0.6389038631374953,0.06368025863268352,0.004055175339525464
14,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,384,307,77,1000.0,0.07621429541096976,0.18617368252003796,0.43627526392774524,0.19033610591522376,0.3802212805169678,0.6278989923726281,0.39425714462256173,0.10937579869295677,0.3985322452516981,0.15882795050535967,384,307,77,100000.0,-0.6442234306033552,-0.10471365825538936,-0.43579043170139364,0.18991330036248705,0.07257672458551923,0.442199752546685,0.19554062115234944,-0.5227575787106322,-0.1534882468590328,0.023558641923859397
15,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,499,399,100,100.0,0.2459753961941434,0.25707459083120443,0.5121580149373139,0.2623058322645299,0.42983095129070203,0.6616412265891882,0.4377691127224455,0.21328859021163393,0.48012570389109094,0.23052069153691554,499,399,100,100000000.0,-0.44346463501137406,-0.12911210008311502,-0.5414808555241386,0.2932015168991531,8.603809102214477e-05,0.1312443321672297,0.017225074726022124,-0.04513369842710402,0.13927960485674482,0.019398808329050974
16,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,499,399,100,100.0,0.2686641362599439,0.29017535210095047,0.53935593897621,0.29090482890890923,0.4089305850270972,0.6458280808695133,0.41709391003959856,0.3089937467310566,0.5677609824215665,0.3223525331603023,499,399,100,10000.0,-0.3985251806320314,-0.05504315350631983,0.052024887046138224,0.0027065888721634406,0.2215860400070062,0.517345380151698,0.2676462423643049,-0.12812733202346438,-0.09429410095500398,0.008891377474912483
17,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,648,518,130,1.0,0.24396507920019223,0.2659150187464989,0.5384181148400783,0.28989406638794374,0.5668861700927148,0.7558077839872519,0.5712454063357204,0.14311813135983886,0.423140626740007,0.17904798999792595,648,518,130,100000000.0,-0.4993879432439196,-0.08606327133275582,-0.5299584071238035,0.280855913281199,0.0001143579726901045,0.10253714321615515,0.010513865738930312,-0.638887876185553,0.06454592678147902,0.004166176664080051
18,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,923,738,185,100.0,0.22742580469177978,0.23127127543333326,0.4837412788302897,0.2340056248443641,0.3886960555631749,0.6301021799763381,0.39702875721093356,0.1193347666036737,0.37826397417423296,0.14308363415808478,923,738,185,100000000.0,-0.5791370029820927,-0.08743785017714867,-0.6782320498467055,0.459998713439264,0.00013892520778779893,0.29760668406094676,0.08856973839775219,-0.26444261749587983,0.2734277397555472,0.07476272886782724
19,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,384,307,77,1000.0,0.046693689076622566,0.13996342049506816,0.38087232431296464,0.1450637274275601,0.3318477083360545,0.591667723645918,0.3500706952043424,0.19844124016364528,0.4724960150575825,0.2232524842452952,384,307,77,100000.0,-0.6509710900675615,-0.10769535827838461,-0.47697149262954386,0.227501804781255,0.058170740685660194,0.41153660785942603,0.169362379608443,-0.5276080285176388,-0.19438163116818336,0.037784218535603674
20,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,506,404,102,1000.0,0.20923659350646143,0.21473985829784314,0.4642128894225252,0.21549360670600962,0.2837599339886574,0.5351578145276263,0.2863938864499853,0.19361395881071553,0.451815755588289,0.2041374769978165,506,404,102,100000000.0,-0.44101038633548395,-0.12886495321420766,-0.5410648532151874,0.29275117538477224,0.002463430462940064,0.4062353533171816,0.16502716228473535,-0.042422214772505296,-0.303109755367051,0.09187552379867349
21,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,923,738,185,100.0,0.2234875382592508,0.22755344649280018,0.4797778128441445,0.23018674969751096,0.38384744012395744,0.6262483568678415,0.3921870044796714,0.10858716527046519,0.3681251949973457,0.1355161591918338,923,738,185,100000000.0,-0.5791409763164755,-0.08743844987519855,-0.6782373489375214,0.46000590149379716,0.00014182872536583346,0.2986403307316553,0.08918604713951246,-0.2644536667705837,0.2538475885110146,0.06443859819285738
22,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,648,518,130,100.0,0.12477063866510556,0.16765993262583023,0.4144418261356784,0.1717620272506759,0.3167429617305969,0.5708166888226757,0.32583169223848335,0.054004734484623285,0.31062616314755603,0.0964886132317721,648,518,130,100000000.0,-0.49915768383565223,-0.08599573956373541,-0.5298931282926724,0.2807867274117946,3.134474513710739e-05,0.16038728687272366,0.025724081790393354,-0.6416064552313303,-0.07578633511577561,0.005743568590280643
23,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,506,404,102,1.0,0.28002025032552746,0.2863295379003632,0.5454464624278176,0.2975118433750206,0.48647032983045146,0.6999339091000436,0.4899074771080681,0.15186077946990317,0.48633935683787094,0.23652597000947395,506,404,102,100000000.0,-0.4407654620570763,-0.12900353836337297,-0.5413553527333429,0.2930656179330421,1.667638641544844e-05,0.09888355443249863,0.00977795733720492,-0.04261368667642107,0.02791378863184308,0.000779179595783212
24,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,648,518,130,100.0,0.13452252963319494,0.17465943641233905,0.42242100745837446,0.17843950754214805,0.32424974868775547,0.5762139398991809,0.33202250453413684,0.0878349263123408,0.3326570500363795,0.11066071293890631,648,518,130,100000000.0,-0.4991565536965963,-0.08599547744578873,-0.5299028563788781,0.2807970371984939,4.2731800565354305e-05,0.184721241087914,0.03412193690905924,-0.6416161286105835,-0.010380737133348337,0.00010775970343167705
25,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,492,393,99,1000.0,0.36263075520156607,0.36099165899731234,0.6019874248256234,0.36238885964818557,0.4904077727979017,0.7045316881674166,0.49636489963202995,0.2144703271381586,0.4965442989994863,0.24655624086889127,492,393,99,1000000.0,-0.445742967898527,-0.09371522046902081,-0.27331086109543884,0.07469882679273027,0.18153869879167372,0.5340172635488452,0.28517443776819673,-0.034784895168576524,-0.3950156250930001,0.1560373440676136
26,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,492,393,99,1000.0,0.3442643863511834,0.343223850583397,0.5873868030891966,0.3450232564433466,0.4747262316066615,0.6935625769702466,0.48102904817360925,0.22993705622964689,0.5118904050399419,0.26203178677195577,492,393,99,100000000.0,-0.44687300967418797,-0.13027222780365144,-0.5448092398810782,0.2968171078597982,0.0031828539332372507,0.5129323234081847,0.2630995683969186,-0.0472551210873049,-0.37586469106003795,0.14127426598565776
27,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,506,404,102,1000.0,0.08121802425856543,0.08943665698770298,0.301634870664217,0.09098359520061892,0.1549804373549879,0.3999023695760916,0.15992190519257296,0.10064615573769076,0.33576658608595245,0.11273920033181531,506,404,102,100000.0,-0.4172883119030901,-0.1078293672888051,-0.3574249978714095,0.1277526291033771,0.05849392849657775,0.3523567206110803,0.12415525855979491,-0.28421190781047434,-0.3482462292933386,0.12127543621702856
