,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
2653,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,False,490,392,98,10000.0,0.6191982196842739,0.6258909831495938,0.7920124799379364,0.6272837683774402,0.8451568169485972,0.9271473088833841,0.8596021323697013,0.6911864127312786,0.8457603039031535,0.7153104916583546,10000.0,0.4408901958208415,0.49494283800863215,0.7071642522022584,0.5000812795927794,0.5663787297282172,0.7544866713017796,0.5692501371720396,0.6205554260206222,0.7903093251993512,0.6245888294970537
2654,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,490,392,98,10000.0,0.6296998629888793,0.6352482208229134,0.7983267819504897,0.6373256507794247,0.8488663221674437,0.9292417899394483,0.8634903041698697,0.6955229062538465,0.8473915413121437,0.7180724242873705,10000.0,0.443573366891023,0.4955706196973034,0.7086190703905528,0.5021409869211713,0.5681460853959125,0.7555739561199879,0.5708920031668094,0.6229855880963254,0.7919915921549466,0.6272506820441274
2655,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,False,490,392,98,10000.0,0.6255440493694324,0.6311679756006625,0.7956294799305429,0.6330262693345462,0.845640641375799,0.9274227235247531,0.8601129081100706,0.6899941584073543,0.8435378591187127,0.7115561197665812,10000.0,0.4355910569969055,0.4886592143710472,0.7037686276584498,0.4952902812762578,0.5654231604610915,0.7535399498918505,0.5678224560830125,0.6198187300974407,0.7897005971666271,0.6236270331653274
2656,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,True,490,392,98,1000.0,0.6318870007343642,0.6349468411146824,0.8014130182077083,0.6422628257527886,0.9557055061511303,0.9794647221403696,0.9593511419175115,0.7318630865902118,0.8642226398252804,0.7468807711865763,1000.0,0.477722693106291,0.5493744276015242,0.759302420249676,0.5765401653970156,0.7321972039370086,0.8557207601255286,0.7322580193098124,0.8559616488457135,0.9267865639257585,0.8589333350733142
2657,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,False,490,392,98,10000.0,0.6146814180458946,0.6205345471619259,0.7881151623580931,0.6211255091387234,0.8177863970597559,0.9114214240803945,0.8306890122727343,0.6066515613033181,0.785309573514022,0.6167111262527751,1000.0,0.44881897348767236,0.5274241773421493,0.7463381122866323,0.5570205778515738,0.5532999753286971,0.7439309803642727,0.5534333035457479,0.8459512344481799,0.9208258563910058,0.8479202577982292
2658,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,True,490,392,98,1000.0,0.6598590904191457,0.665002227981291,0.8169508251456592,0.6674086507061734,0.9472552981320006,0.9753068259678416,0.9512234047794657,0.7361861240262502,0.8639426433969848,0.7463968910797696,100000.0,0.2939653653333038,0.34912335996331745,0.5929721114811738,0.3516159249944416,0.7048518733075098,0.83955709523214,0.7048561161546285,0.2935732558225397,0.5819461622715482,0.33866133578258306
2659,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,False,490,392,98,1000.0,0.6424404000078685,0.647656537081314,0.8069803045016526,0.65121721185358,0.9406788331480606,0.9719347555542196,0.9446571690542406,0.7190545066440851,0.8526867048360779,0.7270746166042086,100000.0,0.29134114267576094,0.3468696202429892,0.5909949758441995,0.3492750614730859,0.6930330150964106,0.8325749551849424,0.6931810560012088,0.2934218019318908,0.5816368746068016,0.3383014539023682
2660,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,True,270,216,54,1000.0,0.6923720038859406,0.7018537089369716,0.8384409974045888,0.7029833061288017,0.987707418249967,0.9947109274467376,0.9894498291819489,0.7591170192365649,0.8777858151898692,0.7705079373485432,10000.0,0.4768933627725443,0.5188763305349523,0.7213513563162136,0.5203477792592409,0.8635439223839043,0.9295973696742578,0.8641512697052987,0.705496411776784,0.8549085666594102,0.7308686573476472
2661,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,270,216,54,1000.0,0.6895330073501856,0.6991006178353908,0.8368110170184524,0.7002526782034566,0.9873150744615313,0.9945298800123279,0.9890896822373353,0.7530745589607211,0.8743214797332554,0.7644380499229493,10000.0,0.47371668423311714,0.5162365611836565,0.7195571012641007,0.5177624219795952,0.8612067608920939,0.9282831333902284,0.8617095757367805,0.7045701409794001,0.8542074975528808,0.7296704488755549
2662,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,True,490,392,98,1000.0,0.6636843631102718,0.6648982542424416,0.8170014986449587,0.6674914487881085,0.940452976063072,0.9721199140742834,0.9450171273397923,0.7420234831560845,0.8664945658614074,0.7508128326673489,1000.0,0.5241350536294674,0.5913910151570463,0.7698823154328711,0.5927187796162788,0.709664964245031,0.8425973912536987,0.7099703637475386,0.8116695061854362,0.902102580295893,0.813789065376508
