country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,384,307,77,10000.0,0.6535269303059872,0.6596693347680608,0.8144202829935174,0.663280397351241,0.7984661865715302,0.9004426601587904,0.8107969842338388,0.7102515432928267,0.8452743594079635,0.714488742672543,0.4139614019432827,0.6461935005550409,0.4175660401595776
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,True,432,345,87,100.0,0.7291028229287672,0.7420797262009531,0.8614813344760923,0.7421500896507088,0.9594906268682126,0.9812726486504962,0.9628960109895602,0.5533438346851249,0.7596416085529304,0.5770553734448836,0.5805033871835226,0.7693753174853816,0.5919383791557317
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,432,345,87,100.0,0.643618319351926,0.6687059944300675,0.8242953193703847,0.6794627735359245,0.9692234421846224,0.9854391983761278,0.9710904136961854,0.6402517409278303,0.8085809488380356,0.6538031508238179,0.6664493789578861,0.8181788526109564,0.6694166348597811
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,432,345,87,1000.0,0.5723849353614382,0.5830723018018197,0.7660745973332738,0.5868702886793375,0.7684416520685702,0.8859114223291416,0.7848390482132426,0.35246433706058733,0.6289865611928377,0.3956240941611914,0.3651649718640343,0.6299658015246904,0.39685691109064564
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,432,345,87,1000.0,0.6024959650269833,0.6209435468573161,0.7882207645136541,0.6212919736104893,0.8440302331986391,0.9256840507868206,0.856890961881097,0.5852360439424812,0.7658261048781443,0.5864896229128305,0.4559402765177263,0.6794792603958253,0.46169206530805773
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,True,432,345,87,100.0,0.7298456466106715,0.7429888967076512,0.8620440419247817,0.7431199302180147,0.9595227456796761,0.9812451900441792,0.9628421229848374,0.5593563347254606,0.762468628216235,0.5813584090139471,0.5836102157126224,0.7708721003605135,0.5942437951142295
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,432,345,87,1000.0,0.6136385567072498,0.6301731460378996,0.7942298372995381,0.6308010344568508,0.8465199549058133,0.9269992642206515,0.8593276358656292,0.5914412531373539,0.769911342585884,0.5927634754423985,0.46796003919246765,0.6876038798668672,0.4727990956079692
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,432,345,87,100.0,0.5817914699063059,0.6068745506098775,0.7836698227526774,0.6141383910932128,0.9021278598638617,0.9517877950421901,0.9059000067912741,0.29377136153046135,0.6225864555783709,0.3876138946696388,0.4123205307944523,0.6899230238105329,0.4759937787838692
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,432,345,87,100.0,0.6667386409380429,0.6867146372084707,0.8332608465471342,0.6943236383884467,0.9703048989401221,0.9859678249656134,0.9721325518674225,0.6465029213860738,0.8127609143082771,0.6605803038272265,0.6737445970311506,0.8225458220926203,0.6765816294420245
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,432,345,87,100.0,0.6766536571864431,0.6998322524182592,0.846746511665653,0.7169796550179518,0.9553150834925762,0.979146047398323,0.958726982135759,0.5914744623295154,0.7857238779145778,0.6173620123251223,0.5890265762892322,0.7747951481523577,0.600307521600434
