country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,1000.0,0.6311156360035219,0.637526126471812,0.7997949934717378,0.6396720315824571,0.9274847962424871,0.966430204171941,0.9339873395358196,0.6518451746874788,0.8183009881148011,0.6696165071496599,0.6672953655823928,0.8197988091472848,0.6720700874793062
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,648,518,130,1000.0,0.5709471091527294,0.5757790393777129,0.7607614011145446,0.578757909425765,0.8206558152622498,0.9109941573819026,0.8299103547839627,0.6265293189827501,0.7984700036375382,0.6375543467089302,0.37278520156927,0.6203516390823741,0.38483615611218813
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,420,336,84,1000.0,0.6481003244295337,0.6563225652650093,0.8109959669723954,0.6577144584454907,0.898244539132271,0.9511211797524797,0.9046314985737488,0.46753869632092526,0.7114036929933863,0.5060952144046283,0.44821335211906865,0.7058292526298737,0.4981949338680461
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,420,336,84,1000.0,0.5669520230276706,0.5711190808222577,0.7594237493961659,0.5767244311469305,0.8599158530295592,0.9317978770081832,0.8682472835969572,0.4812895935627334,0.7141842763458708,0.5100591805796751,0.5548734055201014,0.7702129263792405,0.5932279519616734
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,False,426,340,86,1000.0,0.5613005991639618,0.5758964466311846,0.7607055975890215,0.5786730062032702,0.8474000834374968,0.9252439052962975,0.856076284287944,0.4580255836452548,0.6884178172853134,0.4739190911558751,0.5130543135126715,0.7438839463195126,0.5533633255918915
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,True,432,345,87,100.0,0.6082957838560119,0.6368494385906489,0.804271269248122,0.6468522745379851,0.9642536655899402,0.983169471948232,0.9666222105709654,0.7279803873570858,0.8533030634629627,0.7281261181152769,0.7127595056170735,0.8446973311273969,0.7135135812137472
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,432,345,87,100.0,0.6831635343628485,0.6992753186040352,0.8412339316608717,0.7076745277776081,0.9718405121521202,0.9867794156702794,0.973733615190578,0.6522869865164602,0.8151627577962908,0.6644903216980542,0.694391633746845,0.8374230822596489,0.7012774187012507
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,True,426,340,86,1000.0,0.6594389815053343,0.6749676385890916,0.8217051685557542,0.6751993840312404,0.9304621728916569,0.9676953410787494,0.9364342731455172,0.6175667895496844,0.7882893586802917,0.6214001130085856,0.6519699706623943,0.812775453636211,0.6606039380335486
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,1000.0,0.5300836046795817,0.5529906095828878,0.74408373165212,0.5536605997093442,0.8090816662666466,0.9049171097305966,0.8188749754831766,0.5290439449046277,0.7325581821410797,0.5366414902218433,0.4622353098916696,0.6900963153359709,0.4762329244402838
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,432,345,87,100.0,0.7138103113704467,0.7289130884444867,0.8555589807339083,0.7319811695144441,0.9718322912341564,0.986535597565943,0.9732524852647922,0.6772890680325444,0.8322144825012346,0.6925809448847978,0.7057215341489278,0.842490474013317,0.7097901988031836
