country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,384,307,77,10000.0,0.6506544581701148,0.6569117784314614,0.8127134371455186,0.6605031309168827,0.7969377218149718,0.8996484507902185,0.8093673350092402,0.7056650728342702,0.8425837707983154,0.7099474108127081,0.4097634009941308,0.6422847497822608,0.41252969980286136
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,True,504,403,101,100.0,0.5653926813676675,0.5825345533818527,0.77394688850054,0.5989937862196674,0.945498089316823,0.9742144178947352,0.9490937320339777,0.6791065018109144,0.8314611272790919,0.6913276061762184,0.6092083569809283,0.7891985993558377,0.622834429225216
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,0.1,0.515480791575091,0.5243410039779897,0.7321833788589635,0.5360925002773284,0.7727948343302378,0.8813487705109131,0.7767756552810982,0.6732001767646075,0.8236921989677588,0.6784688386403419,0.2925597694377503,0.5863264806716939,0.34377874193685426
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,504,403,101,0.1,0.5182900099229861,0.528373214502514,0.7346774299965215,0.5397509261462938,0.7743353101194523,0.8822360965403333,0.7783405300387243,0.6639909614794287,0.8186920163240835,0.6702566175927934,0.2923111973209249,0.5879164820452043,0.34564578986040906
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,504,403,101,1000.0,0.6457772261234849,0.6519544121854107,0.8075993967591056,0.6522167856456713,0.862610567421963,0.9331242182588549,0.8707208067011991,0.709441029288264,0.8538402647826104,0.7290431977640383,0.5338296415904034,0.7306416193527495,0.5338371759304081
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,True,504,403,101,100.0,0.6196930332840198,0.6403830505999104,0.8006215016256716,0.6409947888653452,0.9217988693594437,0.9636586527216393,0.928637998965285,0.6970233393859324,0.8486150582500579,0.7201475170887491,0.5695441644929375,0.7580818475991786,0.5746880876593843
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,504,403,101,10.0,0.3486051566042267,0.36718894537435176,0.6173702788208062,0.38114606117127997,0.6050742935094977,0.7809226919387211,0.6098402507848187,0.21778338291077448,0.48583197695220764,0.23603270982929042,0.1723254733919254,0.5573840277878117,0.31067695443296406
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,504,403,101,1000.0,0.5628371235521108,0.5734024405570676,0.757328805568895,0.5735469197444092,0.8151770152646424,0.9119783462732203,0.8317045040712376,0.6104172838284956,0.7832585279147259,0.6134939215511436,0.3711771346409912,0.6303533148989047,0.3973453016040377
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,True,504,403,101,100.0,0.6133819565717068,0.6347555194917982,0.7972185181718588,0.6355573657161344,0.9218748157742481,0.9637991626862281,0.9289088259946744,0.7019063699823156,0.8509485238496077,0.7241133902418264,0.5739264514543685,0.7606678793254801,0.5786156226375231
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,True,504,403,101,1000.0,0.6377177936458072,0.6451440068740745,0.8032109616418577,0.6451478489016378,0.8463723748359758,0.9244989729803428,0.8546983510417085,0.7091807511639088,0.849077881498691,0.7209332488503052,0.5183388810901994,0.7204350121572364,0.5190266067419973
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,504,403,101,100.0,0.6292006903028649,0.6407122254802121,0.8006698892663902,0.6410722715778535,0.9111104773498867,0.9575414069810052,0.9168855460831631,0.6538766912616227,0.8234935487964625,0.6781416249093918,0.4906787862933414,0.7077666848750611,0.5009336802190341
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,648,518,130,0.1,0.5737194238024151,0.576893722356576,0.7716365055557362,0.5954228967062676,0.821704043054255,0.907571078647618,0.8236852627976008,0.5414085599029808,0.7673524405842123,0.588829768070547,0.2047100778906803,0.6245476909843208,0.39005981831384673
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,648,518,130,100.0,0.6871459358045822,0.6898313385795358,0.8375888614778544,0.7015551008717683,0.9663869463028821,0.9839940865489019,0.9682443623632078,0.7527523362761597,0.8842331993001306,0.7818683507445444,0.6803645096669826,0.8251252662072622,0.6808317049336053
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,False,648,518,130,10.0,0.6118977766718567,0.6130709741312063,0.7838647680293326,0.6144439745576794,0.7350229710898706,0.858717581958055,0.7373958855638889,0.6127392112865847,0.7936195520827066,0.6298319934479559,0.2857861337442751,0.5608849395936056,0.31459191546292264
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,1.0,0.6044605429640498,0.6088366040331838,0.7837534400288686,0.6142694547570853,0.8024739733996441,0.8974877817181965,0.8054843183334492,0.6686675505112653,0.8269157077545697,0.6837895877312409,0.33987721731709586,0.5987961957697058,0.3585568840682718
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,True,504,403,101,100.0,0.6164996335977777,0.6285728615372814,0.792948545953748,0.6287673965301631,0.9091564723495086,0.9566930576888628,0.9152616066300658,0.6425102001259055,0.8130707582994575,0.6610840580016548,0.47633946370119296,0.6985010605702082,0.48790373161770567
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,True,384,307,77,10000.0,0.5862692814622955,0.5997985808443493,0.7760482872864637,0.6022509442002537,0.7755019994055881,0.8891401389532453,0.7905701866977963,0.6707429614279633,0.8228597663569093,0.6770981950889473,0.38454456915809376,0.6201967838681717,0.3846440507204236
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,False,504,403,101,1.0,0.3112687699697781,0.32897526851793124,0.5864116489960539,0.34387862207827113,0.5847497472533487,0.7680918053699823,0.5899650214765189,0.39915883511510775,0.6356087184937217,0.40399844302523114,0.05151959820693208,0.44239412316770166,0.1957125602133196
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,1.0,0.5075151526344921,0.5139664527005308,0.729727379242612,0.5325020480162909,0.7951391328656857,0.8940408089779502,0.7993089681179477,0.6532536947318677,0.812404338294245,0.66000080887931,0.3527559227295165,0.6267659583555054,0.39283556655329516
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,648,518,130,0.1,0.5661870375531256,0.5691076770242113,0.7669177288262797,0.5881628027880591,0.8191457619650737,0.9061830510075971,0.8211677219334373,0.5539641606258552,0.7709855199759524,0.5944186720125898,0.2123547087084695,0.6276523415160756,0.3939474618106124
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,648,518,130,100.0,0.610771365673462,0.6138725496957426,0.7991469127385903,0.6386357881396201,0.962390345422178,0.9822604242971825,0.9648355411404811,0.6272282381703462,0.8283487491793343,0.6861616502669677,0.5757197243307051,0.7605636161576986,0.5784570142228751
