country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_summary_val_R2,logo_summary_val_r,logo_val_R2,logo_val_r,logo_val_r2,logo_summary_train_R2,logo_summary_train_r,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,288,230,58,1000.0,0.35049852224330413,0.39465740659600157,0.6418676824807635,0.41199412181322626,0.9125720819752331,0.964649612267981,0.930548874448766,0.7144189916490984,0.8483133431073026,0.719635528093888,288,1440,288,1000000.0,0.0520698526503961,0.23766615864784332,-0.05922540668549803,0.11004443935543524,0.012109778633052065,0.4444019717707519,0.9317901534032318,0.3000990444785605,0.553837574549816,0.306736058983223,-0.22962136193540372,-0.2099312955390651,0.04407114884671029
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,288,230,58,100.0,0.4246238301135855,0.4554027020360031,0.7085056012204032,0.501980186960685,0.9966476773104792,0.9987077590074018,0.9974171879015866,0.8019417714298777,0.8958861983829605,0.8026120804530732,288,1440,288,1000000.0,0.11254058093874175,0.3591507044959539,-0.012972113072986957,0.20224602029700983,0.04090345272597851,0.6344222113204998,0.9561146999747447,0.46463899451569,0.6881823609642084,0.47359496194227196,-0.11677019543412914,0.08255908145037252,0.006816001929929244
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,420,336,84,1000.0,0.5253810560517639,0.5440217577566344,0.7404554011292328,0.5482742010614531,0.9241267427750114,0.9661868531262323,0.9335170351539717,0.5966150362734703,0.7783498713079634,0.6058285221651232,420,2100,420,1000000.0,0.11075889276037298,0.368478943845458,-0.020797637620667997,0.18484419873014551,0.034167377804189526,0.5480704310719207,0.9299160910403059,0.38944921901020146,0.6303190983000404,0.397302165681776,-0.18108591038122568,-0.08661959607980665,0.007502954425028856
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,420,336,84,100.0,0.5638929710121765,0.5634024408493764,0.7680773312132476,0.5899427867236648,0.9883630711188501,0.9947405557852949,0.9895087733240373,0.5596284322460323,0.7786816612761158,0.6063451296077316,420,2100,420,100000000.0,0.05733861033818499,0.25169704526886766,-0.04126901777196923,0.14501615942992685,0.02102968649580596,0.436851220638252,0.8052670213978059,0.3278700752682123,0.5820279173881033,0.3387564966191328,-0.31246864099372207,-0.20577496457005337,0.04234333604380672
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,420,336,84,100.0,0.580108820612106,0.6062774844736145,0.7909950884503307,0.6256732299525465,0.9909159766566804,0.9959879912915444,0.9919920787969655,0.5685007124752208,0.7741495311791181,0.5993074966248484,420,2100,420,100000000.0,0.21420539022436025,0.551875750669549,0.05649936511224618,0.2970789840094052,0.08825592274006043,0.6738388897397605,0.915922964146172,0.5160065578482185,0.7223642673144606,0.5218101346927575,-0.24570723737158184,-0.0541205524341831,0.0029290341957811626
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,426,340,86,1000.0,0.5546116789921294,0.5732379662109585,0.758402218511155,0.5751739250426416,0.9201229716680586,0.9637376369266292,0.9287902328289233,0.4270926090914944,0.6804962154252793,0.4630750992081281,426,2130,426,1000.0,0.3937206624544737,0.6466961116728154,0.29794745864015726,0.5506106465635214,0.3031720841090991,0.869772387709587,0.9424631253685721,0.847099499054678,0.9264575008766501,0.8583235009306082,0.39104193968108936,0.6448131637703043,0.41578401617146926
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,426,340,86,1000.0,0.5404106224596894,0.558485668192538,0.7487530133539397,0.560631075006605,0.9235132893867598,0.965734342652779,0.9326428205789952,0.6152246189892345,0.7870187549012825,0.6193985205663649,426,2130,426,1000.0,0.2803201077406391,0.5478107841690742,0.14566176273433706,0.4073159352728521,0.16590627112719825,0.8189018006316453,0.9492149893670597,0.6935976330314412,0.8372494065007572,0.7009865686858702,-0.028484624509236056,0.22230274272743197,0.04941850942413881
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,504,403,101,1000.0,0.37471135712724346,0.39823295870404596,0.6310601826020332,0.3982369540657115,0.6682575348978975,0.8281658375158112,0.685858654428265,0.04500243054517272,0.42565648309841775,0.1811834416037136,504,3024,504,100000000.0,-0.10663294097712872,-0.542287378859525,-0.1179216527062521,-0.34779453745546435,0.1209610402838604,0.026327287933373245,0.5617596904536214,0.018235950036421422,0.14467546351492633,0.020930989743258778,-0.10987735887703387,-0.5428473808568406,0.29468327890313173
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,504,403,101,1000.0,0.5407044150304816,0.5524352758369301,0.7434515490430456,0.552720205774504,0.8172111451901876,0.9099250648015559,0.8279636235541157,0.13405585764424444,0.4843825357419159,0.23462644093176846,504,3024,504,100000000.0,0.06911939040242765,0.37919475730952884,-0.0677762137089486,0.10587738799510515,0.011210021288666038,0.21531954982263835,0.8349977927235058,0.13403956840355402,0.369871643268726,0.13680503249430773,-0.05506810501618187,-0.03143737247278584,0.0009883083879926732
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,282,225,57,1000.0,0.41660035536571777,0.4455866497073764,0.6724774661121975,0.45222594242868175,0.9517000089134722,0.981197710821265,0.9627489477208907,0.7999885334148189,0.9061246456469405,0.8210618734487936,282,1410,282,10000.0,0.19006252595686868,0.47294655233123595,0.03973388372215714,0.2833732923259468,0.0803004228036465,0.7651288285370312,0.9646067103959745,0.5895432913142504,0.7713289792679344,0.5949483942585136,-0.19150702531659536,-0.002916261781916062,8.504582780664245e-06
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,276,220,56,100.0,0.4551880366216108,0.5330586140004349,0.7422230241295805,0.5508950175480599,0.9983457120156725,0.9993133909759259,0.9986272533838036,0.8117100637317308,0.9115623011534341,0.830945828884144,276,1380,276,10000.0,-0.05161807679041441,-0.08227698815723858,-0.10462247531541946,-0.046749025923251544,0.002185471424772845,0.3975383121431998,0.8075781458499778,0.32707419692403206,0.6074018574645588,0.36893701645139615,-0.2714456171994375,-0.23270608858740027,0.054152123665646985
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,426,340,86,100.0,0.5531190353892472,0.5623864329277561,0.7647035521318499,0.584771522643069,0.9953067166771503,0.9979898845824846,0.995983809728961,0.42415396831449004,0.7114424577021974,0.5061503706213429,426,2130,426,1000.0,0.29527994170715,0.5819416163719997,0.09763667036115165,0.3749270312746496,0.14057027878042208,0.7547277190586266,0.9703087120780626,0.5560687702926808,0.7472775090289533,0.5584236755005174,-0.0018544311614629994,0.23262293742614726,0.05411343101676922
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,420,336,84,1000.0,0.5248782581940887,0.5387371500719405,0.7441532550450793,0.5537640669941869,0.9057182107703208,0.9561609994651028,0.9142438568981043,0.4931182576820524,0.7238272841527869,0.5239259372839993,420,2100,420,100000000.0,0.01568106893643839,0.1479597047353263,-0.042876159953646686,0.0943401370139963,0.008900061451819593,0.41245725691118273,0.7355642184886884,0.34504311404210175,0.6057733248811864,0.36696132113760743,-0.2772740086500709,-0.24792016195253005,0.06146440670256873
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,420,336,84,1000.0,0.5542512453851053,0.5666523080670127,0.7549283225272916,0.5699167721538704,0.8851292162537836,0.9449674996210822,0.8929635753401199,0.48561071741256345,0.7134704814111363,0.5090401278450386,420,2100,420,1000.0,0.3562376535918804,0.624355237263824,0.26978800852724905,0.520226279851498,0.27063538224812916,0.8082822611174773,0.9097691005033847,0.7858054300593118,0.8930206554849082,0.7974858911226951,0.3602792297990096,0.6169308883257819,0.3806037209704384
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,276,220,56,1000.0,0.4163525575446931,0.44844415294260753,0.6778288342588175,0.4594519285526674,0.9575282662849914,0.9830805703002184,0.9664474077018027,0.7829592645353816,0.8999313275381308,0.8098763942845424,276,1380,276,1000.0,0.37140018615838544,0.6355775274789227,0.21775566421766712,0.4816066546085248,0.2319449697632149,0.955247362799784,0.9855991558456927,0.8861251556116259,0.94239610004001,0.8881104093706205,0.11553016923184944,0.383866686635669,0.14735363310864688
