variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
"[['pre', 'ndvi']]",2016,True,False,432,345,87,"[[0.01, 0.001, 0.0001]]","[[0.40933173229183695, 0.4629392954787269, 0.7744741073719099]]",0.7862715037037098,0.8914451231754866,0.7946744076333585,0.9036745007102014,0.9506710929835017,0.9037755270344457,0.8002538754213903,0.8952002067001021,0.8013834100759056,0.28935489823092175,0.5588492638337159,0.3123124996874862,0.410795970391688,0.6520846044819282,0.4252143314023527
"[['pre', 'ndvi']]",2016,False,True,432,345,87,"[[0.01, 0.001]]","[[0.27179302348614504, 0.4960469855739006]]",0.506544284381589,0.7141716582699346,0.5100411574760282,0.5881436598488616,0.7670776797295268,0.5884081667392345,0.4255020705779581,0.6549640482247966,0.42897790446701367,,,,0.11308735739485465,0.47847340134694033,0.22893679579651025
"[['pre', 'ndvi']]",2016,False,False,432,345,87,"[[0.01, 0.001]]","[[0.4026155419394429, 0.4559516999439378]]",0.4838366285025506,0.6979343411728323,0.48711234458835545,0.5626753941662721,0.7502375677636653,0.5628564080839403,0.49152869852689063,0.7070571338295208,0.49992979049921693,-0.11114140788190352,0.2960171973800619,0.08762618114474652,0.10265038585531217,0.3560651214849861,0.1267823707381179
"[['tmp', 'ndvi']]",2009,True,False,936,748,188,"[[0.01, 0.001, 0.0001]]","[[0.57831609480275, 0.5984901203103012, 0.7380830694569118]]",0.7393413019366872,0.8604689054688811,0.7404067372788142,0.8042628541598847,0.8968978869669508,0.8044258196457813,0.7344991366869938,0.8624034107555416,0.7437396428827914,0.44728720370091624,0.668894528941113,0.44741989084735345,0.46648899047388925,0.6949429531505562,0.48294570813361615
"[['tmp', 'ndvi']]",2009,False,True,936,748,188,"[[0.01, 0.01]]","[[0.37345818106618967, 0.4431327612374817]]",0.46515084224715886,0.6821638105457245,0.46534746441826313,0.4991374018197231,0.7078419208329382,0.5010401848884635,0.43849540443491497,0.6729244908788174,0.45282737042451565,,,,0.1703927165694532,0.6426632172839942,0.4130160108498144
"[['tmp', 'ndvi']]",2009,False,False,936,748,188,"[[0.01, 0.001]]","[[0.5749135050394183, 0.5951521156329985]]",0.5985475975615919,0.7738427018146312,0.5988325271517683,0.6360645105403289,0.7976527640336158,0.6362499319704672,0.5953254874525542,0.7733949832197372,0.5981398000694576,0.39547692432638304,0.6306325143466426,0.39769736815116835,0.40482179930707596,0.6372811031003093,0.406127204368747
"[['tmp', 'ndvi']]",2016,True,False,432,345,87,"[[0.01, 0.001, 0.0001]]","[[0.6500788785199179, 0.6599605512837575, 0.8018923873504296]]",0.8133758054857951,0.904969595896628,0.818969969497306,0.913923017303566,0.956046985724963,0.9140258389137877,0.8384771350232194,0.9176627046884951,0.8421048395762042,0.4019231925199753,0.644764188992233,0.4157208594068119,0.5627549589500336,0.7880820750790215,0.6210733570608565
"[['tmp', 'ndvi']]",2016,False,True,432,345,87,"[[0.001, 0.01]]","[[0.47662017805170176, 0.5669219178447976]]",0.574849054124845,0.7583838574556894,0.5751460752493713,0.6241953620021641,0.7904164483830709,0.6247581618745078,0.5782381619539898,0.7694347386172743,0.5920298169910332,,,,0.14361741514681248,0.5567488853015898,0.30996932128456284
"[['tmp', 'ndvi']]",2016,False,False,432,345,87,"[[0.01, 0.001]]","[[0.6462135434654713, 0.6561010687076294]]",0.6722924060716863,0.8202249039719354,0.6727688930957706,0.7211177560859752,0.8494396481600416,0.7215477158662552,0.7018693562882299,0.843119797129915,0.710850992312389,0.14895902405298933,0.5118491124209795,0.26198951388614455,0.47816695453444524,0.7170695923466298,0.5141888002681618
"[['pre', 'tmp', 'ndvi']]",2009,True,False,936,748,188,"[[0.01, 0.01, 0.01, 1e-05]]","[[0.5267941059266128, 0.6054439310847656, 0.6285554876732278, 0.753185313130427]]",0.7544501502871181,0.8692080295007834,0.7555225985486347,0.8209447468489,0.9061461784188315,0.8211008966630527,0.7515852770555879,0.8709412417188608,0.758538646526791,0.4792322915402749,0.6923392818776113,0.4793336812308065,0.49925902090387975,0.7142268433285164,0.5101199837310171
