,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
39,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,648,518,130,1.0,0.31534758582309586,0.3352884415621774,0.5931623171413426,0.3518415344764867,0.19984392537900364,0.5448456859427891,0.29685682149046844,0.09532185028485829,0.3500316146504628,0.12252213125481007,1e-08,0.5810672068214771,0.7676014718129378,0.8821622428051005,0.778210222630925
40,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,923,738,185,100.0,0.21971794750644844,0.22468858395994162,0.4778387834427022,0.22832990296200165,0.22582985812593281,0.5779144133183237,0.3339850691210623,0.027726914570927907,0.22840912079802178,0.05217072646372531,100000000.0,-0.5632623158342958,-0.07852061772885599,-0.6724934788543214,0.45224747910158763
41,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,False,923,738,185,100.0,0.22949762117171896,0.23413495526706762,0.48668598237010346,0.23686324543555265,0.22341665380511155,0.5744882037632754,0.33003669626315457,0.036384028108468525,0.24211000861663223,0.058617256272345736,1e-08,-0.44470255656734303,-0.16106053435103718,0.3897429671690637,0.15189958045774588
42,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,True,384,307,77,1000.0,0.07227258037457898,0.15946593623566296,0.4041169534004737,0.16331051202568064,0.07650804888931928,0.3307926380000935,0.1094237693550609,0.01265801048402082,0.31530024941058343,0.09941424727837612,100000.0,-0.5533117420973469,-0.10037790040108097,-0.4904712038585905,0.24056200181449505
43,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,False,384,307,77,1000.0,0.07333118049601883,0.1604390662204026,0.40517578209026495,0.16416741439245786,0.07642176699946135,0.33057291725905785,0.1092784536251639,0.013358375885284435,0.3163489546085504,0.10007666108192267,100000.0,-0.5532914413925871,-0.10036496742373546,-0.49040200177409365,0.24049412334403816
44,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,True,504,403,101,100.0,0.24932506430121712,0.28030446595745206,0.5320175677137982,0.2830426923561058,0.17867557100284803,0.515580947178471,0.2658237130934493,0.07592036359931831,0.41210235585901145,0.1698283517045473,100000000.0,-0.4322261073455399,-0.1074642202727829,-0.545450481745096,0.29751622803595734
45,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,504,403,101,1.0,0.2873431492776325,0.3139195552049796,0.5937324364872814,0.3525182061371236,0.260369985688089,0.6149728900547232,0.3781916555022587,-0.014540391588363732,0.3861814237943414,0.14913609208382472,100000000.0,-0.43222608717637456,-0.10746420611887975,-0.5454504040614938,0.29751614329084686
46,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,False,False,True,504,403,101,1000.0,0.11270857370604821,0.13275792336937187,0.36436894257817637,0.1327647263155384,0.05700622141604972,0.27969055604911053,0.07822680714306064,0.04585558004031609,0.2795288107890497,0.07813635606114033,100000000.0,-0.43165401065796466,-0.10772764734842033,-0.5457617428463616,0.2978558799546981
47,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,False,False,False,504,403,101,0.1,0.17108562138714203,0.19815658704416106,0.48938038983946947,0.2394931659594311,0.21765894063728786,0.5622240971858105,0.31609593545639963,-0.06772960972526931,0.3034037233997094,0.09205381937280736,1e-06,0.1962677744275687,0.5379718566859699,0.7668474090044407,0.588054948696824
48,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,923,738,185,100.0,0.21566261065007594,0.22090883146936802,0.47374044949973326,0.2244300134922093,0.22434840142620427,0.5770367673538784,0.332971430878214,0.022935654306015962,0.22244509114266348,0.04948181857346786,100000000.0,-0.5632672808492404,-0.07852192446157069,-0.672500905655196,0.4522574681070589
