,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
1354,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,497,397,100,1000.0,0.6378988248170192,0.6405768559376388,0.8019656047323542,0.6431488311737307,0.9421606459051279,0.9729288108892284,0.946590471058328,0.6122540907971953,0.7906947042192886,0.6251981152804282,0.5377278300720296,0.751486553059504,0.5647320394292547,10000.0,0.44348044435301004,0.48272433999329434,0.6954915402198854,0.48370848251742843
1355,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1000.0,0.622749829249855,0.6254103748085962,0.79320924902529,0.6291809127392646,0.9359081489670746,0.9697276149478169,0.9403716471923814,0.5758395619560561,0.7708975095936614,0.5942829702977093,0.5020980069918431,0.7356407642196926,0.5411673339817333,10000.0,0.43255870285736736,0.47319802439821923,0.6885539882428532,0.4741065947251392
1356,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,426,340,86,1000.0,0.614933362443727,0.6291748068260279,0.7976469938364987,0.6362407267764034,0.9643312638271867,0.9840141282141086,0.9682838045249722,0.6988338834684564,0.8425597658459206,0.7099069590223326,0.7581824162775374,0.8721562468574251,0.7606565189324298,1000.0,0.5210728491149138,0.5707941184909878,0.755704324693184,0.5710890263599814
1357,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,426,340,86,1000.0,0.5985270790259891,0.6133015242865841,0.7889249533718752,0.6224025820528154,0.960224403711992,0.9819714848850416,0.9642679971273335,0.6715593862368232,0.8274907460072516,0.6847409347276378,0.7429635145022937,0.8643367149855236,0.7470779568719662,1000.0,0.4896098411468621,0.5430661571479071,0.7378348878544502,0.544400321735189
1358,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,420,336,84,10000.0,0.6577168614865536,0.6710657453345956,0.8199575417761953,0.672330370315661,0.8836979504943293,0.9449833081550796,0.8929934526917181,0.5585595927703941,0.7688448044985252,0.5911223334043755,0.6101869931329389,0.7814418884288904,0.6106514249913104,10000.0,0.5042687265120863,0.5297512992936513,0.7313333692014327,0.534848496907519
1359,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,False,420,336,84,10000.0,0.6535142128607785,0.6670952600516022,0.8174395471577902,0.6682074132575331,0.8810845328595902,0.9435394537662236,0.8902667008134636,0.554475680979944,0.7666993386021963,0.5878278758130453,0.607664384052627,0.7799051450500665,0.6082520352755653,10000.0,0.49786079839536357,0.5241765711126136,0.7272866158810433,0.5289458216397002
1360,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,True,282,225,57,1e-08,0.652378814823302,0.6574467947690537,0.8125660807529268,0.660263635590172,1.0,1.0,1.0,0.8084705253181999,0.8993573228674396,0.8088435941952881,0.8661749474370352,0.9320282508997632,0.8686766604752718,1000.0,0.5613200841074931,0.5730541500213833,0.7775766922856189,0.604625512385844
1361,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,False,282,225,57,10.0,0.6454976479398493,0.6508316980799898,0.8087375036062052,0.6540563497391968,0.9999961425115806,0.999998346220685,0.9999966924441049,0.8015232714799061,0.8954623137778377,0.8018527553963587,0.8614759027219895,0.9296866842116075,0.8643173308003732,1000.0,0.5549006269510248,0.5672202609672383,0.7743771337413029,0.5996599452613958
1362,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,True,497,397,100,1000.0,0.6244179422415264,0.6299376519651119,0.7950792130829843,0.6321509550766576,0.9269860652469473,0.9659076411264,0.9329775711863664,0.5758773147379541,0.7671921327629041,0.5885837685732934,0.5070724968443001,0.7345888229753975,0.5396207388403799,1000.0,0.43277348388286674,0.4698957867034075,0.6945968842636565,0.48246483162877946
1363,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,False,497,397,100,1000.0,0.6017109500774692,0.6074512043662335,0.7819120299698458,0.611386422611565,0.9166278347147265,0.9604954115943103,0.9225514356937236,0.5256934114965591,0.7389563118946025,0.5460564308888731,0.46492338610324413,0.7160054994997196,0.5126638753138429,10000.0,0.3921776627769235,0.4277540244308271,0.6548045856025231,0.428769045326092
1364,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,False,False,True,497,397,100,1000.0,0.6655265190867594,0.6708908971212165,0.8192628327271708,0.6711915890881482,0.933566735404261,0.9688909955008939,0.9387497611627131,0.634587035584133,0.81038767288016,0.6567281803561212,0.556987363860143,0.7570012526057405,0.5730508964466601,1000.0,0.4911767731544865,0.5245423468088122,0.7286488103842004,0.5309290888743103
1365,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,False,False,False,497,397,100,1000.0,0.6487136243321044,0.654440102663747,0.8095068939020141,0.6553014112748867,0.9256589270712081,0.9647893503332509,0.9308184905164563,0.5980056877211,0.7920076441075179,0.6272761083247407,0.5238815836321191,0.7412016017877927,0.5493798144927896,1000.0,0.4551671740313695,0.49212758345387686,0.708383273933258,0.5018068627884011
1366,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,True,420,336,84,10000.0,0.6546363975082508,0.6683123768730138,0.8181765832024456,0.6694129213008283,0.8834734522401575,0.9447729910076325,0.892596004537508,0.5638094508505909,0.7711514572994901,0.5946745700951273,0.6080453188997861,0.7799798603153856,0.6083685824976084,10000.0,0.5001717620120151,0.5269064297798622,0.7290686525233877,0.5315411000922683
1367,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,False,420,336,84,10000.0,0.6504216776966832,0.6643398446169004,0.8156614932612793,0.6653036715892201,0.8808896679843585,0.9433458958257569,0.8899014791712998,0.5598323228938962,0.7690426009972668,0.5914265221486413,0.6055622314020495,0.7784506123943301,0.6059853559371076,10000.0,0.49386583654456856,0.5214275796791419,0.7250972619649827,0.5257660393091147
1368,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,426,340,86,1000.0,0.66482467869933,0.680058159773202,0.8254744037645673,0.6814079912704678,0.9687627793627689,0.9858354380937534,0.9718715110015027,0.6448645243548503,0.812211539738219,0.6596875852839286,0.7472952523848388,0.8656961712035273,0.7494298608364468,10000.0,0.46488999891464844,0.5046515505758362,0.7190675309516983,0.5170581140689716
1369,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,426,340,86,1000.0,0.6536778826633134,0.6692226471794138,0.819251223502717,0.6711725672106987,0.9658796013403049,0.9844154160192501,0.9690737112963532,0.6136392437745455,0.7934048925601889,0.6294913235384448,0.7330358040065057,0.8583111782203917,0.736698078658077,10000.0,0.4562453421128562,0.4972764425685783,0.7137837394487592,0.5094872267014541
1370,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,497,397,100,1000.0,0.6512712550094191,0.6554880494292863,0.8109254069573554,0.6576000156489524,0.9490524139548135,0.9763019611756927,0.9531655193955038,0.693530163752804,0.8344836423636036,0.6963629493724267,0.6318257783757734,0.7999391405520482,0.6399026285871495,10000.0,0.48598993123474876,0.5281642760432239,0.7285417799986293,0.5307731252035712
1371,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,497,397,100,1000.0,0.6321537476982373,0.6366736341073684,0.8001368282519103,0.6402189439250271,0.9431322477669283,0.97329870588342,0.9473103708743402,0.664103645738721,0.8177913651345954,0.668782716888705,0.605701397861145,0.7865688943047662,0.6186906254878224,10000.0,0.4757333246555979,0.5191486922347333,0.7219575260901692,0.5212226694782373
1372,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,True,426,340,86,1000.0,0.6429160687254697,0.6600608282212876,0.8137421509397547,0.6621762882160585,0.9700670917335509,0.9866340309731997,0.9734467110744247,0.6433656636502838,0.8076168706218331,0.6522450097130027,0.737634112862894,0.8610503417177423,0.7414076909722408,10000.0,0.4620211426240311,0.5040477661238103,0.7175602645685943,0.5148927332877511
1373,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,False,426,340,86,1000.0,0.6296779819510246,0.6474200438856024,0.8064758910224645,0.6504033628004781,0.9672094062397342,0.9852433376223337,0.970704434329196,0.6148739593724094,0.7905743672940554,0.625007830222396,0.723240409544913,0.8537860434089317,0.7289506079198782,10000.0,0.4529293857883103,0.4963176250376161,0.7119294575816832,0.5068435525725498
1374,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,490,392,98,1000.0,0.6018242136182301,0.6132301948080277,0.788324354339263,0.6214552876444158,0.9503599555143557,0.9768619475952923,0.9542592646596676,0.7144574438599631,0.8460626452238439,0.715821999643168,0.7163596140193859,0.8463828061452453,0.7163638545382999,10000.0,0.3966612863570482,0.43954111895885795,0.6691487153216896,0.44776000321666765
1375,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,False,490,392,98,10000.0,0.5937723787526294,0.6064311119376307,0.7791085430582817,0.6070101218663984,0.8076059332762011,0.9060624056452647,0.8209490829236843,0.6258654663432606,0.7970614011306741,0.6353068771723934,0.5419885458743727,0.7362584556201341,0.542076513472145,10000.0,0.38667225731944105,0.4310464346176085,0.6629055291803754,0.4394437406179135
1376,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,490,392,98,1000.0,0.6146730958221264,0.6230571341938704,0.7951916140871629,0.6323297031145474,0.9490906466333257,0.9761845214382137,0.9529362198955542,0.7355314432549989,0.8590616479317165,0.7379869149471564,0.7261695362289029,0.8521828459953508,0.7262156030087358,10000.0,0.3615665663257535,0.4092195245955391,0.6543058116287909,0.42811609513121074
1377,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,490,392,98,1000.0,0.5964376977079464,0.6050222917382312,0.7852795497485608,0.6166639712533024,0.9425129976518297,0.9728157633373656,0.9463705093976614,0.7161208674453082,0.8470160027943053,0.7174361089896426,0.7147578891903463,0.8454477997377728,0.7147819820814413,10000.0,0.3508356397223274,0.40013346503576075,0.6479379459419752,0.419823581791506
