,country,satellite,bands,num_features,points,month_range,cloud_limit,na_limit,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,10,50,True,False,True,648,518,130,0.7839912422456605,0.9473355454363817,0.9735731719998966,0.9478447212379402,0.7596764244376688,0.88763884712359,0.787902722922896,0.6016280915825218,0.7756909855899721,0.6016965051255423
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,10,50,True,True,False,648,518,130,0.5622043083056586,0.83334930742607,0.9142692109619901,0.8358881901130599,0.5650784535341649,0.7603666085905144,0.5781573794594406,0.3038378468720314,0.6622309010636522,0.43854976632357673
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,10,50,True,True,True,648,518,130,0.744962827234789,0.8948708303503741,0.9478437172967711,0.8984077124189613,0.7845901720090473,0.8933803266365812,0.7981284080212845,0.4583191299572057,0.6861317113409869,0.4707767253077114
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,10,50,False,False,False,376,300,76,0.5273181645095587,0.6462652373824901,0.8082640402923876,0.6532907588297744,0.5196798947189101,0.7326454564845211,0.5367693649074122,0.18252498484381374,0.4801033714774201,0.23049924730398563
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,10,50,False,False,True,376,300,76,0.5291378987206871,0.6484178103084638,0.8097232138707229,0.6556516830811324,0.5221272808895607,0.734450062360303,0.5394168941010529,0.18367885339604884,0.48068019864119765,0.23105345336574123
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,10,50,False,True,False,376,300,76,0.4139963394489198,0.6223772260080723,0.7926366576263147,0.6282728710130157,0.6839881696332419,0.8284660287852015,0.6863559608511223,0.222392523446437,0.5158543818286122,0.26610574325177966
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,10,50,False,True,True,376,300,76,0.4649371934394872,0.9495103344380851,0.9753995138693268,0.951404211656519,0.7161409030036738,0.8487604405842144,0.7203942855007097,0.5723418223881256,0.766055597925364,0.586841179112787
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,10,50,True,False,False,376,300,76,0.5273181645095587,0.6462652373824901,0.8082640402923876,0.6532907588297744,0.5196798947189101,0.7326454564845211,0.5367693649074122,0.18252498484381374,0.4801033714774201,0.23049924730398563
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,10,50,True,False,True,376,300,76,0.5291378987206871,0.6484178103084638,0.8097232138707229,0.6556516830811324,0.5221272808895607,0.734450062360303,0.5394168941010529,0.18367885339604884,0.48068019864119765,0.23105345336574123
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,10,50,True,True,False,376,300,76,0.4139963394489198,0.6223772260080723,0.7926366576263147,0.6282728710130157,0.6839881696332419,0.8284660287852015,0.6863559608511223,0.222392523446437,0.5158543818286122,0.26610574325177966
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,10,50,True,True,True,376,300,76,0.4649371934394872,0.9495103344380851,0.9753995138693268,0.951404211656519,0.7161409030036738,0.8487604405842144,0.7203942855007097,0.5723418223881256,0.766055597925364,0.586841179112787
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,10,10,False,False,False,787,629,158,0.499145089516578,0.7241728870983808,0.8531133661257229,0.7278024154623617,0.5684869453590882,0.7555724710711937,0.5708897590406299,0.339637712653443,0.5851184169055793,0.3423635618020913
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,10,10,False,False,True,787,629,158,0.5338593501280227,0.7590212456865074,0.8740132713370989,0.7638991984733773,0.603613457066594,0.7784165095986562,0.6059322624157547,0.3670706423681004,0.6061253378922257,0.3673879252349647
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,10,10,False,True,False,787,629,158,0.5173825906741023,0.7301369153838149,0.8568659603029332,0.7342192739258678,0.5479406400653075,0.7414809744875304,0.5497940355269777,0.3275260340985311,0.5744100829345411,0.32994694337686636
