,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,True,923,738,185,0.6141329755002799,0.8001723007160761,0.8967550785639188,0.8041696709301801,0.4747951796552844,0.6977873065765197,0.48690712521931384,0.3940199706184617,0.6332332844692661,0.40098439255973445
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,False,923,738,185,0.522899384460127,0.746687919046521,0.8658422834392241,0.7496828597912497,0.5022706911489122,0.7207852382669286,0.519531359703513,0.3997317940594981,0.6411622049033113,0.4110889729964758
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,True,923,738,185,0.5606593487158125,0.790488215486789,0.891535014208159,0.7948346815591422,0.5607930371065282,0.7553029776371428,0.5704825880275343,0.43004654904854767,0.6598278442457366,0.43537278404197605
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,False,923,738,185,0.5677505365149631,0.7560284680752974,0.8710603884924474,0.7587462004006134,0.4196807989612025,0.6623931383377631,0.438764669716951,0.35628728125736986,0.6100663142576243,0.37218090779188234
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,True,923,738,185,0.6141329755002799,0.8001723007160761,0.8967550785639188,0.8041696709301801,0.4747951796552844,0.6977873065765197,0.48690712521931384,0.3940199706184617,0.6332332844692661,0.40098439255973445
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,False,923,738,185,0.522899384460127,0.746687919046521,0.8658422834392241,0.7496828597912497,0.5022706911489122,0.7207852382669286,0.519531359703513,0.3997317940594981,0.6411622049033113,0.4110889729964758
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,True,923,738,185,0.5606593487158125,0.790488215486789,0.891535014208159,0.7948346815591422,0.5607930371065282,0.7553029776371428,0.5704825880275343,0.43004654904854767,0.6598278442457366,0.43537278404197605
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[4, 5, 6, 7, 8, 9]",True,False,False,False,923,738,185,0.5455862958112172,0.7256363498461591,0.8549417643153959,0.730925420370722,0.4493664163463139,0.6771207291571396,0.4584924818542964,0.3468947704316663,0.5967475050613323,0.3561075847969249
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[4, 5, 6, 7, 8, 9]",True,False,False,True,923,738,185,0.6367437359288906,0.8196241850193633,0.9071770606050853,0.8229702192880826,0.5581625627217169,0.75199121640787,0.565490789554588,0.43117655148939416,0.6576781140917956,0.43254050175534087
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[4, 5, 6, 7, 8, 9]",True,False,True,False,923,738,185,0.48704517768609845,0.7107108082009377,0.8458695596672516,0.7154953119716702,0.508677698863015,0.7176305763557596,0.5149936441206996,0.36049370565141325,0.6086032834729377,0.37039795665404096
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[4, 5, 6, 7, 8, 9]",True,False,True,True,923,738,185,0.5604509983393795,0.8106614446968331,0.9020680080812762,0.8137266912037213,0.6159470610732894,0.7862713725157396,0.6182226712377851,0.44832840633167925,0.6702629136704154,0.4492523734419547
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[4, 5, 6, 7, 8, 9]",True,True,False,False,923,738,185,0.5455862958112172,0.7256363498461591,0.8549417643153959,0.730925420370722,0.4493664163463139,0.6771207291571396,0.4584924818542964,0.3468947704316663,0.5967475050613323,0.3561075847969249
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[4, 5, 6, 7, 8, 9]",True,True,False,True,923,738,185,0.6367437359288906,0.8196241850193633,0.9071770606050853,0.8229702192880826,0.5581625627217169,0.75199121640787,0.565490789554588,0.43117655148939416,0.6576781140917956,0.43254050175534087
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[4, 5, 6, 7, 8, 9]",True,True,True,False,923,738,185,0.48704517768609845,0.7107108082009377,0.8458695596672516,0.7154953119716702,0.508677698863015,0.7176305763557596,0.5149936441206996,0.36049370565141325,0.6086032834729377,0.37039795665404096
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19558,"[4, 5, 6, 7, 8, 9]",True,True,True,True,923,738,185,0.5604509983393795,0.8106614446968331,0.9020680080812762,0.8137266912037213,0.6159470610732894,0.7862713725157396,0.6182226712377851,0.44832840633167925,0.6702629136704154,0.4492523734419547
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,False,420,336,84,0.660153192479481,0.8274480560542647,0.9111928197390278,0.8302723547439603,0.5757776055485883,0.7608273941315825,0.5788583236610544,0.5467742108035951,0.7472738830410564,0.5584182562752583
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,True,420,336,84,0.7088722497051811,0.9478270403808832,0.9741658026388542,0.948999011031003,0.7357715859858748,0.8598755997826377,0.739386047101551,0.6796512032249975,0.8254581346814062,0.6813811321117065
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,False,420,336,84,0.6147651625135218,0.8014401303984723,0.8969748632371763,0.8045639052793512,0.5740316076035707,0.7741304177485767,0.5992779036835859,0.4190537905952151,0.6729187458759751,0.45281963855129514
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,True,420,336,84,0.7107492813748306,0.9424629551525759,0.9717073634335114,0.9442152001509062,0.6993934987179684,0.8559942963477857,0.7327262353799407,0.5864576371476672,0.7722611297236823,0.5963872524820981
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,False,420,336,84,0.6856825367887973,0.8399155658310011,0.9180294736613983,0.842778114511024,0.5770430864306546,0.762854070621951,0.5819463330644806,0.5363313533978702,0.7405072468911441,0.5483509826983018
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,True,420,336,84,0.7320556232054669,0.9522470796137829,0.9765654506737668,0.9536800794496572,0.6959335095145407,0.8354091061864283,0.697908374699207,0.6730469750418269,0.8216189779303578,0.6750577448953257
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,False,420,336,84,0.6147651625135218,0.8014401303984723,0.8969748632371763,0.8045639052793512,0.5740316076035707,0.7741304177485767,0.5992779036835859,0.4190537905952151,0.6729187458759751,0.45281963855129514
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,True,420,336,84,0.7107492813748306,0.9424629551525759,0.9717073634335114,0.9442152001509062,0.6993934987179684,0.8559942963477857,0.7327262353799407,0.5864576371476672,0.7722611297236823,0.5963872524820981
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"[4, 5, 6, 7, 8, 9]",True,False,False,False,420,336,84,0.6246185035181722,0.7311656639731838,0.8572436667368799,0.7348667041604908,0.4482900089779245,0.6820196730766,0.4651508344635124,0.39479679226339626,0.63391947308093,0.40185389835120394
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"[4, 5, 6, 7, 8, 9]",True,False,False,True,420,336,84,0.7315461861886187,0.9082229051236296,0.9540371047214669,0.9101867971853191,0.7380180498412166,0.8592498678590407,0.7383103354157788,0.5546049538517286,0.7448755770036175,0.5548396252164721
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"[4, 5, 6, 7, 8, 9]",True,False,True,False,420,336,84,0.5818826524831242,0.7498902204311374,0.868457429907928,0.7542183075622836,0.5403966692129276,0.7482376108346643,0.5598595222675666,0.3443167137012614,0.6355289471030227,0.40389704260587656
