,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,reg_param,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
1988,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,10000.0,0.600152365743089,0.8807134926225996,0.9458784341657649,0.8946860122198792,0.7227133018529586,0.8603301514184134,0.7401679694396301,0.63502424230202,0.80404657196261,0.6464908898848245
1989,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,497,397,100,1000.0,0.6146704870938834,0.9243354878259445,0.9643396708244184,0.9299510007257477,0.7221612836007654,0.8501305688550621,0.7227219841018315,0.5918171553326295,0.771574991074757,0.5953279668520114
1990,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1000.0,0.5701201532223913,0.9075315174755783,0.9558809656184019,0.9137084204315683,0.5976516696182071,0.7763487480868688,0.6027173786560485,0.5072097764108927,0.7331723873892357,0.5375417496300315
1991,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,True,497,397,100,1000.0,0.6456530590436278,0.9506609902815671,0.9772496064887554,0.9550167933824272,0.7760231659227721,0.8837606257168794,0.7810328435674903,0.7167351657111156,0.8479697578303313,0.7190527101948307
1992,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1000.0,0.5971631509179934,0.91580533604866,0.9598830511818679,0.9213754719462124,0.6915550665389787,0.8316098321015116,0.6915749128479044,0.5627493820390014,0.7555305277703874,0.5708263783930002
1993,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,497,397,100,1000.0,0.6133098945138397,0.9244599836214122,0.9644121504368235,0.9300907959101783,0.7181276990435672,0.8476679568470568,0.7185409650652637,0.5901206987683678,0.7705720251690005,0.5937812459730547
1994,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,10000.0,0.5977963273852214,0.8793994568798755,0.9451663152866816,0.8933393635526028,0.7203981883283672,0.8587731514906477,0.7374913257211789,0.6339003517287636,0.8031655468859674,0.6450748957046352
1995,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,10000.0,0.6345159785341219,0.8409365569169558,0.9236785372862368,0.853182040243242,0.591268505565866,0.7763997452346295,0.6027965644003976,0.5534358482459389,0.7469423344863122,0.5579228510478619
1996,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,10000.0,0.6153138997567071,0.8797254103935742,0.9450087661801477,0.8930415681573252,0.7221372943283956,0.859009247019406,0.7378968864648467,0.6275626126220619,0.8027855656232168,0.6444646643729881
1997,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,False,False,False,490,392,98,1000.0,0.6458125694183773,0.952337955667064,0.9775415160409322,0.9555874155836042,0.6350415344279954,0.7979358077327868,0.6367015532621749,0.6506278132701173,0.8121257773773357,0.6595482782807418
1998,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,420,336,84,10000.0,0.6525221452463389,0.8809076327688802,0.9432771288923799,0.8897717418914515,0.5794101663510804,0.777197129467037,0.6040353780518023,0.615739812018034,0.7847847782381444,0.6158871481542935
1999,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,1000.0,0.6159669833048987,0.9610585254593101,0.9823480150106743,0.965007622595412,0.7184148551280276,0.854247088958725,0.7297380889944559,0.7523472121785207,0.8694503258027491,0.7559438690385065
2000,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,1000.0,0.6392878813219,0.9657075573241256,0.984185926615161,0.9686219381473431,0.6615438843655363,0.8214211146069897,0.6747326475221894,0.7245622713746718,0.8557948894060904,0.7323848927335824
2001,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,1000.0,0.5980756931059037,0.9561409520696112,0.9798839503626413,0.9601725561782953,0.6902760840743138,0.8397009858024249,0.7050977455575642,0.7358328736789059,0.8610322153052594,0.7413764757934826
2002,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,True,497,397,100,1000.0,0.6042951516967066,0.9216103365646531,0.9631165747307024,0.9275935365210007,0.6269880608762064,0.7931807490731009,0.6291357007001654,0.5404905131782012,0.7479964409330634,0.5594986756485298
2003,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,10000.0,0.6329576089352001,0.8308256459103949,0.9183046280707257,0.8432833899361137,0.7019575848555067,0.8536551145615034,0.7287270546170136,0.5463122372114192,0.7403515904480779,0.5481204774789984
2004,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,490,392,98,1000.0,0.6147099711334922,0.9676948340358327,0.9852060931010254,0.9706310458833862,0.7362324895255383,0.8642880110936705,0.7469937661202527,0.7530100232431777,0.8677750568236678,0.75303354924532
2005,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,497,397,100,1000.0,0.6378988248170192,0.9421606459051279,0.9729288108892284,0.946590471058328,0.6122540907971953,0.7906947042192886,0.6251981152804282,0.5377278300720296,0.751486553059504,0.5647320394292547
2006,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,420,336,84,1000.0,0.6602754656492296,0.9829860177859417,0.9923380754129127,0.9847348559142037,0.6186861092566882,0.8108964017209868,0.6575529743240439,0.8066355376641617,0.8982974587971976,0.8069383244815029
2007,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,10000.0,0.6130546637872257,0.8784372827940822,0.9443085406061967,0.8917186198618051,0.7197748946469242,0.8574722552723707,0.7352586685618857,0.6264981343771561,0.8019304767564561,0.643092489550837
2008,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,497,397,100,1000.0,0.5823557304783578,0.9106229337881125,0.9573379615828389,0.9164959726875851,0.574522349757089,0.7616249825087884,0.5800726139815122,0.49880991313190504,0.7283325823998106,0.5304683505851768
2009,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,426,340,86,1000.0,0.5977666122131998,0.9567368673457901,0.980204407080213,0.9608006796594718,0.6889696956219117,0.8385521804571231,0.7031697593493955,0.7361040680507818,0.8612681087825332,0.7417827552058415
2010,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,426,340,86,1000.0,0.6161600218875354,0.9616203633004305,0.9826478847965903,0.965596865495213,0.7168478390174025,0.8530150852379527,0.7276347356435117,0.7525415118438032,0.869626559514231,0.7562503530125583
2011,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,497,397,100,10000.0,0.6371551245146283,0.8348249884928078,0.9206320764090806,0.8475634201132952,0.708174752052634,0.8579569678810299,0.7360901587356107,0.5491861704841019,0.7425269468574106,0.5513462668093879
2012,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1000.0,0.5828090128738335,0.9108125188202469,0.9574209421118759,0.916654860394392,0.5754874354725619,0.7621290528803013,0.5808406932442252,0.4999426268569013,0.7290210448523035,0.5314716838375443
2013,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,False,490,392,98,10000.0,0.6123541114258193,0.8193781605210301,0.9129460176270549,0.8334704311010988,0.6668154687396578,0.8232584913594446,0.6777545435954287,0.5108018634835614,0.7151239146612662,0.511402213320454
2014,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,276,220,56,10000.0,0.7132429956765419,0.8944160013757889,0.9509890213674165,0.9043801187613565,0.5807584147231273,0.7919554602620379,0.6271934510388563,0.5953503213092,0.7717044979138351,0.5955278321004444
2015,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1000.0,0.5828838570198505,0.9354440805876661,0.9694451938643353,0.9398239839066586,0.6528885448253323,0.8084905933317138,0.6536570395058666,0.5899422804780876,0.7809255544317408,0.6098447215645219
2016,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,497,397,100,1000.0,0.6043920141648069,0.9427589919854543,0.9732030765501104,0.9471242282066,0.6887385940817845,0.8301690848538295,0.6891807094470447,0.6211794159035271,0.796081093881659,0.6337451080358188
2017,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,497,397,100,1000.0,0.6042818259875942,0.9216525732559604,0.9631207222560441,0.927601525639004,0.6280261805071187,0.7937309976528557,0.6300088966349976,0.5415620312673974,0.7486223867338265,0.5604354779190509
2018,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,276,220,56,10000.0,0.7148721355269287,0.8956478678401307,0.9516506131802132,0.9056388895662757,0.5836929222213736,0.793990920461261,0.6304215817749205,0.5967101287729095,0.7725637236849717,0.5968547071539894
2019,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,1000.0,0.6203264193550087,0.9524750184543629,0.9776863787293276,0.9558706551528663,0.6884675146814128,0.8305116094047588,0.6897495333560826,0.6636755078106749,0.81527693445806,0.664676479859332
2020,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,426,340,86,1000.0,0.6618517703862097,0.9673468981883221,0.9851819685044663,0.9705835110663351,0.6701347079334014,0.8252554159137275,0.6810465014949394,0.7493755265978003,0.8668329840465937,0.7513994222311222
