,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,reg_param,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
10,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,1.0,0.6044605429640498,0.8028213678510286,0.8977981824138649,0.8060415763456394,0.6686675505112653,0.8269157077545697,0.6837895877312409,0.33987721731709586,0.5987961957697058,0.3585568840682718
11,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,648,518,130,1.0,0.7551103333825723,0.9062861406069516,0.9531242680858333,0.9084458704141554,0.7309081226866276,0.8698565481237481,0.7566504143137626,0.43534652535034013,0.6608154374477058,0.43667704236920274
12,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,False,True,False,648,518,130,0.1,0.5661870375531256,0.8196137071304032,0.9066463205731118,0.8220075506087617,0.5634724692192932,0.7738788827613144,0.5988885251839002,0.2123547087084695,0.6276523415160756,0.3939474618106124
13,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,False,True,True,648,518,130,0.1,0.7852659645176813,0.9481815845284762,0.9740082060310344,0.948691985415794,0.764734378936339,0.8895868762273578,0.7913648103559483,0.6086561378163339,0.7801731956403564,0.6086702151956858
14,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,1.0,0.5075151526344921,0.7959179108681766,0.894799167885864,0.8006655508492346,0.6532536947318677,0.812404338294245,0.66000080887931,0.3527559227295165,0.6267659583555054,0.39283556655329516
15,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,648,518,130,1.0,0.7248379618550388,0.9147729363392787,0.957949833093948,0.9176678827247228,0.7371293305536883,0.8720958399737065,0.7605511540994447,0.4673458284054244,0.6855867357758398,0.4700291722717712
16,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,648,518,130,0.1,0.5737194238024151,0.8223963125642355,0.9082186628881909,0.8248611396184132,0.5502668142480551,0.7698872860028817,0.592726433148883,0.2047100778906803,0.6245476909843208,0.39005981831384673
17,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,True,648,518,130,0.1,0.7839912422522259,0.9473355454359134,0.9735731720000033,0.9478447212381479,0.759676424431116,0.8876388471208619,0.787902722918053,0.60162809157878,0.7756909855875107,0.6016965051217238
18,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,False,504,403,101,0.1,0.5350051105893664,0.8202390637766268,0.9075225318663298,0.8235971458450736,0.5508642194562288,0.7427391375616248,0.5516614264657862,0.3871598565500044,0.6539564351492885,0.42765901907316556
19,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,True,504,403,101,1.0,0.723511162513115,0.8901910757598361,0.9457326596262552,0.8944102634837503,0.7753701076405279,0.8813121630388523,0.7767111287202205,0.4763680426107374,0.6911371469496191,0.4776705558936594
20,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,384,307,77,100.0,0.5922071666680602,0.8013913089347906,0.8969313394991517,0.8044858277757425,0.7050119939775703,0.8462087184103272,0.7160691951136484,0.3623369613540942,0.6155623532601049,0.37891701075111817
21,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,384,307,77,100.0,0.598110577317587,0.8067476414094166,0.9000450785051733,0.8100811433413837,0.7136973621254241,0.8505602558549716,0.7234527488400748,0.36718803342345585,0.6180186465647742,0.38194704750175534
22,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,504,403,101,0.1,0.5390684165643996,0.7705324825359876,0.879802940472911,0.7740532140647806,0.7044228463600397,0.8420466488552322,0.7090425588483267,0.3465128360406502,0.6186460775650239,0.38272296928658955
23,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,True,504,403,101,1.0,0.6887524380420206,0.8576550189640333,0.9284391808745425,0.8619993125829913,0.8093303940182444,0.9005607763489871,0.8110097118982904,0.38754566149767544,0.6234274247632355,0.3886617539469197
24,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.4304950611671744,0.7606472443692391,0.8739699868431158,0.763823537902556,0.4345013111017644,0.6723160355687456,0.45200885168287486,0.3342299952850476,0.6598702996142992,0.435428812313065
25,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,504,403,101,1.0,0.6605778109180334,0.914008381876018,0.9580519282884012,0.9178634972971239,0.8021477031349044,0.8956999404320453,0.8022783832899695,0.5777436320492274,0.7630498922159524,0.5822451380107766
26,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,False,648,518,130,10.0,0.6118977766718567,0.7350229710898706,0.858717581958055,0.7373958855638889,0.6127392112865847,0.7936195520827066,0.6298319934479559,0.2857861337442751,0.5608849395936056,0.31459191546292264
27,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,648,518,130,1.0,0.7480245861678684,0.919104001152309,0.9594694920388555,0.9205817061532993,0.6835076175774213,0.8542516300736657,0.7297458474835149,0.445706489483753,0.6718674659777405,0.45140589183935026
28,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,490,392,98,10.0,0.5810134237066065,0.7714440350928732,0.8799791832751327,0.7743633629975696,0.6483123182428814,0.8061090766366454,0.6498118434359851,0.37227004569831945,0.6371273041809781,0.4059312017329206
29,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,490,392,98,1.0,0.6816247459902083,0.9222436108179465,0.9613087532116154,0.9241145190012704,0.7966534718159402,0.8958250453085211,0.8025025118020139,0.5926852199418586,0.7699465391831104,0.592817673200049
30,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,False,True,False,490,392,98,10.0,0.5428115116110697,0.7498953634943599,0.867253143212293,0.7521280144116019,0.6260507805781022,0.7968473295323666,0.634965666582864,0.32183363946154164,0.6260479105394496,0.3919359862908107
31,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,False,True,True,490,392,98,1.0,0.6582795434044886,0.9190740607408313,0.959716319519963,0.9210554139529437,0.7777691501119,0.8828420184206089,0.7794100294889749,0.5780018396784985,0.7627052892740085,0.581719358286549
32,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,False,False,False,648,518,130,0.1,0.5737194238024151,0.8223963125642355,0.9082186628881909,0.8248611396184132,0.5502668142480551,0.7698872860028817,0.592726433148883,0.2047100778906803,0.6245476909843208,0.39005981831384673
33,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,False,False,True,648,518,130,0.1,0.7839912422522259,0.9473355454359134,0.9735731720000033,0.9478447212381479,0.759676424431116,0.8876388471208619,0.787902722918053,0.60162809157878,0.7756909855875107,0.6016965051217238
34,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,False,497,397,100,10.0,0.5202560389745352,0.6949508709938638,0.8350681786034954,0.6973388629161592,0.7179027300692478,0.8560627117221219,0.7328433664010328,0.29689847667327196,0.5918536406435517,0.35029073194302646
35,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,True,497,397,100,1.0,0.6796152760625634,0.905403352311854,0.9531303441913227,0.9084574530182693,0.8179684615720928,0.905096373948557,0.8191994461348262,0.5446363318214424,0.73894121329391,0.5460341167042758
36,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.6321745800404,0.7754121068236316,0.8813489168039929,0.7767759131515716,0.5893911716185071,0.7690865708922721,0.5914941535268338,0.36404142647043325,0.6175895836528712,0.38141689383652677
37,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,True,504,403,101,1.0,0.7288039632666272,0.8915157536494955,0.9451908914995749,0.8933858213737612,0.7813678288550272,0.8842472531075934,0.7818932046283245,0.4774311944466484,0.6912805080759125,0.4778687408456917
38,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,504,403,101,10.0,0.3486051566042267,0.6050742935094977,0.7809226919387211,0.6098402507848187,0.21778338291077448,0.48583197695220764,0.23603270982929042,0.1723254733919254,0.5573840277878117,0.31067695443296406
