country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,False,639,511,128,"[[10.0, 1.0]]","[[0.6455593905176695, 0.6455593905176695]]",0.6515319990560218,0.8123925862707876,0.6599817142277391,0.9526090077062929,0.9777654606941716,0.9560252961264856,0.5951126448038427,0.7860507918691644,0.6178758473981404,-0.21146152826279319,0.39631830438831517,0.15706819839322925
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,False,639,511,128,"[[10.0, 10.0]]","[[0.6403110217684026, 0.6426250953511252]]",0.6469172426667977,0.8043768871928454,0.6470221766500516,0.8562758095934733,0.9302893792542164,0.8654383291531953,0.6546227133401276,0.8097048136447882,0.6556218852395411,-0.021624968447252257,0.40789106473040276,0.1663751206869016
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,648,518,130,"[[10.0, 1.0]]","[[0.6281747960711843, 0.6281747960711843]]",0.634199808277519,0.7999717668636699,0.6399548277789818,0.8894945321525308,0.9467160822728745,0.8962713404341001,0.6687119411267378,0.8201785807980521,0.6726929043999068,-0.07442215785482054,0.4911662595855925,0.24124429455530164
ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,648,518,130,"[[10.0, 1.0]]","[[0.6191244116813064, 0.6191244116813064]]",0.6259123677583518,0.7959964002707497,0.6336102692439916,0.8882621218924504,0.9459575042877072,0.8948355999182276,0.6794131311515297,0.8257910676084433,0.6819308873418927,-0.10472339585637225,0.48165956783684044,0.2319959392887719
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,426,340,86,"[[10.0, 10.0]]","[[0.6403708831277128, 0.6579336183882823]]",0.6726141263220627,0.8202865010222472,0.6728699437593212,0.8909022185754149,0.9486543828681312,0.8999451381349148,0.6563288112105239,0.8113002770275478,0.6582081395049758,0.2029415840606601,0.5279011178935434,0.27867959027325284
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,426,340,86,"[[100.0, 10.0]]","[[0.5903676322016947, 0.6269849915745302]]",0.6453856087740438,0.803750073135937,0.6460141800660242,0.8577481299078347,0.9329077427013429,0.870316856392115,0.5920646082560476,0.770436935171666,0.5935730710767099,0.18975819511439407,0.5414255540953578,0.2931416306274652
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,False,420,336,84,"[[1000.0, 1.0]]","[[0.695935016466351, 0.695935016466351]]",0.7039736383377051,0.8418724566760019,0.7087492333096866,0.967161219493781,0.984330130122904,0.9689058050677732,0.6119463388869433,0.7837779043638524,0.6143078033689922,0.014826649933410097,0.5320238133327284,0.28304933795309783
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,420,336,84,"[[10.0, 10.0]]","[[0.6452119900662214, 0.6536803978614725]]",0.6579660931540583,0.81180901256018,0.6590338728739346,0.90488756495842,0.9559299752861412,0.9138021176505625,0.5373656780075241,0.7342836152800233,0.5391724276687012,0.10395911463910978,0.5302498752625256,0.28116493021592404
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,432,345,87,"[[100000000.0, 1.0]]","[[0.6173086756805292, 0.6173086756805292]]",0.6382523757306111,0.8042918215483661,0.6468853342095887,0.8807172161241759,0.9406221249226359,0.8847699818939748,0.5820008333198907,0.7844018611022546,0.6152862797006807,0.040820416222707934,0.47552488921342656,0.2261239202614416
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,False,432,345,87,"[[10.0, 1.0]]","[[0.5610079379914289, 0.5610079379914289]]",0.5866554773567463,0.7724937158871737,0.5967465410851736,0.9195686372757804,0.9622259673732398,0.9258788122873672,0.6006837647736558,0.7845981112929571,0.6155941962444755,-0.11209092041655921,0.47803959060613677,0.22852185018688284
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,432,345,87,"[[100.0, 1.0]]","[[0.6544520451050764, 0.6544520451050764]]",0.6724590965048716,0.8216215674684415,0.6750620001292987,0.9131059690232873,0.9577067070040111,0.9172021366404667,0.6263067484879932,0.8007844290047207,0.6412557017364166,0.10460278329136274,0.5129699203704651,0.26313813920488127
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,432,345,87,"[[10.0, 1.0]]","[[0.5985609644636268, 0.5985609644636268]]",0.6184958823663107,0.7900332781983266,0.6241525806607945,0.9272226844555619,0.9660615412973311,0.933274901573775,0.5762492031407579,0.7699990238870856,0.5928984967870646,-0.04460323624134732,0.4764174256524015,0.22697356346526154
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,False,426,340,86,"[[100.0, 1.0]]","[[0.5684378447906755, 0.5684378447906755]]",0.5821680139736901,0.7753429218099487,0.6011566464007881,0.9103652213561232,0.9568343623632465,0.9155319969990805,0.3783071662472032,0.6711951198934547,0.45050288896878904,-0.029200471997723687,0.5476225288738477,0.2998904341301881
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,False,426,340,86,"[[10.0, 10.0]]","[[0.544782981434181, 0.580834529855388]]",0.5958470667571663,0.7727082382685473,0.5970780214880821,0.8401917615052157,0.9225558579010448,0.8511093109475327,0.5785277435390193,0.767319584670852,0.5887793450194488,0.17429506525998684,0.5628994237939977,0.3168557613076146
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,420,336,84,"[[10.0, 10.0]]","[[0.5614810319021082, 0.5996427117159723]]",0.6020310955909178,0.7774788115168614,0.6044733023576713,0.8546936839491089,0.929443413076377,0.8638650581110648,0.544642211243866,0.744805728536685,0.5547355732610622,0.08574229084792784,0.5466679905342805,0.2988458918747882
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,False,420,336,84,"[[10.0, 10.0]]","[[0.5419982882716519, 0.5964641257445373]]",0.5991523906260596,0.7755838368232804,0.6015302879415207,0.8558173492730823,0.9300635721889075,0.8650182483127911,0.48325708435300674,0.7050730494097143,0.49712800500391335,0.09876041326887353,0.5570203814803371,0.3102717053845002
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,432,345,87,"[[1.0, 10.0]]","[[0.4985541856203886, 0.5263503724668388]]",0.5370975358337311,0.7507381895657202,0.5636078292724153,0.8781773929828978,0.9403386523305324,0.8842367810668018,0.5696443419170284,0.7618555323196436,0.5804238521260476,-0.05166746124123489,0.5230005051076634,0.27352952834287103
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,432,345,87,"[[1.0, 10.0]]","[[0.502456730204425, 0.5190924393235352]]",0.5294169576976178,0.7428001566950788,0.5517520727862336,0.8798207299178491,0.9416723195074415,0.8867467573265249,0.5615085148559431,0.7580633379207103,0.574660024299489,-0.1104007851513682,0.5108569688024175,0.26097484257399417
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,432,345,87,"[[10.0, 10.0]]","[[0.530198735790073, 0.5375185222690986]]",0.5502627866774368,0.7432035710519478,0.5523515480243676,0.7758073225808867,0.8876290495904079,0.7878853296767708,0.5864162532803635,0.7682605907702538,0.5902243353306593,0.1914315009987868,0.5760079233739639,0.33178512778958624
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,432,345,87,"[[10.0, 10.0]]","[[0.5022905353950711, 0.5231224238396485]]",0.5366759612879181,0.7336520837014046,0.5382453799194127,0.7730224027865498,0.8873923709517259,0.7874652200233254,0.5587351394019557,0.7495237293371542,0.5617858208394755,0.1557950663334302,0.5589748853072705,0.3124529224042762
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,420,336,84,"[[10.0, 10.0]]","[[0.5753058676225382, 0.6305247353978192]]",0.6398768790845575,0.8014359782346332,0.6422996272089034,0.8673431557824396,0.9348981653054486,0.8740345794914938,0.5134992776414737,0.7267790844809177,0.5282078376389209,0.14715389762693465,0.5808846205340976,0.3374269423730426
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,False,420,336,84,"[[10.0, 10.0]]","[[0.5752747908482947, 0.62444836370483]]",0.6338733526494883,0.7977422103660738,0.6363926341997492,0.8662251481321068,0.9343583956191295,0.8730256114639536,0.5232087479195746,0.7305034726952683,0.5336353236198466,0.13916821677222857,0.5758604547819234,0.3316152633816436
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,432,345,87,"[[10.0, 10.0]]","[[0.564366197977036, 0.6001578813929824]]",0.6085649404815661,0.7801954594886749,0.6087049550067445,0.8124020686442909,0.9060182907436904,0.8208691431621183,0.6265578988872201,0.7918957465131408,0.6270988733456045,0.06907634192329759,0.47211951427872334,0.22289683576277766
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,False,432,345,87,"[[10.0, 10.0]]","[[0.5569353621022508, 0.5896581800342071]]",0.5978526941334483,0.7733059946574334,0.5980021613731225,0.8087467344947716,0.9042057775691696,0.8175880881894667,0.6140731575563159,0.7838080074049985,0.6143549924721942,0.048597011759439535,0.46204931719588854,0.21348957152118683
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,False,426,340,86,"[[1000.0, 10.0]]","[[0.6007425745987944, 0.6194959719492286]]",0.6302237346919792,0.793870633993863,0.630230583517818,0.8559242141637198,0.9316234608025961,0.8679222727178062,0.578398530489542,0.7778184846887765,0.6050015951235443,0.18245194201532222,0.5279995147078775,0.2787834875317542
