country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,426,340,86,1000.0,0.5361057328956389,0.5537764819291437,0.7445348746430452,0.5543321795597351,0.925234571778932,0.9674413098239999,0.9359426879539765,0.5154820881823328,0.7352572159632926,0.5406031736260919
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,288,230,58,100.0,0.4146037865301569,0.4442699795524986,0.7034467799166305,0.4948373721750764,0.9965928366709829,0.9986824091107853,0.997366554267322,0.7997030547617981,0.8946423259844437,0.8003848914428556
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,384,307,77,10000.0,0.18427509067929881,0.2653939723719939,0.5183090628921071,0.26864428467609425,0.5867305654001234,0.8067518035472755,0.6508484725267818,0.352839059425302,0.6058152885393283,0.3670121638279896
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,282,225,57,100.0,0.5366580782923872,0.554655040821104,0.7522369441145322,0.5658604200907699,0.9983490444129334,0.9993454398974773,0.9986913082438823,0.8432936347013243,0.9192779811943819,0.8450720067088183
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,497,397,100,1000.0,0.4126422920852823,0.41700078392665063,0.6518702055261417,0.42493476485269427,0.856531720560046,0.9331204445997486,0.8707137641300325,0.6475207519972552,0.8104097930035536,0.6567640325960626
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,497,397,100,1000.0,0.40636950064010335,0.4084875759398173,0.6480911405592293,0.4200221264713628,0.8364505286468921,0.9218927478096736,0.8498862384640704,0.635974392341805,0.7988125698596403,0.6381015217657627
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,490,392,98,1000.0,0.43770484523775705,0.4432831107964663,0.6735610048080586,0.45368442719804153,0.8387297614782787,0.922150530776443,0.8503616014112756,0.5055556861313446,0.7147558340552643,0.5108759023160365
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,648,518,130,1000.0,0.40488017225907685,0.434796026079455,0.6624061547713016,0.4387819138789016,0.8297530509746172,0.9197709136696991,0.8459785336327931,0.2762200624754758,0.5461289309003259,0.2982568091663329
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,426,340,86,100.0,0.565265535526982,0.5753144076287926,0.7705059901871614,0.593679480914298,0.9945179151915088,0.9976209644055632,0.9952475886214861,0.5901913599593973,0.7765942966114884,0.6030987015294924
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,497,397,100,1000.0,0.49094381891999034,0.4922803970557009,0.7050572985521201,0.4971057942416134,0.8531694127515412,0.9300377661236358,0.8649702464162426,0.5696514917005142,0.7584107821678515,0.5751869145084523
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,490,392,98,1000.0,0.34727691949834955,0.36841374377706815,0.6274089062655153,0.39364193566129013,0.8282645172611679,0.9176788351056756,0.8421344444009098,0.62508593608726,0.7961780352104338,0.6338994637515468
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,384,307,77,1000.0,0.3722810247828612,0.47172327822467097,0.6908043550569651,0.47721065696566956,0.9518143772898687,0.9801803715032892,0.960753560680326,0.4443768559658743,0.6938555425355102,0.4814355139072472
