,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
419,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,376,300,76,"[[10.0, 10.0]]","[[0.6713433801142271, 0.6860017052829308]]",0.688948075483639,0.8304752654248578,0.689689166482488,0.9097590180229918,0.9569329512419792,0.915720673172684,0.7199178446989877,0.8582301445064909,0.7365589809396323,-0.0208991920045247,0.4196426562226647,0.1760999589216135
420,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,376,300,76,"[[10.0, 10.0]]","[[0.6697600034280649, 0.6913654666701368]]",0.6941231545561464,0.8335061652553775,0.6947325275187246,0.9114891026307532,0.957750268564164,0.9172855769347282,0.7245626651292445,0.860947538119078,0.7412306633933012,-0.009811367013685,0.423225308677129,0.1791196619048511
421,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,276,220,56,"[[1.0, 1.0]]","[[0.6912211832094284, 0.6912211832094284]]",0.6963995383313988,0.8369887430365673,0.700550155969933,0.9987380781602172,0.99945478031495,0.9989098578944048,0.6555187580826252,0.8223661125955033,0.67628602314544,-0.0500508207869367,0.4700992390047305,0.2209932945128268
422,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,276,220,56,"[[1.0, 10.0]]","[[0.6149904982587745, 0.6212150070781908]]",0.6320894288541452,0.8016419244173849,0.6426297749836083,0.9935561075531574,0.9971364865968292,0.9942811729026684,0.5817581590706911,0.7828997267399068,0.6129319821294208,-0.2712148915431496,0.3805137030020223,0.1447906781723112
423,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,False,270,216,54,"[[100.0, 10.0]]","[[0.6848223337645502, 0.6960136285369123]]",0.6998972883594585,0.838698677557913,0.7034154717373922,0.9334810468834408,0.9704429312174904,0.9417594827499948,0.7123136400331934,0.8479060641994245,0.7189446937061585,0.1860387052698381,0.5165096114027453,0.2667821786714149
424,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,270,216,54,"[[1.0, 1.0]]","[[0.6533613104321561, 0.6533613104321561]]",0.6663415656358613,0.8187783080379114,0.6703979177134249,0.9985120907035052,0.9993676692264778,0.9987357382951628,0.6672730260625879,0.8478094489734749,0.7187808617687071,-0.0340860020196702,0.4532231392289979,0.2054112139325876
425,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,282,225,57,"[[10.0, 10.0]]","[[0.6749026104103326, 0.6949202849971879]]",0.7060543637229421,0.8403639991844305,0.7062116511252495,0.9431731468092236,0.9741086645150844,0.9488876902833614,0.6669157461059669,0.8169735762143648,0.6674458242324885,0.1164866174483892,0.4657001410543608,0.2168766213780515
426,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,False,282,225,57,"[[10.0, 100.0]]","[[0.6173698999096597, 0.6405232314674951]]",0.6510663712989281,0.8072843578754371,0.6517080344703567,0.9056883876956988,0.9560643984990947,0.914059134077436,0.6109941595929117,0.781834081379277,0.6112645308061779,-0.0256034301364762,0.4064599135110437,0.1652096612914051
427,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,282,225,57,"[[100.0, 1.0]]","[[0.6828794058323311, 0.6828794058323311]]",0.6978219589701422,0.8363284475502695,0.6994452721818438,0.9534218980410174,0.9778370497595684,0.9561652958824964,0.6808744919268278,0.8289152245561596,0.6871004495009886,0.1621801073343097,0.5211545396516168,0.2716020541994887
428,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,282,225,57,"[[10.0, 100.0]]","[[0.632155582381415, 0.6386481370665006]]",0.6494212535278766,0.8062948564898784,0.6501113956020337,0.9054906492494436,0.95599418862371,0.9139248886823056,0.6092555620758646,0.7807519086399722,0.6095735428449596,-0.032291484591169,0.4031866278230365,0.1625594568553117
429,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,False,276,220,56,"[[1.0, 10.0]]","[[0.6134676115425614, 0.6268183553843383]]",0.6293581961246587,0.8019523601583689,0.6431275879635783,0.992173621333362,0.9964416189792092,0.9928959000339076,0.5579573725513337,0.7636215086691709,0.5831178085021806,-0.2666719514518243,0.3999875291801628,0.1599900234996516
430,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,False,276,220,56,"[[1.0, 10.0]]","[[0.5758850667006008, 0.6039304744109446]]",0.6082719362530915,0.7909279397272426,0.6255670058411807,0.991692893055245,0.996220090761742,0.9924544692373336,0.5741229680838061,0.7719789619895826,0.5959515177545134,-0.3604297019103337,0.3753585024599261,0.1408940053689583
431,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,270,216,54,"[[1.0, 10.0]]","[[0.6077716716463175, 0.611678317546015]]",0.6309916834833081,0.8035813937856333,0.6457430564384611,0.9902592023444132,0.9955631465482042,0.9911459787649612,0.703156103066825,0.8476790138053636,0.7185597104460338,-0.1487669406166287,0.4553917821736201,0.2073816752712659
432,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,False,270,216,54,"[[1.0, 10.0]]","[[0.5980293256654513, 0.6148243104669824]]",0.6312851886874133,0.8025329651166186,0.6440591600988719,0.989604066151068,0.9952569386187728,0.9905363738688118,0.686317152041392,0.8374788779662058,0.701370871039535,-0.1394967299675966,0.4528327839886445,0.2050575302549064
433,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,282,225,57,"[[1.0, 1.0]]","[[0.655473701230639, 0.655473701230639]]",0.6657288039049841,0.8241586944471877,0.679237553632893,0.9920876712446528,0.996382688319022,0.9927784615818412,0.5732935606447457,0.7679195859616934,0.5897004905035786,-0.1294218931452084,0.4414377489316664,0.1948672861818569
434,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,282,225,57,"[[10.0, 10.0]]","[[0.6457038916514538, 0.6773361578873474]]",0.6883452214431343,0.8298885036615555,0.6887149285096157,0.9298663579377509,0.9676099645975664,0.9362690435885036,0.5940551865975991,0.7713841471561896,0.595033502483882,0.1738834643200396,0.5392735434553843,0.2908159546709262
435,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,282,225,57,"[[1.0, 1.0]]","[[0.6701748460896307, 0.6701748460896307]]",0.6808135799721182,0.830139995840902,0.6891324126947328,0.9932557152290996,0.9969198108038224,0.9938491091731292,0.5670950775180019,0.7621776468331777,0.5809147653321601,-0.0644232352151139,0.4736329961794571,0.2243282150699296
436,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,282,225,57,"[[10.0, 10.0]]","[[0.6468582259419215, 0.6783293980033851]]",0.6893416083166752,0.8304707076315274,0.6896815962340099,0.9300932257711492,0.9677272914298968,0.936496110578244,0.5923238967644832,0.7702327616734104,0.5932585071550486,0.1745696547859578,0.5399949100476084,0.2915945028773246
437,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,270,216,54,"[[1.0, 1.0]]","[[0.6249975583103184, 0.6249975583103184]]",0.6410195052742608,0.8137328704479978,0.662161184447538,0.996510312618894,0.9983903635748776,0.9967833180791762,0.5962317916323809,0.8173611558298578,0.668079259059521,-0.2068110752441327,0.4482943477072534,0.2009678221862718
438,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,False,270,216,54,"[[1.0, 1.0]]","[[0.6252592864519595, 0.6252592864519595]]",0.6421085313295066,0.8138053002178783,0.6622790666627111,0.9964879466964996,0.9983795505153894,0.996761726887311,0.5731312012841409,0.806436170944348,0.6503392978073818,-0.2120893063954338,0.447377843606851,0.200146934950316
439,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,282,225,57,"[[10.0, 10.0]]","[[0.6412987816892841, 0.7042734898084855]]",0.7109555231450873,0.843450259420132,0.7114083401158879,0.9370287052542432,0.9702037985749802,0.9412954107693208,0.5643276831892707,0.753328415196403,0.5675037011423242,0.0999435882667398,0.5053403483139903,0.255368867634105
440,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,False,282,225,57,"[[10.0, 10.0]]","[[0.6273008135195726, 0.6993522814429527]]",0.7060462061935608,0.8405409675590849,0.7065091181451626,0.9362741822985068,0.9698446967116792,0.9405987357397688,0.5610951782972879,0.7519913541198997,0.5654909966710804,0.081705737542963,0.49842758219187,0.2484300546896333
441,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,False,276,220,56,"[[1.0, 10.0]]","[[0.6561413570754903, 0.6637508728377167]]",0.6757006814238209,0.8268652114456433,0.6837060778990484,0.9937772668688188,0.997194729037254,0.9943973276196822,0.5514585685200049,0.7610130698594373,0.5791408924968848,-0.1521674993121298,0.4268098907512631,0.1821666828431051
442,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,False,276,220,56,"[[10.0, 10.0]]","[[0.6815605160077685, 0.7117927919455473]]",0.7195478196457985,0.8485537340362376,0.7200434395468418,0.9664773855435732,0.9847693651346704,0.9697707025077418,0.6721037182385281,0.8329216255441371,0.6937584342990877,0.0907416594436235,0.5203163775000289,0.2707291326947526
443,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,276,220,56,"[[1.0, 1.0]]","[[0.689355477335852, 0.689355477335852]]",0.7027429233089095,0.8414411115666199,0.708023144234469,0.9983709333155903,0.9992729132947344,0.9985463552445458,0.5646651288765236,0.7766110520558969,0.6031247261753669,-0.0474999132282396,0.4760912925564712,0.2266629188480915
444,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,False,276,220,56,"[[10.0, 10.0]]","[[0.6882401568344545, 0.7160580807840389]]",0.7250181037538326,0.8516423311971296,0.7252946602868814,0.9665586018507012,0.9848178043243536,0.9698661077142406,0.6785917361417584,0.8404494852248716,0.7063553372147517,0.1038262188181546,0.5237364679398165,0.2742998878500745
