variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
['ndvi'],2016,False,False,432,345,87,[[0.01]],[[0.244861108267257]],0.2711041050526384,0.5222069030850431,0.27270004962967165,0.31740996478254013,0.5635449550051937,0.31758291631180585,0.32405180734528516,0.5883246934257897,0.3461259448945495,0.296149785093889,0.557405088568791,0.31070043276238174
"['pre', 'tmp']",2009,True,False,936,748,188,"[[0.1, 0.01, 0.0001]]","[[0.48447855307209753, 0.5864791050228975, 0.7163411328719212]]",0.7181340470486626,0.8479666150222818,0.7190473801923466,0.7881749842780033,0.887992202674911,0.7885301520114402,0.7343351385232695,0.8592173450649178,0.7382544460604059,0.2663126781389822,0.5269002868788492,0.27762391231301353
"['pre', 'tmp']",2009,False,True,936,748,188,"[[0.01, 0.01]]","[[0.19913701940712725, 0.37363111906098745]]",0.3925680811071255,0.6266171179113802,0.3926490124595646,0.4409097098146083,0.6652215702196296,0.4425197374854696,0.3973929346287468,0.6356508876729423,0.4040520509993995,0.16544047662062444,0.583422786784743,0.3403821481396757
"['pre', 'tmp']",2009,False,False,936,748,188,"[[0.1, 0.01]]","[[0.4807991010730441, 0.5833543044966605]]",0.585841813050962,0.7654260930784528,0.5858771039653442,0.6148689512893455,0.7844083814994265,0.6152965089665499,0.5700276283032845,0.7554637637187442,0.5707254982920906,0.2947534251218661,0.5627280411342094,0.31666284827874447
"['pre', 'tmp']",2016,True,False,432,345,87,"[[0.1, 0.01, 0.01]]","[[0.5052548383406703, 0.6738933818363734, 0.7620092430843887]]",0.77457823911302,0.8808257543372068,0.7758540095037093,0.845276114204897,0.9220974074867385,0.8502636288937643,0.8010934207130294,0.898263405614827,0.8068771458667472,0.1650011832467252,0.4561451456365853,0.20806839388782164
"['pre', 'tmp']",2016,False,True,432,345,87,"[[0.01, 0.0001]]","[[0.21844742000003992, 0.4487968984773298]]",0.45969554988340233,0.6788069415465262,0.46077886389174905,0.5099721946462956,0.7142051160232843,0.510088947753833,0.5165760931792374,0.7212794578078335,0.5202440562555624,0.09328367747443578,0.43408630298725276,0.18843091844114102
"['pre', 'tmp']",2016,False,False,432,345,87,"[[0.1, 0.01]]","[[0.5009054966917378, 0.670913395810407]]",0.686912869954318,0.8288839799804615,0.6870486522682501,0.7244842285384894,0.8518681544551322,0.725679352574793,0.7224174163812461,0.8531951226342114,0.727941917286807,0.3087432028844822,0.5707043358111925,0.3257034389136944
"['pre', 'ndvi']",2009,True,False,936,748,188,"[[0.01, 0.01, 1e-08]]","[[0.4018099488769525, 0.45089390161773213, 0.6880129731607708]]",0.6897078660276793,0.8308283095245137,0.6902756799073612,0.7583887619100924,0.8709830222587083,0.7586114250629135,0.6630775584260141,0.8209582009192994,0.6739723676566527,0.18567558579109467,0.44454468044634915,0.19761997291314667
"['pre', 'ndvi']",2009,False,True,936,748,188,"[[0.001, 0.001]]","[[0.1585579494564913, 0.34873830865858857]]",0.3605693944227757,0.6013548646413595,0.36162767322782774,0.4053403092602269,0.6367795080749142,0.40548814190412974,0.2587828754908892,0.5297748378226222,0.2806613787899857,0.11604080060791333,0.5082408134781567,0.2583087244849385
"['pre', 'ndvi']",2009,False,False,936,748,188,"[[0.01, 0.01]]","[[0.3963664120737542, 0.44555018850510353]]",0.44858663019546896,0.669799267142259,0.44863105826430727,0.4789106483346395,0.6923171970658004,0.4793031013530463,0.4468678190249684,0.6706238519146237,0.4497363507568071,0.16532448164981428,0.4396432164862432,0.1932861578023697
