,country,satellite,bands,num_features,points,month_range,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,19598,"range(4, 10)",True,False,True,648,518,130,0.7839912422475819,0.9473355454365374,0.9735731720005948,0.9478447212392997,0.7596764244487674,0.887638847128015,0.7879027229307516,0.6016280915917172,0.7756909855954982,0.6016965051341154
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,19598,"range(4, 10)",True,True,False,648,518,130,0.5622043082874232,0.8333493074253072,0.914269210963462,0.8358881901157514,0.5650784536105053,0.760366608635698,0.5781573795281528,0.3038378469503856,0.6622309010604821,0.43854976631937803
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,19598,"range(4, 10)",True,True,True,648,518,130,0.7449628272366505,0.8948708303502434,0.9478437172969673,0.8984077124193331,0.7845901720142822,0.8933803266399866,0.7981284080273691,0.4583191299625854,0.6861317113423406,0.47077672530956904
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"range(1, 13)",False,False,False,376,300,76,0.5273181645095588,0.64626523738249,0.808264040292388,0.6532907588297749,0.5196798947189079,0.73264545648452,0.5367693649074107,0.1825249848438174,0.4801033714774222,0.23049924730398766
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"range(1, 13)",False,False,True,376,300,76,0.5291378987206897,0.6484178103084636,0.8097232138707227,0.6556516830811321,0.5221272808895696,0.734450062360309,0.5394168941010618,0.1836788533960576,0.480680198641204,0.2310534533657473
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"range(1, 13)",False,True,False,376,300,76,0.4139963394489142,0.6223772260080723,0.7926366576263142,0.6282728710130148,0.6839881696332435,0.8284660287852023,0.6863559608511236,0.2223925234464389,0.5158543818286139,0.2661057432517814
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"range(1, 13)",False,True,True,376,300,76,0.46493719343699197,0.9495103344380881,0.9753995138693422,0.9514042116565491,0.7161409030096113,0.8487604405875631,0.7203942855063942,0.5723418223923363,0.766055597927477,0.5868411791160243
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"range(1, 13)",True,False,False,376,300,76,0.5273181645095588,0.64626523738249,0.808264040292388,0.6532907588297749,0.5196798947189079,0.73264545648452,0.5367693649074107,0.1825249848438174,0.4801033714774222,0.23049924730398766
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"range(1, 13)",True,False,True,376,300,76,0.5291378987206897,0.6484178103084636,0.8097232138707227,0.6556516830811321,0.5221272808895696,0.734450062360309,0.5394168941010618,0.1836788533960576,0.480680198641204,0.2310534533657473
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"range(1, 13)",True,True,False,376,300,76,0.4139963394489142,0.6223772260080723,0.7926366576263142,0.6282728710130148,0.6839881696332435,0.8284660287852023,0.6863559608511236,0.2223925234464389,0.5158543818286139,0.2661057432517814
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,14465,"range(1, 13)",True,True,True,376,300,76,0.46493719343699197,0.9495103344380881,0.9753995138693422,0.9514042116565491,0.7161409030096113,0.8487604405875631,0.7203942855063942,0.5723418223923363,0.766055597927477,0.5868411791160243
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"range(1, 13)",False,False,False,420,336,84,0.6601531924794699,0.8274480560542627,0.9111928197390291,0.8302723547439628,0.5757776055485817,0.7608273941315762,0.5788583236610447,0.5467742108036049,0.747273883041056,0.5584182562752579
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"range(1, 13)",False,False,True,420,336,84,0.7088722497053435,0.9478270403808928,0.9741658026388538,0.9489990110310021,0.7357715859856941,0.859875599782549,0.7393860471013984,0.6796512032249206,0.8254581346813613,0.6813811321116324
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"range(1, 13)",False,True,False,420,336,84,0.6147651625135477,0.8014401303984765,0.8969748632371741,0.8045639052793472,0.5740316076035359,0.7741304177485666,0.5992779036835703,0.4190537905952132,0.6729187458759769,0.4528196385512976
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"range(1, 13)",False,True,True,420,336,84,0.7107492813748715,0.9424629551526026,0.9717073634335124,0.9442152001509081,0.6993934987182702,0.8559942963480498,0.7327262353803929,0.5864576371479866,0.772261129723824,0.5963872524823169
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"range(1, 13)",True,False,False,420,336,84,0.6856825367887953,0.8399155658309986,0.9180294736613945,0.842778114511017,0.5770430864306576,0.762854070621955,0.5819463330644867,0.5363313533979167,0.7405072468911705,0.548350982698341
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"range(1, 13)",True,False,True,420,336,84,0.7320556232055455,0.952247079613774,0.9765654506737719,0.9536800794496672,0.695933509515012,0.8354091061866822,0.6979083746996312,0.6730469750421286,0.8216189779305408,0.6750577448956265
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"range(1, 13)",True,True,False,420,336,84,0.6147651625135477,0.8014401303984765,0.8969748632371741,0.8045639052793472,0.5740316076035359,0.7741304177485666,0.5992779036835703,0.4190537905952132,0.6729187458759769,0.4528196385512976
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"range(1, 13)",True,True,True,420,336,84,0.7107492813748715,0.9424629551526026,0.9717073634335124,0.9442152001509081,0.6993934987182702,0.8559942963480498,0.7327262353803929,0.5864576371479866,0.772261129723824,0.5963872524823169
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14955,"range(4, 10)",False,False,False,432,345,87,0.581183342376792,0.7058732699346653,0.8419947158833164,0.7089551015754267,0.5963383693729991,0.7767811833687593,0.6033890068357701,0.39193771075148265,0.6299188635397202,0.39679777464317256
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14955,"range(4, 10)",False,False,True,432,345,87,0.7354619999480526,0.90563562047094,0.9528153623738154,0.9078571147755451,0.8132361209445756,0.9053790412279428,0.8197112082948289,0.5621416389446767,0.7506846129883158,0.5635273881774174
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14955,"range(4, 10)",False,True,False,432,345,87,0.494283528133046,0.7710318793979472,0.8807635194758915,0.7757443772395591,0.5255075980416052,0.7355839610013051,0.5410837636823695,0.3863713615363302,0.6442934799069,0.41511408825054297
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14955,"range(4, 10)",False,True,True,432,345,87,0.7031219830651072,0.9518991818227357,0.9758841760890236,0.9523499251409523,0.6490077173226243,0.8332876930463601,0.6943683793825248,0.6090298561132278,0.7804300880843782,0.6090711223873903
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,8306,"range(4, 10)",True,False,False,432,345,87,0.6114709775652358,0.7900606916286179,0.8897446842043498,0.7916456030698982,0.7024870835354797,0.8384520393101955,0.7030018222234257,0.469207344954235,0.6901250903034649,0.4762726402663656
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,8306,"range(4, 10)",True,False,True,432,345,87,0.7478563323959146,0.9063240341606864,0.9532646222613462,0.9087134400550672,0.8233044377902201,0.9108312372138139,0.8296135426844469,0.5679888094912411,0.7551911774171013,0.5703137144486278
