,district,year,yield_mt,log_yield,district_yield_mean,demean_yield,k-fold_prediction,k-fold_district_prediction_mean,k-fold_demean_prediction,logo_prediction,logo_district_prediction_mean,logo_demean_prediction
254,Mbala,2018,2.4919531,0.543068402116011,0.5246318073034395,0.01843659481257154,0.4122198321102739,0.5001901102407055,-0.08797027813043157,0.41480974503853735,0.5130499218642425,-0.09824017682570513
255,Mbala,2019,1.830338242,0.45183833936043655,0.5246318073034395,-0.07279346794300295,0.41539975801999635,0.5001901102407055,-0.08479035222070913,0.4701807831568796,0.5130499218642425,-0.042869138707362864
256,Mbala,2020,2.368858277,0.5274827412240736,0.5246318073034395,0.002850933920634069,0.5324731467213046,0.5001901102407055,0.03228303648059916,0.5857351339557667,0.5130499218642425,0.07268521209152423
257,Mbala,2021,2.769781695,0.5763162012928047,0.5246318073034395,0.051684393989365196,0.5744008722546953,0.5001901102407055,0.0742107620139898,0.5209547592790251,0.5130499218642425,0.00790483741478265
258,Milenge,2016,2.5866716,0.5546916139670194,0.5824256493691223,-0.027734035402102952,0.5638046591176992,0.5624432748759529,0.0013613842417462552,0.5260442403092133,0.5783984281514596,-0.052354187842246325
259,Milenge,2017,3.0636063,0.6089116249599209,0.5824256493691223,0.02648597559079857,0.596413242722964,0.5624432748759529,0.03396996784701112,0.6799523496251092,0.5783984281514596,0.10155392147364961
260,Milenge,2018,2.9080381,0.5919587890639061,0.5824256493691223,0.009533139694783754,0.564469548019246,0.5624432748759529,0.002026273143293067,0.5753327116427418,0.5783984281514596,-0.0030657165087177862
261,Milenge,2019,3.104939969,0.6133068103415313,0.5824256493691223,0.030881160972409005,0.5519702035612474,0.5624432748759529,-0.01047307131470554,0.4781092834517438,0.5783984281514596,-0.10028914469971578
262,Milenge,2020,2.047804806,0.483987149546957,0.5824256493691223,-0.09843849982216535,0.5064201400370207,0.5624432748759529,-0.056023134838932176,0.6813996576697902,0.5783984281514596,0.10300122951833057
263,Milenge,2021,3.382257655,0.6416979083353991,0.5824256493691223,0.05927225896627675,0.5915818557975401,0.5624432748759529,0.029138580921587165,0.5295523262101594,0.5783984281514596,-0.048846101941300235
264,Mkushi,2016,3.7212489,0.6740568966496697,0.6047037370883913,0.06935315956127841,0.6295204864443629,0.587198596206671,0.04232189023769184,0.5054033427505283,0.5746665653268535,-0.06926322257632511
265,Mkushi,2017,3.2671978,0.6301427744406392,0.6047037370883913,0.02543903735224784,0.6023993385395822,0.587198596206671,0.015200742332911132,0.5254830704026733,0.5746665653268535,-0.04918349492418017
266,Mkushi,2018,2.620023,0.5587113298539811,0.6047037370883913,-0.045992407234410226,0.5605530668332267,0.587198596206671,-0.026645529373444332,0.6361558489666519,0.5746665653268535,0.06148928363979844
267,Mkushi,2019,2.462586715,0.5394006584261306,0.6047037370883913,-0.0653030786622607,0.5200276755429003,0.587198596206671,-0.06717092066377073,0.4841878729366086,0.5746665653268535,-0.09047869239024486
268,Mkushi,2020,2.819022947,0.5819522678851105,0.6047037370883913,-0.02275146920328086,0.5711329583581384,0.587198596206671,-0.016065637848532655,0.658856492299877,0.5746665653268535,0.08418992697302352
269,Mkushi,2021,3.405127625,0.6439584952748169,0.6047037370883913,0.03925475818642554,0.639558051521816,0.587198596206671,0.052359455315144965,0.6379127646047819,0.5746665653268535,0.0632461992779284
270,Mongu,2016,0.92335141,0.28405864018287613,0.19277112233152652,0.09128751785134961,0.2667062344214824,0.20591657282558926,0.060789661595893135,0.17876056014393227,0.2861824442909677,-0.1074218841470354
271,Mongu,2017,0.54088295,0.18776964968544435,0.19277112233152652,-0.005001472646082167,0.2048012991027235,0.20591657282558926,-0.0011152737228657672,0.20971928373645077,0.2861824442909677,-0.0764631605545169
272,Mongu,2018,0.40754744,0.14846304123778306,0.19277112233152652,-0.04430808109374346,0.1549785621774925,0.20591657282558926,-0.05093801064809675,0.266391027554719,0.2861824442909677,-0.01979141673624868
273,Mongu,2019,0.263574759,0.10160094191140748,0.19277112233152652,-0.09117018042011904,0.10892686949145619,0.20591657282558926,-0.09698970333413306,0.3857919719599113,0.2861824442909677,0.0996095276689436
274,Mongu,2020,0.500614504,0.17626913975290687,0.19277112233152652,-0.01650198257861965,0.20808568933945898,0.20591657282558926,0.0021691165138697233,0.28306024394949914,0.2861824442909677,-0.0031222003414685395
275,Mongu,2021,0.813281878,0.2584653212187412,0.19277112233152652,0.0656941988872147,0.29200078242092187,0.20591657282558926,0.08608420959533261,0.39337157840129344,0.2861824442909677,0.10718913411032577
276,Monze,2016,1.4287233,0.3853780392480223,0.36953971156454185,0.015838327683480424,0.38377574053620966,0.37377107641875407,0.010004664117455597,0.32782087642504787,0.43040223216998735,-0.10258135574493948
277,Monze,2017,2.169112,0.5009375879193789,0.36953971156454185,0.13139787635483707,0.5049705114014761,0.37377107641875407,0.13119943498272202,0.5783292348382387,0.43040223216998735,0.14792700266825137
278,Monze,2018,1.0467269,0.3110598975058887,0.36953971156454185,-0.05847981405865316,0.33744473297656613,0.37377107641875407,-0.036326343442187936,0.47909239598559117,0.43040223216998735,0.048690163815603815
