,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
10,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,504,403,101,10.0,0.33073731288419694,0.34822081954893747,0.6040817724754556,0.3649147878370881,0.5939971263640573,0.7736185327125006,0.5984856341562423,0.21488848673494154,0.4811189097555825,0.23147540532440036,504,403,101,100000.0,0.028015038272255155,0.09200461082971412,0.30834147633543013,0.09507446602871263,0.18666801682816936,0.5001341631511819,0.250134181150933,-0.18392547938660497,0.3896897597406529,0.1518581088467278,0.1813349055283806,0.560827933631551,0.31452797114143544,-7.6288128272036335,0.40425395369152844,0.16342125907523242
11,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,504,403,101,10.0,0.3486051566042267,0.36718894537435176,0.6173702788208062,0.38114606117127997,0.6050742935094977,0.7809226919387211,0.6098402507848187,0.21778338291077448,0.48583197695220764,0.23603270982929042,504,403,101,100000.0,0.027465308226068057,0.0915490706623332,0.3074992808304995,0.09455580771127439,0.18639793344116395,0.499667123061326,0.2496672338683823,-0.18186366574978696,0.39363959361142675,0.1549521296585692,0.1723254733919254,0.5573840277878117,0.31067695443296406,-7.606637192529268,0.40407223529393893,0.16327437133544034
12,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,False,504,403,101,0.01,0.5543933180335919,0.5639174791941914,0.7646155904409342,0.5846370011453385,0.8678596160545864,0.9331532144507938,0.8707749216398492,0.6237954323242598,0.7986163746931588,0.6377881139280438,504,403,101,1000.0,0.2236692627759033,0.28922702239065035,0.5389203898984263,0.2904351866482718,0.3875062949963093,0.6247366369883445,0.3902958655955065,0.15984548213242444,0.42132523701842284,0.17751495534863018,0.44747012913511486,0.6953070927577089,0.48345195323917717,-9.207268615712366,0.39730051030362123,0.15784769548751784
13,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,0.1,0.515480791575091,0.5243410039779897,0.7321833788589635,0.5360925002773284,0.7727948343302378,0.8813487705109131,0.7767756552810982,0.6732001767646075,0.8236921989677588,0.6784688386403419,504,403,101,1000.0,0.20425131893611148,0.26882685135466944,0.5200698314891409,0.2704726296251434,0.36950526836388464,0.6105437685164606,0.3727636932742815,0.21715490926080416,0.47272199983756574,0.2234660891304275,0.2925597694377503,0.5863264806716939,0.34377874193685426,-8.1607696014604,0.3370374334727531,0.11359423156190047
14,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,504,403,101,1.0,0.7657738496956185,0.7704915001130301,0.877927550730083,0.7707567843309224,0.8920061621903388,0.9456319034141204,0.8942196967546123,0.7892003393121071,0.8892359053848804,0.7907404954256679,504,403,101,10.0,0.37876186266377204,0.4462798716620763,0.6801672532417677,0.462627492382451,0.7615067737943679,0.879376975297562,0.7733038646834889,0.6604164123425682,0.8260823100980236,0.6824119830568872,0.4862471590187467,0.6978290598328384,0.48696539674718314,-10.044775195817461,0.5666762132313972,0.3211219306422759
15,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,0.1,0.5764566619725627,0.5829447051099346,0.7681806145814442,0.5901014566187253,0.819000267307388,0.9065974550370346,0.821918945479628,0.5343568149246971,0.7313692269338864,0.5349009461058706,504,403,101,10000.0,0.09200000428829334,0.1612953349687315,0.4090744170465602,0.16734187868198308,0.27419525674402634,0.5386975071621748,0.29019500422274136,0.31182273280157,0.5975878879850053,0.35711128386637925,0.36883937154852164,0.6465305699111529,0.41800177782964015,-1.8253693045403545,0.280337927753974,0.07858935373739233
16,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,504,403,101,0.1,0.6728531907667823,0.6804873343938109,0.826414488143438,0.6829609062133806,0.847126548688137,0.9211722515527319,0.8485583170307295,0.5970418781337088,0.7761148756374174,0.6023543001856839,504,403,101,10.0,0.24736910754616734,0.3294717618066312,0.6035930436154442,0.3643245623009555,0.6538260853128746,0.8111565954058848,0.6579750222704663,0.5671513760157714,0.7720210426686851,0.5960164903232437,0.43898368236174157,0.682711887698505,0.46609552160485607,-11.900471439777407,0.5375933848932194,0.2890066474809491
17,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,504,403,101,1.0,0.6404716171954008,0.6597430488472005,0.8124670927691714,0.6601027768327894,0.8595615024742304,0.9305248478124795,0.865876492396438,0.7600354029359933,0.8718843251576048,0.760182276455532,504,403,101,0.01,0.4181470047258442,0.44182572911997553,0.715512833174984,0.5119586144380925,0.9166400111045748,0.9575778571698937,0.9169553525420854,-2384.666530051992,0.6381063325773823,0.4071796916753568,0.363549758913556,0.6064263496312353,0.36775291752706524,-117.98293669866224,0.2699050558051861,0.07284873914920062
18,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,1.0,0.7527205492746345,0.7569947723093945,0.8702265582433829,0.7572942626721239,0.8882812311585966,0.944420736132399,0.8919305268368624,0.7822240896740227,0.8869230397426581,0.7866324784263566,504,403,101,1.0,0.4044554738959185,0.47323682336540274,0.7043613672777346,0.4961249357133597,0.8738027104458687,0.9367306603061436,0.8774643299575838,0.6603793566326269,0.8168674040748031,0.6672723558399076,0.47778355806109485,0.6918855622826398,0.4787056312951646,-9.817010669423999,0.6618083944249146,0.4379903509312833
19,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,648,518,130,0.1,0.564539290136729,0.5712801354401896,0.773320519466271,0.5980246258275832,0.8970204603194238,0.9482730792402382,0.899221832811763,0.5781031093373687,0.7982702435104395,0.6372353816742165,648,518,130,1000.0,0.2973764107205792,0.3605106208676059,0.6075301475693178,0.36909288020559705,0.48175774620546774,0.6970470686357617,0.4858746158937083,0.230756477688409,0.6040886129681945,0.36492305231783706,0.3989354058630932,0.670944026865109,0.4501658871859681,-8.92185564136051,0.426738062603384,0.18210537407448968
