country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,True,497,397,100,"[1.0, 0.001]","[0.43630640315295716, 0.7809582276036646]",0.7833603356742284,0.885485124688333,0.7840839060443126,0.9048939511377507,0.9526094301633561,0.907464726436154,0.8581282813484801,0.9286968955538387,0.8624779238113376,0.1374145222192873,0.4753082539006242,0.22591793622606024
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,False,497,397,100,100.0,0.4416762752411382,0.45110369193396893,0.6791232375720067,0.4612083718102842,0.6817613420824135,0.828770305264182,0.6868602188876854,0.6312076740098156,0.8013965395667704,0.6422364136295942,0.06745440740222586,0.5064329409110309,0.25647432363979566
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,490,392,98,"[0.09999999999999999, 0.001]","[0.5317575140910573, 0.7374669289886507]",0.7427920073573715,0.8656080690105658,0.7492773291362004,0.9278333155713446,0.9640371558622011,0.9293676378828818,0.8306060240302798,0.913823244283755,0.8350729217932875,-0.05811462019563618,0.421634676399392,0.17777580034242002
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,490,392,98,100.0,0.523710034329022,0.5356065663126655,0.734159144567223,0.5389896495516766,0.7228864443376452,0.8533097945662345,0.7281376055026693,0.4982530138829405,0.7118362201687113,0.506710804344078,0.027903175969880567,0.4832291413494894,0.23351040304936482
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,490,392,98,"[1.0, 0.001]","[0.482694566811969, 0.7656261778495465]",0.7712346066847005,0.879133259473512,0.7728752879125212,0.9038274630999268,0.9517834335854944,0.9058917044477933,0.8286497815515217,0.9143769347625752,0.8360851788258027,0.029019993387562892,0.4090235993972539,0.16730030486388525
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,False,490,392,98,100.0,0.48452448264788617,0.4985823620004022,0.7102729361742728,0.5044876438616226,0.7054030664565343,0.8422747993419444,0.7094268376065127,0.48697106065205353,0.7030055753616032,0.4942168389894988,-0.04157611393235294,0.45653789190434685,0.2084268467444651
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,504,403,101,"[0.01, 0.001]","[0.43156215926112196, 0.6896347805308494]",0.7051879382856765,0.8444290753166674,0.713060463240162,0.9034946214808338,0.9515779162188333,0.9055005306353768,0.8197237282741403,0.9073411234613363,0.82326791432408,-0.15351975730599587,0.32869259233098846,0.10803882025326537
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.4304950611676208,0.4521710309641491,0.6884799004073442,0.4740045732649066,0.7606472443692396,0.8739699868430393,0.7638235379024223,0.43450131110224144,0.6723160355690148,0.45200885168323673,-0.22719550926212295,0.4079823946002358,0.1664496343037425
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,True,504,403,101,"[0.09999999999999999, 0.001]","[0.33330143733973844, 0.7215152243040505]",0.7351755491455938,0.8581890586315226,0.7364884603548589,0.87354124122351,0.9360248684054063,0.8761425542733582,0.8234194278919799,0.9082982986412246,0.8250057993145432,-0.03997974632987522,0.32361436148631056,0.10472625496019249
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,504,403,101,10.0,0.3307373128840285,0.34822081954879025,0.6040817724753383,0.3649147878369464,0.5939971263640573,0.7736185327125253,0.5984856341562806,0.21488848673481842,0.4811189097554797,0.23147540532430144,-0.0838508724594722,0.4358618825104165,0.18997558062552414
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,True,504,403,101,"[0.01, 0.001]","[0.3858352120155396, 0.7035020001375273]",0.7168667186126761,0.8504211744117407,0.7232161738878443,0.900479760804358,0.9500344686741451,0.9025654916689652,0.8347308864084435,0.9139734687566603,0.835347501591082,-0.11374224569416014,0.3386710008762936,0.11469804683455045
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,504,403,101,1.0,0.3788083340360305,0.40386837343413495,0.6617086382608006,0.43785832194896307,0.7455043409514911,0.8655810921501353,0.7492306270878211,0.364543567288646,0.6244210013512563,0.3899015869285057,-0.253934419575506,0.43183360623257666,0.18648026347183208
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,True,504,403,101,"[0.01, 0.001]","[0.3488367179771894, 0.7191560584945911]",0.7304369427672521,0.8567020730435387,0.7339384419570968,0.9040775166762947,0.9520676843700213,0.9064328756216945,0.8006268919328485,0.8957071878677105,0.8022913663978821,-0.04956810209735174,0.38164933868494744,0.14565621771865772
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,504,403,101,10.0,0.34860515660430436,0.3671889453744237,0.6173702788208479,0.38114606117133154,0.6050742935094975,0.7809226919387251,0.609840250784825,0.21778338291059374,0.48583197695204927,0.23603270982913654,-0.07995957580861868,0.4379323897543846,0.1917847779959862
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,490,392,98,"[0.09999999999999999, 0.001]","[0.5453382300928603, 0.7563710148746677]",0.7623029092701561,0.8743173996526015,0.7644309153352868,0.9008437560570158,0.9498835931450901,0.902278840526227,0.8272960687612975,0.9104202498946522,0.828865031418241,-0.01170232362842416,0.3939969780368299,0.15523361870215424
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,490,392,98,10.0,0.5442042192893128,0.5527170954467193,0.7484040325442516,0.5601085959284972,0.7489314375986189,0.86663690536048,0.7510595257327896,0.6305390777325832,0.8006602906811816,0.6410569010736742,-0.09310139754880664,0.4514584113103956,0.20381469714290634
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,True,490,392,98,"[0.09999999999999999, 0.001]","[0.5471523297529846, 0.7556457814877499]",0.761626589561758,0.8739659559969882,0.7638164922417295,0.8998466035526967,0.9493435006045483,0.901253082140098,0.8240390724736395,0.9086702304536713,0.8256815877127281,-0.01598511226478405,0.39133614560848834,0.15314397885970799
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,False,490,392,98,10.0,0.5428115116110546,0.5517116284238385,0.7480558114848403,0.559587497096243,0.7496190581886781,0.8669585903278216,0.7516171973432036,0.6260507805781017,0.7968473295323661,0.6349656665828634,-0.1047921411409849,0.4482404749596206,0.20091952339202626
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,504,403,101,"[0.001, 0.001]","[0.3311215963839949, 0.6324581118268531]",0.6490075959619244,0.8117456794705122,0.6589310481390436,0.8855467097831051,0.9423107937983147,0.8879496321088101,0.7611198421620535,0.8745336330440147,0.7648090753251633,-0.3731017862933552,0.1426396464336608,0.020346068734719766
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,504,403,101,1.0,0.3192400832927481,0.3377226730281242,0.5939415224442589,0.3527665320834041,0.5885933803140819,0.7703005354369975,0.5933629148945251,0.44375164828764435,0.6676014210492301,0.4456916573869515,-0.25995966820735195,0.2666395121883504,0.07109662946004147
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,True,504,403,101,"[0.001, 0.001]","[0.32327662940629043, 0.6174863403948668]",0.6347893391460548,0.804272716378825,0.6468546023113739,0.8834048522285972,0.9412315930740739,0.885916911800759,0.7522425515409948,0.8688967325470068,0.7549815318308647,-0.4282070624659535,0.11716505129348483,0.01372764924460493
