district,year,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,ndvi_6,ndvi_7,ndvi_8,ndvi_9,ndvi_10,ndvi_11,ndvi_12
Siavonga,2001,6162.57421875,6553.53466796875,6944.81884765625,6821.84814453125,6027.40478515625,5333.64404296875,4398.48828125,3880.88427734375,3221.338134765625,2631.406005859375,3255.00537109375,5903.84423828125
Sinazongwe,2001,6238.78369140625,6178.740234375,6588.33984375,6212.11083984375,5674.85546875,5148.5498046875,4528.12890625,3897.1005859375,3389.766845703125,2752.08349609375,3758.895751953125,5982.28271484375
Kalabo,2001,5270.48681640625,5570.076171875,5518.40234375,5196.76611328125,4822.1640625,4637.81787109375,3815.280029296875,3361.8564453125,3478.46044921875,3608.5703125,3733.923095703125,4804.0146484375
Kaoma,2001,7050.92529296875,6915.2783203125,7000.22412109375,6714.86083984375,6070.498046875,5662.19287109375,4868.515625,4310.32763671875,4081.799560546875,4350.31787109375,5031.3916015625,6523.36474609375
Lukulu,2001,6576.66796875,6526.947265625,6486.97607421875,6268.4521484375,5822.24658203125,5529.5263671875,4695.0595703125,4172.8173828125,4205.80810546875,4207.25439453125,4665.28125,5971.17041015625
Mongu,2001,6371.0830078125,6212.4599609375,6220.79345703125,5680.529296875,5304.77099609375,5108.14599609375,4323.85986328125,3835.00927734375,3884.75146484375,3935.5859375,4277.60498046875,5840.9658203125
Senanga,2001,6177.99462890625,6217.9345703125,6142.67822265625,5635.71533203125,5154.09326171875,5017.625,4177.8701171875,3684.37353515625,3704.412109375,3820.046630859375,4184.1005859375,5689.85888671875
Sesheke,2001,6349.341796875,6769.47705078125,6720.19921875,6196.0576171875,5525.7138671875,5109.1337890625,4104.84814453125,3592.07666015625,3374.27197265625,3563.72900390625,4013.013916015625,5885.46484375
Shangombo,2001,5504.1474609375,6115.54833984375,6058.49169921875,5662.23486328125,4977.62158203125,4538.64990234375,3475.055908203125,3042.344482421875,2996.688232421875,3089.431396484375,3272.884765625,5007.4990234375
Chibombo,2002,6965.82763671875,7081.00341796875,6314.21923828125,5406.93505859375,4803.0224609375,4001.962890625,3424.786376953125,3155.123046875,3156.284423828125,3813.260498046875,4984.103515625,6783.33154296875
Kabwe,2002,7185.08447265625,7157.2578125,6381.615234375,5464.0537109375,4737.421875,3807.14453125,3342.103515625,3098.649658203125,3079.455322265625,3716.61328125,5140.6865234375,6912.65283203125
Kapiri Mposhi,2002,7238.6787109375,7103.46728515625,6802.30517578125,6292.32666015625,5511.76904296875,4749.8466796875,4128.9150390625,3713.677978515625,3734.7919921875,4441.56005859375,5971.923828125,7205.52294921875
Mkushi,2002,7361.11328125,7350.6689453125,6934.25390625,6488.466796875,5783.71044921875,5133.2939453125,4494.0390625,3941.092041015625,3700.881591796875,4404.96630859375,5579.373046875,6913.85205078125
Mumbwa,2002,7167.13525390625,7242.95703125,6699.83349609375,5956.80322265625,5063.7041015625,4123.6591796875,3545.289794921875,3238.720947265625,3272.775146484375,4013.93212890625,5624.74267578125,7349.01416015625
Serenje,2002,7437.5703125,7298.931640625,7165.970703125,6911.6982421875,6158.0810546875,5640.529296875,4922.88623046875,4347.90234375,3883.240478515625,4428.5341796875,5397.458984375,6737.00146484375
