split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.009999999999999998, 0.009999999999999998, 0.09999999999999999]]","[[0.68017076454562, 0.7440824306039303, 0.750774904932377, 0.7741670618590563, 0.8000451225639169]]",0.8061682957175549,0.8979280802627051,0.806274837324267,0.9554255926606952,0.9783562538573618,0.9571809594618106,0.8922068284036767,0.9475630499381923,0.8978757336081691,0.21060017478157922,0.5234086657935995,0.2739566314278359,0.5685404252995143,0.7576500806929629,0.5740336447740532
1,116739,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.7155974200777556, 0.7612983789983991, 0.7612983789983991, 0.793715813295773, 0.8086311530038893]]",0.8199099990145339,0.9055269045372824,0.8199789748408725,0.9642233389847936,0.9826799031454438,0.9656597920459389,0.7975386380482337,0.8951432640965734,0.8012814632574677,0.20608635940964493,0.5239446382910349,0.27451798399392335,0.5739070156680224,0.758987668915552,0.5760622815658636
2,26225,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 0.009999999999999998, 0.09999999999999999]]","[[0.7427519774715077, 0.776797277873402, 0.7792515651403085, 0.7952179013118099, 0.8119487655927603]]",0.8171891750955191,0.9041742672925392,0.8175311056340002,0.9567478365731,0.9790064541358154,0.9584536372395825,0.8402536908281313,0.9167211515448526,0.8403776696897205,0.18751155068607883,0.4992841482999631,0.24928466074361955,0.57396142911514,0.7579836279848897,0.5745391802931357
3,777572,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.7054625045646004, 0.7581383423668177, 0.7581383423668177, 0.7899669838130065, 0.8086272990256905]]",0.8129648711968196,0.901657472278612,0.8129861973158561,0.9533936920964553,0.9774016582043281,0.9553140014605702,0.8725890655332411,0.9345762321516965,0.8734327337028617,0.2667268745477446,0.5596461884553048,0.31320385625255054,0.3838231090386772,0.6496458628720151,0.42203974714672504
4,288389,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.0009999999999999998, 0.0009999999999999998]]","[[0.7391821827227929, 0.785071008152096, 0.7877092591484726, 0.8183182693094462, 0.8394344584430573]]",0.8483262490186498,0.9212289140427137,0.8486627120683176,0.9715086652583736,0.98591459073333,0.9720275802208695,0.8198919625477152,0.9140904751610656,0.8355613967801826,0.3409670494009097,0.6103606668273722,0.37254014360995447,0.33907579590747405,0.6498188084725166,0.4222644838446412
5,256787,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.7493415479812853, 0.781331893408461, 0.781331893408461, 0.8030719282072262, 0.8277095442528772]]",0.8347361112560855,0.913669234147503,0.8347914694276847,0.9570577168967904,0.9791512484185421,0.9587371672795895,0.8110953964843635,0.9062907541012086,0.8213629309693374,0.2763802922648747,0.5596354684969044,0.31319185759974966,0.43919623339501124,0.6640957112555448,0.4410231137080079
6,234053,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.009999999999999998, 0.009999999999999998, 9.999999999999998e-05]]","[[0.7081136237061274, 0.7567481770187598, 0.7603019181351316, 0.7912948896471896, 0.8174791346163814]]",0.8281748169126301,0.9110908780981584,0.8300865881536733,0.9726329505372705,0.986473453033754,0.9731298735403381,0.8603101326424726,0.9291193716120895,0.863262806704844,0.3164924679334722,0.6073503710795569,0.3688744732504755,0.3586518747369787,0.6513597357381661,0.4242695053408935
7,146316,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.7457789622377439, 0.7913179685038634, 0.7913179685038634, 0.8126336080930738, 0.8252033869934413]]",0.8293002757460749,0.9106613779527092,0.8293041452947271,0.9549208051404913,0.9781121555690969,0.9567033888720252,0.8221077263282581,0.9078044401172061,0.824108901496514,0.2811802548729051,0.5635343668787407,0.31757098265342315,0.27922693973823165,0.557542381954575,0.3108535076755811
8,772246,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.009999999999999998, 0.09999999999999999]]","[[0.7360015431262802, 0.7645128740305586, 0.7678057518187742, 0.7885596822304382, 0.7992773051651745]]",0.7986982303791279,0.8938500563096698,0.7989679231647999,0.9623821441986296,0.9818545117557953,0.9640382822552112,0.8780400342265854,0.945009673557812,0.8930432831178423,0.19733588593281315,0.5206033324597217,0.2710278297681675,0.622432759095361,0.7903681206628854,0.6246817661601815
9,107473,rcf_ndvi_tmp,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.09999999999999999, 9.999999999999998e-05, 0.09999999999999999]]","[[0.7029890949900086, 0.7646398037598194, 0.7653451092016498, 0.7903791669307741, 0.8008492340413037]]",0.8134790597665388,0.9019624688653399,0.8135362952416593,0.9530344692503999,0.9769057781762043,0.9543448994340552,0.8693562962922685,0.9345592872452132,0.8734010613762809,0.2125908277785824,0.528644215090444,0.27946470614859165,0.515733023797192,0.7270311799999544,0.5285743366921261
